pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
53,663993,"Lowe, Nathaniel",3816,1.4,0.302,0.189,0.26,0.491,0.34,0.287,0.259,16,53,83.3,36.7,2284,93,93.29,0,53,0,0.3,6.45,114,148,128,151,291,323,304,0.113,-0.113,72.8,6.9,53,53,12,1,0,3,0,0,0,0,1.74019,0.90679,0.64566,-0.15849,90.7,215,16.98113208,5.660377358,5.660377358,5.7,-0.58,0.53,2.67,0.302,3,-0.213207547,0.259,0.413,0.213207547,0.043,0.043,0.078,0.053,0,33.9,3.608500328,10.01754086,31.88908178,0.509433962,33.23853428,27.15903197
41,607043,"Nimmo, Brandon",4075,1,0.268,0,0.268,0.268,0.237,0.279,0.271,11,41,80.1,36.1,2282,93.1,93.22,0,41,0,0.1,6.43,120,147,114,152,290,322,301,2.577,-2.577,70,6.6,41,41,11,0,0,0,0,0,0,0,1.72122,0.92366,0.51024,0.19805,89.5,212,9.756097561,4.87804878,4.87804878,5.79,-0.41,0.6,2.62,0.268,2,-6.285365854,0.271,0.373,6.285365854,-0.003,-0.003,-0.105,-0.042,0,39.8,1.242299833,8.698608977,32.10691286,0.243902439,33.1570883,23.32808924
41,681082,"Stott, Bryson",3713,1.1,0.15,0,0.146,0.15,0.129,0.178,0.176,6,40,81.9,42.6,2317,92.5,92.73,0,41,0,0.2,6.47,117,145,109,150,285,319,298,6.215,-6.215,69.1,7,41,41,6,0,0,0,0,0,0,0,1.81293,0.87,0.74902,-0.09634,89.7,222,9.756097561,0,0,5.88,-0.44,0.6,2.37,0.146,0,-15.15853659,0.177,0.224,15.15853659,-0.026,-0.031,-0.074,-0.049,0,37.5,4.413040637,1.831839507,35.56583918,0.43902439,26.91030625,26.52883461
39,668930,"Turang, Brice",3932,1,0.41,0.103,0.41,0.513,0.401,0.277,0.291,16,39,83.2,27.5,2311,91.9,92.17,0,39,0,0.3,6.4,115,146,104,149,288,316,300,-3.757,3.757,66.8,5.9,39,39,12,4,0,0,0,0,0,0,1.90436,0.81231,0.49333,0.00615,89.1,206,2.564102564,0,0,5.7,-0.54,0.61,2.55,0.41,0,9.633333333,0.291,0.345,-9.633333333,0.119,0.119,0.168,0.124,0,38.2,-1.385170237,9.32492475,34.82271148,0.205128205,28.04112755,29.57357611
39,621566,"Olson, Matt",4543,0.9,0.216,0.135,0.184,0.351,0.231,0.167,0.151,8,37,81.8,45.3,2260,91.5,91.82,0,39,0,0.3,6.39,115,146,130,152,302,329,305,0.732,-0.732,71.7,6.9,39,39,5,2,0,1,0,0,0,0,1.94564,0.78385,0.36769,0.00154,90.1,198,10.25641026,2.564102564,2.564102564,5.9,-0.92,0.63,2.7,0.205,1,-1.876923077,0.145,0.253,1.876923077,0.065,0.06,0.098,0.064,0,38.1,5.110098991,2.635245687,35.48899799,0.487179487,31.5203605,31.95649436
39,683002,"Henderson, Gunnar",4150,0.9,0.333,0.154,0.333,0.487,0.351,0.224,0.233,13,39,81.7,41.1,2305,92.3,92.43,0,39,0,0.1,6.41,115,146,128,150,300,327,301,-0.628,0.628,75.2,6.7,39,39,8,4,1,0,0,0,0,0,1.80385,0.90359,0.54395,0.22763,91.1,207,17.94871795,0,0,5.82,0.13,0.6,2.75,0.333,0,1.61025641,0.233,0.279,-1.61025641,0.1,0.1,0.208,0.127,0,40.4,5.096806918,8.034312136,32.16851594,0.538461538,28.7507393,29.68714397
37,650333,"Arraez, Luis",3623,1,0.222,0,0.216,0.222,0.191,0.221,0.231,8,36,79.6,44.3,2308,91.6,91.81,0,37,0,0.2,6.5,114,146,112,149,275,312,298,3.654,-3.654,63.1,5.7,37,37,8,0,0,0,0,0,0,0,2.00514,0.75108,0.44838,-0.04297,88.5,209,2.702702703,0,0,5.51,-0.78,0.54,2.37,0.216,0,-9.875675676,0.225,0.286,9.875675676,-0.009,-0.009,-0.064,-0.03,0,32.6,6.524488743,-0.492947491,42.07473399,0.567567568,27.78576323,33.32788318
34,680776,"Duran, Jarren",4310,0.8,0.147,0,0.147,0.147,0.13,0.15,0.156,5,34,79.2,36.2,2253,92.4,92.54,0,34,0,0.1,6.43,115,147,104,152,277,318,310,5.226,-5.226,74.1,6.9,34,34,5,0,0,0,0,0,0,0,1.75029,0.94676,0.70176,0.08059,89.5,164,5.882352941,0,0,5.75,-0.25,0.6,2.65,0.147,0,-15.37058824,0.156,0.186,15.37058824,-0.009,-0.009,-0.039,-0.02,0,37.8,-0.049550743,9.798933881,30.51094861,0.235294118,32.26938474,24.12541562
31,682985,"Greene, Riley",3848,0.8,0.419,0.097,0.419,0.516,0.407,0.261,0.265,13,31,81.9,28.1,2267,90.5,90.51,0,31,0,0,6.34,117,146,126,151,295,328,303,-1.777,1.777,73.4,6.5,31,31,10,3,0,0,0,0,0,0,2.11645,0.69516,0.67129,-0.05839,90.8,188,16.12903226,3.225806452,3.225806452,5.53,0.03,0.55,2.51,0.419,1,5.732258065,0.265,0.336,-5.732258065,0.154,0.154,0.18,0.146,0,36.1,1.041138516,6.794158487,48.57529435,0.258064516,26.35598079,27.28785198
31,518692,"Freeman, Freddie",3699,0.8,0.2,0.033,0.194,0.233,0.183,0.125,0.112,6,30,79.7,41.2,2311,91.3,91.63,0,31,0,0.3,6.47,116,146,129,151,291,320,302,2.468,-2.468,70.2,6.5,31,31,5,1,0,0,0,0,0,0,1.92,0.84581,0.46516,0.02065,89.7,211,9.677419355,0,0,5.7,0.14,0.56,2.66,0.194,0,-7.961290323,0.119,0.141,7.961290323,0.088,0.075,0.092,0.058,0,35,5.876747025,2.580660767,46.56504827,0.451612903,32.37036557,25.41161232
