pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
88,607043,"Nimmo, Brandon",4075,2.2,0.307,0.409,0.208,0.716,0.43,0.425,0.356,27,88,94.4,7.7,2320,90.9,91.16,0,88,0,0.3,6.47,115,146,114,150,291,322,302,-6.186,6.186,73.7,7.1,88,88,13,3,0,11,0,0,0,0,2.11557,0.67091,0.39977,0.08523,96.3,135,53.40909091,10.22727273,10.22727273,5.62,-0.91,0.6,2.43,0.307,9,7.029545455,0.356,0.644,-7.029545455,-0.049,-0.049,0.072,0.005,0,35.3,8.49454533,-3.593237099,32.02684668,0.761363636,33.18630363,30.45428454
86,660271,"Ohtani, Shohei",4339,2,0.465,0.535,0.378,1,0.617,0.603,0.467,40,86,98.4,8.1,2345,90.9,91.16,0,86,0,0.3,6.37,119,146,129,152,301,326,306,-18.879,18.879,77.7,7.6,86,86,21,4,3,12,0,0,0,0,2.11174,0.66942,0.28953,0.23256,101.1,166,74.41860465,24.41860465,24.41860465,5.72,-0.66,0.63,2.54,0.465,21,21.95232558,0.467,0.963,-21.95232558,-0.002,-0.002,0.037,0.014,0,36.3,12.08658587,-0.726500525,38.43791794,0.709302326,31.58456561,27.90316494
78,621566,"Olson, Matt",4543,1.7,0.364,0.468,0.275,0.831,0.496,0.472,0.371,28,77,93.8,13.2,2308,91.3,91.72,0,78,0,0.4,6.54,115,146,130,152,301,328,304,-17.026,17.026,76.4,7.4,78,78,10,9,0,9,0,0,0,0,2.10769,0.64936,0.41833,0.10167,96.9,185,51.28205128,19.23076923,19.23076923,5.75,-0.83,0.7,2.48,0.359,15,21.82820513,0.369,0.753,-21.82820513,-0.007,-0.01,0.078,0.024,0,36.1,10.33173406,-5.250726312,35.99053587,0.717948718,30.85156419,36.00145567
77,656941,"Schwarber, Kyle",4432,1.7,0.408,0.368,0.343,0.776,0.497,0.474,0.408,31,76,89.1,16.1,2298,91.1,91.5,0,77,0,0.4,6.46,119,146,127,152,298,327,299,-10.744,10.744,78.4,7.4,77,77,17,7,0,7,0,0,0,0,2.09338,0.72382,0.41195,0.31403,95.4,158,42.85714286,9.090909091,9.090909091,5.78,-0.38,0.52,2.48,0.403,7,13.95324675,0.403,0.719,-13.95324675,0,0,0.057,0.023,0,36.1,11.20502412,-4.965206514,30.71193928,0.831168831,28.84786027,30.59428147
75,680977,"Donovan, Brendan",3752,2,0.297,0.338,0.243,0.635,0.386,0.408,0.36,22,74,88.8,4,2268,91.1,91.45,0,75,0,0.4,6.5,115,146,110,150,292,322,303,-3.771,3.771,70,6.7,75,75,9,6,2,5,0,0,0,0,1.9992,0.77427,0.414,0.234,94,133,38.66666667,8,8,5.75,-0.4,0.6,2.42,0.293,6,5.028,0.356,0.604,-5.028,-0.063,-0.063,0.031,-0.022,0,39.6,8.486045126,-4.509402737,31.68599991,0.706666667,29.515907,27.57362824
75,671739,"Harris II, Michael",2803,2.7,0.373,0.44,0.309,0.813,0.497,0.389,0.337,28,75,89.3,4.3,2302,90.3,90.36,0,75,0,0.1,6.28,117,147,113,152,297,324,303,-9.917,9.917,75.7,7.8,75,75,13,4,4,7,0,0,0,0,2.17053,0.69293,0.27945,0.22027,95.9,124,48,12,12,5.82,-0.65,0.6,2.51,0.373,9,13.22266667,0.337,0.57,-13.22266667,0.036,0.036,0.243,0.108,0,37.2,7.090241835,-4.131771788,30.66836741,0.613333333,31.13565037,31.74359493
74,681082,"Stott, Bryson",3713,2,0.425,0.507,0.338,0.932,0.563,0.46,0.401,31,73,92.2,13.5,2308,90.8,91.15,0,74,0,0.4,6.51,118,146,112,150,287,319,300,-13.763,13.763,70.4,7.1,74,74,13,8,1,9,0,0,0,0,1.99095,0.81767,0.27338,-0.00743,95.4,182,44.59459459,12.16216216,12.16216216,5.72,-0.86,0.67,2.41,0.419,9,18.59864865,0.396,0.692,-18.59864865,0.024,0.023,0.24,0.103,0,36.2,9.686453536,-5.73916709,34.23589266,0.689189189,25.62857374,31.18664772
74,686469,"Pasquantino, Vinnie",3430,2.2,0.37,0.288,0.329,0.658,0.431,0.36,0.322,27,73,90.6,12.1,2306,92,92.35,0,74,0,0.3,6.42,117,144,126,150,297,326,306,-9.109,9.109,73.7,7.1,74,74,15,7,1,4,0,0,0,0,1.82797,0.88149,0.45466,0.09932,94.3,149,41.89189189,9.459459459,9.459459459,5.83,-0.83,0.61,2.62,0.365,7,12.30945946,0.322,0.517,-12.30945946,0.048,0.043,0.141,0.071,0,38.8,8.66201267,-10.0795458,30.19709022,0.662162162,32.37924065,30.26797502
73,682998,"Carroll, Corbin",3908,1.9,0.31,0.282,0.292,0.592,0.366,0.323,0.335,22,71,88.5,8.1,2274,90.7,90.79,0,73,0,0.1,6.37,116,144,106,149,294,325,304,-3.854,3.854,74.8,6.9,73,73,11,3,7,1,0,0,0,0,2.10288,0.70681,0.38753,0.17986,93.6,123,32.87671233,1.369863014,1.369863014,5.79,-0.38,0.63,2.31,0.301,1,5.279452055,0.329,0.418,-5.279452055,-0.025,-0.028,0.174,0.043,0,37.8,7.459829183,-4.863227184,24.68537078,0.698630137,30.75447758,36.29433212
73,665742,"Soto, Juan",4560,1.6,0.301,0.288,0.25,0.589,0.377,0.46,0.399,22,73,94,5.2,2259,91.1,91.27,0,73,0,0.2,6.47,115,146,125,151,297,327,302,-2.018,2.018,75.2,7.1,73,73,11,6,0,5,0,0,0,0,2.12219,0.66151,0.51411,0.11055,96.7,130,54.79452055,9.589041096,9.589041096,5.78,-0.42,0.6,2.43,0.301,7,2.764383562,0.399,0.68,-2.764383562,-0.098,-0.098,-0.091,-0.083,0,39.1,12.89653144,-3.140965056,29.49435234,0.726027397,31.17500975,27.46553343
