pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
62,680776,"Duran, Jarren",4310,1.4,0.29,0.097,0.29,0.387,0.292,0.397,0.347,18,62,89.4,20.2,2286,91.1,91.33,0,62,0,0.2,6.43,115,146,111,150,281,321,306,0.687,-0.687,74.2,7.2,62,62,13,4,1,0,0,0,0,0,2.09887,0.6779,0.41049,0.01115,94.2,191,37.09677419,11.29032258,11.29032258,5.68,-0.51,0.57,2.53,0.29,7,-1.108064516,0.347,0.585,1.108064516,-0.057,-0.057,-0.198,-0.105,0,37.4,2.044600274,4.240600719,31.19166066,0.387096774,32.58851554,27.08235119
61,681082,"Stott, Bryson",3713,1.6,0.237,0.017,0.23,0.254,0.209,0.322,0.308,14,59,87.2,23.6,2252,91,91.45,0,61,0,0.5,6.5,117,146,113,151,286,320,300,4.203,-4.203,68.8,6.9,61,61,13,1,0,0,0,0,0,0,2.04918,0.73492,0.44115,-0.11131,92.1,211,29.50819672,4.918032787,4.918032787,5.84,-0.8,0.58,2.39,0.23,3,-6.890163934,0.299,0.466,6.890163934,-0.071,-0.069,-0.212,-0.113,0,38.7,4.448277069,0.574778267,34.71920388,0.37704918,26.72994795,28.45954368
56,641857,"McMahon, Ryan",4154,1.3,0.382,0.127,0.364,0.509,0.379,0.469,0.401,21,55,92.7,19,2235,89.6,90.23,0,56,0,0.6,6.59,116,148,121,152,301,331,308,-2.06,2.06,73.4,7,56,56,16,4,0,1,0,0,0,0,2.38893,0.48661,0.456,0.07782,96.5,204,53.57142857,12.5,12.5,5.66,-0.37,0.57,2.31,0.375,7,3.678571429,0.397,0.705,-3.678571429,-0.019,-0.022,-0.196,-0.09,0,36.9,7.925419031,5.00713368,41.67603143,0.553571429,34.62793573,23.13404645
54,621566,"Olson, Matt",4543,1.2,0.389,0.444,0.283,0.833,0.517,0.451,0.326,21,54,88.5,25.9,2243,91.3,91.5,0,54,0,0.2,6.37,113,145,130,151,302,329,306,-8.889,8.889,74.6,7.1,54,54,13,0,0,8,0,0,0,0,2.05185,0.77407,0.44113,0.26,94.5,218,42.59259259,16.66666667,16.66666667,5.84,-0.68,0.61,2.6,0.389,9,16.46111111,0.326,0.747,-16.46111111,0.063,0.063,0.086,0.066,0,38.8,8.091357649,-0.707544338,35.53652821,0.518518519,31.49791464,33.38371874
54,683002,"Henderson, Gunnar",4150,1.3,0.407,0.259,0.36,0.667,0.461,0.506,0.432,22,54,92.4,19.4,2209,90.3,90.44,0,54,0,0.1,6.35,119,146,123,151,299,327,303,-4.621,4.621,76.4,6.8,54,54,16,2,0,4,0,0,0,0,2.13926,0.8063,0.50037,0.06704,96.2,216,48.14814815,18.51851852,18.51851852,5.94,-0.4,0.58,2.61,0.407,10,8.557407407,0.432,0.756,-8.557407407,-0.025,-0.025,-0.089,-0.045,0,40.9,5.907611585,6.213960821,32.95769873,0.518518519,28.4760861,31.30337708
53,701538,"Merrill, Jackson",2963,1.8,0.192,0.058,0.173,0.25,0.189,0.321,0.273,10,52,84.8,23.8,2267,91,91.15,0,53,0,0.2,6.41,118,147,116,152,288,322,304,5.529,-5.529,72.4,7.1,53,53,9,0,0,1,0,0,0,0,1.99906,0.81113,0.55566,0.09302,92.3,197,26.41509434,9.433962264,9.433962264,5.73,-0.37,0.56,2.69,0.189,5,-10.43207547,0.268,0.497,10.43207547,-0.081,-0.079,-0.247,-0.132,0,37.7,3.5944422,0.870580168,38.52682424,0.433962264,29.91117441,24.6831414
52,663993,"Lowe, Nathaniel",3816,1.4,0.392,0.059,0.373,0.451,0.362,0.396,0.373,20,51,89.1,9.9,2282,92.7,92.98,0,52,0,0.3,6.54,113,147,126,150,294,326,305,-1.172,1.172,73.6,7,52,52,19,0,0,1,0,0,0,0,1.85,0.82692,0.58173,0.11865,93.6,156,38.46153846,7.692307692,7.692307692,5.73,-0.54,0.55,2.49,0.385,4,2.253846154,0.374,0.525,-2.253846154,0.019,0.011,-0.074,-0.034,0,37,2.437686127,8.831567132,33.15662178,0.403846154,32.59434145,27.62150015
50,680977,"Donovan, Brendan",3752,1.3,0.3,0.04,0.3,0.34,0.28,0.288,0.302,15,50,83.3,18.8,2301,91.7,92.04,0,50,0,0.3,6.5,118,147,114,151,293,322,303,1.092,-1.092,67.8,6.3,50,50,13,2,0,0,0,0,0,0,1.9528,0.7836,0.5074,0.0542,90.6,181,20,0,0,5.74,-0.43,0.55,2.5,0.3,0,-2.184,0.302,0.359,2.184,-0.002,-0.002,-0.019,-0.008,0,35.3,3.810861502,4.558207749,32.38702992,0.44,29.40017945,23.21972153
50,668930,"Turang, Brice",3932,1.3,0.4,0.24,0.362,0.64,0.446,0.452,0.391,20,50,90.4,6.2,2256,91.1,91.52,0,50,0,0.4,6.49,113,148,106,151,289,317,300,-3.928,3.928,67.2,6,50,50,15,1,1,3,0,0,0,0,2.0034,0.7558,0.3962,0.069,93.7,162,36,10,10,5.71,-0.79,0.58,2.41,0.4,5,7.856,0.391,0.666,-7.856,0.009,0.009,-0.026,-0.006,0,37.5,1.424174022,6.122462283,34.53149804,0.26,28.31539108,31.77568384
49,607043,"Nimmo, Brandon",4075,1.2,0.208,0.104,0.188,0.313,0.22,0.383,0.343,10,48,90.6,16.8,2282,91.9,92.1,0,49,0,0.2,6.44,118,148,119,151,295,324,304,2.272,-2.272,72,6.7,49,49,7,2,0,1,0,0,0,0,1.83918,0.88469,0.50102,-0.05857,93.5,220,40.81632653,8.163265306,8.163265306,5.86,-0.62,0.55,2.6,0.204,4,-4.636734694,0.34,0.562,4.636734694,-0.135,-0.136,-0.249,-0.163,0,39.8,4.091263052,4.821349734,31.18017003,0.530612245,33.78104949,26.09663171
