pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
119,650333,"Arraez, Luis",3623,3.3,0.328,0.042,0.328,0.37,0.305,0.273,0.28,39,119,86,27.1,2311,90.3,90.24,0,119,0,-0.1,6.38,118,148,112,151,277,312,300,0.503,-0.503,62.5,5.7,119,119,34,5,0,0,0,0,0,0,2.08605,0.75244,0.45588,-0.03622,89.8,222,6.722689076,0,0,5.6,-0.89,-0.03,2.37,0.328,0,-0.422689076,0.28,0.351,0.422689076,0.048,0.048,0.019,0.032,0,34.2,3.031201874,9.383406562,38.10900766,0.344537815,34.29979015,30.19152455
104,680776,"Duran, Jarren",4310,2.4,0.392,0.363,0.366,0.755,0.472,0.362,0.291,40,102,91.8,30.6,2338,89.8,89.96,0,104,0,0.2,6.44,116,146,110,150,283,321,306,-14.893,14.893,74.1,7.3,104,104,13,20,4,3,0,0,0,0,2.21096,0.66388,0.27356,-0.11702,94.5,257,44.23076923,9.615384615,9.615384615,5.75,-0.41,-0.01,2.5,0.385,10,14.32019231,0.286,0.586,-14.32019231,0.101,0.099,0.169,0.11,0,37.6,1.51444336,7.604488429,28.8657368,0.336538462,39.66438858,25.52819792
91,680977,"Donovan, Brendan",3752,2.4,0.297,0.143,0.297,0.44,0.315,0.238,0.229,27,91,86.9,30.8,2258,91,91.33,0,91,0,0.3,6.45,120,146,113,151,291,321,303,-2.316,2.316,68.3,6.4,91,91,15,11,1,0,0,0,0,0,2.0678,0.71374,0.41922,-0.171,91.2,214,19.78021978,1.098901099,1.098901099,5.77,-0.73,-0.01,2.55,0.297,1,2.545054945,0.229,0.325,-2.545054945,0.068,0.068,0.115,0.077,0,38,3.253551895,10.39347955,29.49876133,0.428571429,36.49527164,21.5032772
83,668930,"Turang, Brice",3932,2.1,0.367,0.139,0.333,0.506,0.36,0.352,0.346,29,79,91.7,22.7,2247,91.9,92.19,0,83,0,0.3,6.46,113,147,105,150,287,316,299,-3.243,3.243,67.9,6.1,83,83,22,5,0,2,0,0,0,0,1.93639,0.77892,0.50793,-0.22622,93.5,239,37.34939759,3.614457831,3.614457831,5.66,-1.14,-0.04,2.52,0.349,3,3.907228916,0.335,0.496,-3.907228916,0.021,0.014,0.01,0.008,0,38,1.432572083,12.27993614,29.54106688,0.253012048,35.59434813,29.64990247
83,681082,"Stott, Bryson",3713,2.2,0.2,0.05,0.193,0.25,0.188,0.182,0.177,16,80,86.5,36.8,2276,89.9,90.15,0,83,0,0.2,6.42,116,145,112,149,285,320,298,7.462,-7.462,68.2,7,83,83,12,4,0,0,0,0,0,0,2.20675,0.64614,0.32446,-0.36904,91,227,15.6626506,0,0,5.89,-1.25,-0.06,2.43,0.193,0,-8.990361446,0.176,0.251,8.990361446,0.023,0.017,-0.001,0.006,0,38.5,5.564615156,5.44279185,31.3896464,0.518072289,33.88333105,26.04758856
81,518692,"Freeman, Freddie",3699,2.2,0.362,0.275,0.325,0.637,0.42,0.351,0.304,29,80,89.9,28.2,2267,91.1,91.32,0,81,0,0.2,6.43,117,147,128,151,294,321,303,-5.407,5.407,69.7,6.5,81,81,15,10,0,4,0,0,0,0,2.02593,0.76887,0.43111,-0.15605,93.5,238,35.80246914,7.407407407,7.407407407,5.82,-0.27,-0.06,2.61,0.358,6,6.675308642,0.302,0.519,-6.675308642,0.058,0.056,0.118,0.069,0,39.6,3.898928301,7.395107849,41.84620529,0.395061728,39.55970534,23.34922206
80,701538,"Merrill, Jackson",2963,2.7,0.342,0.215,0.312,0.557,0.379,0.368,0.305,27,79,90.9,28.6,2245,90.3,90.55,0,80,0,0.3,6.51,115,146,118,151,289,322,303,-3.802,3.802,72.5,7.2,80,80,16,8,0,3,0,0,0,0,2.15338,0.688,0.43026,-0.24256,93.7,259,37.5,12.5,12.5,5.72,-0.67,0.01,2.55,0.338,10,4.7525,0.301,0.575,-4.7525,0.037,0.037,-0.018,0.011,0,39,4.25425884,6.807169482,36.46925812,0.5,36.56702183,23.74644247
79,630105,"Cronenworth, Jake",3715,2.1,0.266,0.101,0.266,0.367,0.273,0.229,0.218,21,79,87.1,33.4,2191,92,92.17,0,79,0,0.2,6.46,115,146,114,150,285,319,303,2.068,-2.068,69.1,6.8,79,79,13,8,0,0,0,0,0,0,1.84468,0.87861,0.57152,-0.24848,91.5,234,17.72151899,1.265822785,1.265822785,5.74,-0.65,0.02,2.49,0.266,1,-2.617721519,0.218,0.316,2.617721519,0.048,0.048,0.051,0.044,0,37.4,3.811448407,6.19799303,31.75667357,0.367088608,34.8348083,27.31853892
75,680757,"Kwan, Steven",3531,2.1,0.28,0.027,0.28,0.307,0.257,0.25,0.26,21,75,83.5,31.8,2310,90.4,90.69,0,75,0,0.3,6.47,116,147,105,150,277,314,297,2.745,-2.745,64.1,6.2,75,75,19,2,0,0,0,0,0,0,2.07467,0.75689,0.41773,-0.0236,89.1,214,2.666666667,0,0,5.7,-0.8,-0.06,2.35,0.28,0,-3.66,0.26,0.314,3.66,0.02,0.02,-0.007,0.007,0,35.4,-0.27236659,1.617091307,36.20248647,0.24,32.20449457,27.2069131
71,663993,"Lowe, Nathaniel",3816,1.9,0.366,0.296,0.318,0.662,0.438,0.384,0.327,26,71,91.1,22.9,2263,92.5,92.55,0,71,0,0,6.4,116,147,126,151,296,325,304,-8.076,8.076,73.2,7,71,71,15,6,0,5,0,0,0,0,1.81,0.87704,0.60225,-0.14761,94.1,221,36.61971831,8.450704225,8.450704225,5.85,-0.95,0.01,2.8,0.366,6,11.37464789,0.327,0.575,-11.37464789,0.039,0.039,0.087,0.054,0,38.6,4.610926217,15.64787667,28.37144747,0.507042254,38.47812994,24.77393456
68,547180,"Harper, Bryce",3430,2,0.269,0.313,0.219,0.582,0.352,0.32,0.271,18,67,91.6,31.6,2290,89.2,89.35,0,68,0,0.1,6.38,115,146,129,151,295,328,303,-3.491,3.491,74.2,6.9,68,68,5,9,0,4,0,0,0,0,2.32118,0.60299,0.4075,-0.20691,94.5,254,42.64705882,5.882352941,5.882352941,5.97,-0.49,0,2.47,0.265,4,5.133823529,0.269,0.486,-5.133823529,-0.002,-0.004,0.096,0.032,0,40.6,5.830869113,5.732946454,36.73806801,0.529411765,37.36030329,27.88470304
68,686217,"Frelick, Sal",3326,2,0.265,0.059,0.265,0.324,0.256,0.211,0.217,18,68,83,38.7,2307,91.6,91.88,0,68,0,0.3,6.43,111,145,104,149,287,314,297,2.388,-2.388,66.9,6.6,68,68,14,4,0,0,0,0,0,0,1.87279,0.89574,0.43426,-0.27368,89.3,205,7.352941176,0,0,5.76,-0.96,-0.03,2.61,0.265,0,-3.511764706,0.217,0.265,3.511764706,0.048,0.048,0.059,0.045,0,38.2,2.317940622,5.100756706,29.42960538,0.352941176,37.09590396,24.02827578
68,660271,"Ohtani, Shohei",4339,1.6,0.273,0.258,0.231,0.53,0.329,0.39,0.297,18,66,94.6,36.2,2308,91.8,92.22,0,68,0,0.4,6.47,115,145,132,150,300,327,309,-3.588,3.588,75.5,7.4,68,68,7,8,0,3,0,0,0,0,1.94426,0.78,0.47956,-0.13603,96.3,244,51.47058824,14.70588235,14.70588235,5.63,-0.44,-0.01,2.72,0.265,10,5.276470588,0.296,0.617,-5.276470588,-0.024,-0.031,-0.087,-0.061,0,35.8,6.35697828,7.756084723,33.33153585,0.455882353,38.9743121,21.50417169
