pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
151,665742,"Soto, Juan",4560,3.3,0.457,0.51,0.369,0.967,0.601,0.622,0.477,69,151,98.6,6,2244,88.3,88.44,0,151,0,0.1,6.43,116,145,125,151,296,328,302,-34.702,34.702,76.5,7.5,151,151,35,12,1,21,0,0,0,0,2.53331,0.4353,0.22126,-0.19874,100.6,162,70.86092715,24.50331126,24.50331126,5.77,-0.86,0.02,2.39,0.457,37,22.98145695,0.477,1.001,-22.98145695,-0.02,-0.02,-0.034,-0.021,0,38.5,14.33507972,-5.543051697,27.93273935,0.781456954,38.02064392,30.6913442
150,686469,"Pasquantino, Vinnie",3430,4.4,0.396,0.477,0.305,0.872,0.53,0.487,0.408,59,149,97.2,7.7,2191,88.7,88.96,0,150,0,0.3,6.41,116,144,126,150,299,327,305,-32.217,32.217,73.7,7.5,150,150,28,10,2,19,0,0,0,0,2.48433,0.45403,0.39483,-0.30906,98.6,163,64,12.66666667,12.66666667,5.78,-1.32,-0.01,2.32,0.393,19,21.478,0.406,0.741,-21.478,-0.012,-0.013,0.131,0.043,0,39.6,10.36132043,-9.315207361,30.17751697,0.82,39.19399248,32.8482564
142,656941,"Schwarber, Kyle",4432,3.2,0.437,0.57,0.328,1.007,0.607,0.614,0.464,62,142,100.8,14.1,2275,88.5,88.65,0,142,0,0.1,6.36,119,145,128,151,297,326,298,-32.379,32.379,78.8,7.8,142,142,27,12,0,23,0,0,0,0,2.38465,0.59,0.28404,0.02674,101.6,175,78.87323944,21.83098592,21.83098592,5.86,-0.54,-0.02,2.39,0.437,31,22.80211268,0.464,0.994,-22.80211268,-0.027,-0.027,0.013,-0.007,0,38.4,15.07143154,-8.045720562,29.46962866,0.852112676,34.97302436,34.07582935
136,643217,"Benintendi, Andrew",2822,4.8,0.419,0.537,0.325,0.956,0.577,0.456,0.365,57,136,92.3,10.2,2222,88.5,88.81,0,136,0,0.3,6.51,115,146,111,151,285,320,301,-28.023,28.023,69.9,7,136,136,23,14,1,19,0,0,0,0,2.44706,0.50684,0.37191,-0.32853,94.8,175,45.58823529,13.97058824,13.97058824,5.7,-1.25,-0.01,2.21,0.419,19,20.60514706,0.365,0.717,-20.60514706,0.054,0.054,0.239,0.121,0,36.1,17.15301244,-5.932802615,33.07077156,0.698529412,30.74320068,37.04091969
133,682928,"Abrams, CJ",3428,3.9,0.341,0.333,0.29,0.674,0.426,0.42,0.37,45,132,94.4,8.5,2209,88.2,88.53,0,133,0,0.3,6.43,118,147,115,151,292,321,301,-12.168,12.168,74,7.7,133,133,20,15,1,9,0,0,0,0,2.60955,0.37045,0.28527,-0.09794,96.8,158,59.39849624,8.270676692,8.270676692,5.79,-0.82,-0.03,2.16,0.338,11,9.14887218,0.369,0.608,-9.14887218,-0.029,-0.031,0.066,0.006,0,37.4,14.06381799,-7.421220888,28.80213963,0.857142857,38.9244508,34.90881553
131,682998,"Carroll, Corbin",3908,3.4,0.377,0.577,0.274,0.954,0.55,0.53,0.421,49,130,96.6,9.2,2237,87.2,87.4,0,131,0,0.2,6.43,115,146,109,151,294,325,303,-23.335,23.335,75.6,7.4,131,131,16,9,6,18,0,0,0,0,2.60702,0.43237,0.25723,-0.09585,98.5,170,61.06870229,15.26717557,15.26717557,5.77,-0.75,0,2.11,0.374,20,17.8129771,0.421,0.833,-17.8129771,-0.044,-0.047,0.121,0.02,0,38.2,9.969682145,-8.488505754,24.35759722,0.870229008,37.50939431,40.95502352
130,669701,"Smith, Josh",3465,3.8,0.349,0.256,0.309,0.605,0.403,0.376,0.339,45,129,91.4,8.2,2163,88.9,88.95,0,130,0,0,6.36,116,146,109,151,290,323,299,-11.696,11.696,71.3,6.9,130,130,27,10,1,7,0,0,0,0,2.45308,0.48157,0.38077,-0.26369,94.8,125,47.69230769,5.384615385,5.384615385,5.84,-1.3,0.02,2.17,0.346,7,8.996923077,0.343,0.526,-8.996923077,0.01,0.003,0.079,0.027,0,39,12.86991137,-4.576793738,35.9512113,0.7,36.27797264,34.61559904
128,683002,"Henderson, Gunnar",4150,3.1,0.391,0.453,0.316,0.844,0.519,0.497,0.428,50,128,96.2,5,2203,87,87.15,0,128,0,0.1,6.45,118,147,127,152,297,327,302,-20.872,20.872,78.1,7.6,128,128,22,12,2,14,0,0,0,0,2.74906,0.31055,0.20219,-0.28828,98.7,140,65.625,11.71875,11.71875,5.75,-1.07,0.02,2.17,0.391,15,16.30625,0.428,0.735,-16.30625,-0.037,-0.037,0.109,0.022,0,36.4,13.36146741,-5.469067653,30.49044795,0.78125,34.89865074,38.91324703
127,650333,"Arraez, Luis",3623,3.5,0.288,0.192,0.26,0.48,0.322,0.309,0.315,36,125,88.9,5.9,2283,89.2,89.4,0,127,0,0.2,6.49,115,147,113,150,276,312,298,-0.44,0.44,65.2,6.2,127,127,21,10,1,4,0,0,0,0,2.35748,0.55898,0.28921,-0.28095,91.8,133,32.28346457,1.57480315,1.57480315,5.74,-0.74,0.05,2.37,0.283,2,0.346456693,0.311,0.408,-0.346456693,-0.027,-0.028,0.072,0.013,0,38.9,12.22672441,-4.064813386,36.13747169,0.755905512,33.29591788,37.16392293
126,680977,"Donovan, Brendan",3752,3.4,0.427,0.339,0.376,0.766,0.5,0.438,0.401,53,124,93.2,5,2224,87.1,87.32,0,126,0,0.2,6.4,116,146,109,151,293,321,304,-18.277,18.277,71.8,7.2,126,126,29,15,0,9,0,0,0,0,2.66762,0.37508,0.16048,-0.07333,96.1,153,53.17460317,10.31746032,10.31746032,5.74,-0.88,0.02,2.16,0.421,13,14.50555556,0.396,0.635,-14.50555556,0.026,0.025,0.131,0.062,0,36.6,11.98034102,-7.177118245,31.1674722,0.841269841,36.01844022,31.50849912
