pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
133,680776,"Duran, Jarren",4310,3.1,0.417,0.265,0.391,0.682,0.464,0.472,0.405,55,132,96.2,8.9,2167,89.3,89.41,0,133,0,0.1,6.42,117,147,108,151,285,322,307,-16.443,16.443,75.4,7.6,133,133,34,12,4,5,0,0,0,0,2.41496,0.48752,0.50263,-0.3082,98.5,180,61.65413534,14.28571429,14.28571429,5.59,-0.69,-0.01,2.3,0.414,19,12.3631579,0.404,0.705,-12.3631579,0.012,0.01,-0.023,-0.008,0,35.8,3.277430605,3.173255276,29.50822678,0.37593985,39.47352392,28.77104901
121,680977,"Donovan, Brendan",3752,3.2,0.375,0.067,0.367,0.442,0.354,0.452,0.405,45,120,95.7,13.9,2232,90.6,91,0,121,0,0.4,6.52,117,147,113,151,291,321,303,-2.922,2.922,69.9,6.8,121,121,39,5,0,1,0,0,0,0,2.16504,0.64479,0.50653,-0.16207,96.7,199,61.15702479,9.090909091,9.090909091,5.78,-0.84,-0.04,2.37,0.372,11,2.414876033,0.406,0.642,-2.414876033,-0.03,-0.034,-0.2,-0.098,0,38.3,6.738815753,4.057859415,29.82239788,0.603305785,36.97348837,25.12437763
120,668930,"Turang, Brice",3932,3.1,0.286,0.059,0.277,0.345,0.273,0.356,0.327,34,119,90.9,6.3,2183,88.9,89.16,0,120,0,0.3,6.46,114,145,106,149,286,315,299,3.576,-3.576,68.7,6.5,120,120,29,4,0,1,0,0,0,0,2.50992,0.43942,0.47483,-0.26133,94.4,149,48.33333333,6.666666667,6.666666667,5.71,-1.05,-0.01,2.13,0.283,8,-2.98,0.332,0.473,2.98,-0.041,-0.049,-0.128,-0.083,0,37.8,4.487953003,3.351661269,31.89093769,0.458333333,35.24594953,34.53691813
114,663993,"Lowe, Nathaniel",3816,3,0.283,0.195,0.248,0.478,0.322,0.394,0.343,32,113,93.4,2.1,2204,90.3,90.46,0,114,0,0.2,6.41,116,147,128,150,296,327,303,-3.335,3.335,74.3,7.4,114,114,20,7,0,5,0,0,0,0,2.17123,0.65526,0.59763,-0.43167,97.1,143,56.14035088,8.771929825,8.771929825,5.84,-0.75,-0.02,2.32,0.281,10,2.925438596,0.344,0.579,-2.925438596,-0.06,-0.063,-0.101,-0.072,0,38.3,7.770195292,6.331203746,30.50430798,0.605263158,38.89743057,30.31984839
112,650333,"Arraez, Luis",3623,3.1,0.268,0.045,0.268,0.313,0.253,0.291,0.288,30,112,88.4,12.7,2206,90.2,90.27,0,112,0,0.1,6.44,118,148,113,151,276,312,298,3.695,-3.695,63.5,5.9,112,112,26,3,1,0,0,0,0,0,2.18009,0.67313,0.46595,-0.32523,92.1,176,29.46428571,1.785714286,1.785714286,5.78,-0.58,-0.04,2.33,0.268,2,-3.299107143,0.288,0.39,3.299107143,-0.02,-0.02,-0.077,-0.038,0,38.7,6.120365923,4.34085189,37.17301884,0.553571429,34.28562345,32.71021129
111,683002,"Henderson, Gunnar",4150,2.7,0.4,0.191,0.374,0.591,0.422,0.487,0.434,44,110,98.3,5.7,2156,90,90.23,0,111,0,0.2,6.43,119,146,126,151,297,327,303,-7.523,7.523,77,7.2,111,111,33,5,2,4,0,0,0,0,2.29198,0.55568,0.53655,-0.28709,99.6,163,72.07207207,10.81081081,10.81081081,5.75,-0.6,-0.06,2.3,0.396,12,6.777477477,0.432,0.706,-6.777477477,-0.034,-0.036,-0.115,-0.065,0,38.4,6.535158782,6.02810987,30.66786883,0.585585586,35.81732413,30.86858804
110,647304,"Naylor, Josh",3350,3.3,0.306,0.167,0.267,0.472,0.329,0.424,0.366,33,108,94.1,12.3,2282,90.9,91.18,0,110,0,0.3,6.46,117,145,125,151,292,323,302,-1.093,1.093,72.8,7.2,110,110,25,3,0,5,0,0,0,0,2.00336,0.78591,0.45191,-0.21191,96.7,184,54.54545455,10,10,5.9,-0.62,-0.06,2.5,0.3,11,0.993636364,0.371,0.617,-0.993636364,-0.06,-0.071,-0.145,-0.095,0,40.3,2.453116051,0.30640021,29.617114,0.272727273,36.5188751,21.5576394
109,686217,"Frelick, Sal",3326,3.3,0.37,0.102,0.361,0.472,0.362,0.354,0.354,40,108,87.3,10.8,2236,90.7,91.13,0,109,0,0.4,6.52,114,147,105,150,287,315,298,-6.344,6.344,66.8,6.8,109,109,33,4,2,1,0,0,0,0,2.08716,0.70861,0.51917,-0.18769,92.6,151,32.11009174,3.669724771,3.669724771,5.65,-0.98,-0.04,2.42,0.367,4,5.820183486,0.351,0.466,-5.820183486,0.016,0.016,0.006,0.008,0,36.2,3.182016464,4.364308116,29.28373208,0.366972477,37.25563168,24.23694113
106,680757,"Kwan, Steven",3531,3,0.276,0.114,0.267,0.39,0.284,0.331,0.307,29,105,89.7,21.9,2198,89.4,89.85,0,106,0,0.4,6.48,118,148,109,151,275,312,297,2.424,-2.424,65.6,6.3,106,106,21,5,2,1,0,0,0,0,2.21415,0.67476,0.40714,-0.36905,92.4,232,29.24528302,3.773584906,3.773584906,5.81,-0.8,0,2.36,0.274,4,-2.286792453,0.305,0.473,2.286792453,-0.031,-0.031,-0.083,-0.047,0,39.3,4.518891447,-4.440391348,34.73512809,0.433962264,31.45449092,30.29762333
106,671277,"García Jr., Luis",2914,3.6,0.394,0.288,0.337,0.683,0.452,0.487,0.411,41,104,92.7,8.7,2257,89.1,89.39,0,106,0,0.3,6.45,117,147,111,151,291,321,304,-10.689,10.689,73.1,7.3,106,106,27,6,0,8,0,0,0,0,2.44943,0.46362,0.315,-0.25085,96.9,182,54.71698113,15.09433962,15.09433962,5.8,-1.4,-0.03,2.38,0.387,16,10.08396226,0.407,0.739,-10.08396226,-0.017,-0.02,-0.056,-0.035,0,37,9.717343772,2.089899757,29.36970435,0.801886792,38.03684778,31.21821025
