pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
82,650333,"Arraez, Luis",3623,2.3,0.383,0.074,0.378,0.457,0.362,0.346,0.358,31,81,88.8,16.5,2275,90.5,90.57,0,82,0,0.1,6.4,115,148,113,150,277,313,301,-4.977,4.977,62,5.8,82,82,25,6,0,0,0,0,0,0,2.07988,0.75427,0.48244,-0.23585,90.9,202,15.85365854,0,0,5.68,-1.15,-0.66,2.38,0.378,0,6.069512195,0.355,0.449,-6.069512195,0.025,0.023,0.008,0.016,0,36.3,1.846490152,14.81617891,34.49630462,0.280487805,41.93267057,27.81395714
67,680757,"Kwan, Steven",3531,1.9,0.313,0.03,0.313,0.343,0.288,0.28,0.288,21,67,84,17,2227,90,90.23,0,67,0,0.2,6.43,112,148,110,150,278,314,299,1.673,-1.673,61.7,6.2,67,67,19,2,0,0,0,0,0,0,2.18507,0.65985,0.65134,-0.56448,89.6,186,7.462686567,0,0,5.64,-0.97,-0.67,2.37,0.313,0,-2.497014925,0.288,0.357,2.497014925,0.025,0.025,-0.014,0.008,0,34.3,-3.887236484,7.729295557,33.33729444,0.149253731,39.08509728,23.42237974
66,680776,"Duran, Jarren",4310,1.5,0.4,0.277,0.375,0.677,0.451,0.411,0.356,26,65,89.4,7,2186,90.2,90.6,0,66,0,0.4,6.54,114,147,108,151,282,320,306,-9.016,9.016,73.6,7.4,66,66,12,12,0,2,0,0,0,0,2.12152,0.71182,0.56742,-0.39197,94.8,192,45.45454545,12.12121212,12.12121212,5.71,-0.32,-0.61,2.36,0.394,8,13.66060606,0.355,0.61,-13.66060606,0.044,0.039,0.067,0.04,0,38.1,0.319456099,10.54526741,26.91799937,0.242424242,46.15293163,24.22455866
66,641355,"Bellinger, Cody",3397,1.9,0.246,0.062,0.242,0.308,0.236,0.277,0.26,16,65,86.4,27.1,2204,90.5,90.68,0,66,0,0.2,6.36,115,145,125,151,292,325,299,3.902,-3.902,67.8,7.4,66,66,13,2,1,0,0,0,0,0,2.20606,0.62788,0.46154,-0.29908,91.3,218,18.18181818,3.03030303,3.03030303,5.73,-0.93,-0.68,2.65,0.242,2,-5.912121212,0.263,0.372,5.912121212,-0.014,-0.021,-0.064,-0.041,0,35.5,7.350159993,9.487663621,29.93789599,0.636363636,38.94687793,24.01753073
66,668930,"Turang, Brice",3932,1.7,0.385,0.077,0.379,0.462,0.363,0.342,0.349,25,65,85.3,8.5,2200,89.6,89.95,0,66,0,0.4,6.47,115,147,105,150,287,318,301,-3.472,3.472,67.3,6.4,66,66,20,5,0,0,0,0,0,0,2.24803,0.62985,0.5553,-0.51833,92,168,30.3030303,1.515151515,1.515151515,5.76,-1.15,-0.63,2.47,0.379,1,5.260606061,0.345,0.45,-5.260606061,0.036,0.034,0.012,0.021,0,39,-0.046300062,12.19686838,26.92485763,0.242424242,42.54365649,28.28507978
63,680977,"Donovan, Brendan",3752,1.7,0.274,0.065,0.27,0.339,0.262,0.34,0.302,17,62,90.5,21.9,2218,89.5,89.79,0,63,0,0.3,6.45,116,146,114,150,292,321,303,1.8,-1.8,68.9,6.7,63,63,13,4,0,0,0,0,0,0,2.33048,0.54635,0.45381,-0.18175,93.4,215,39.68253968,7.936507937,7.936507937,5.73,-0.7,-0.63,2.35,0.27,5,-2.857142857,0.303,0.493,2.857142857,-0.028,-0.033,-0.154,-0.078,0,37.9,4.284400565,11.99550196,27.59182997,0.46031746,43.43100102,20.59639514
58,547180,"Harper, Bryce",3430,1.7,0.414,0.431,0.346,0.845,0.532,0.412,0.339,24,58,89.1,23.1,2211,89,89.15,0,58,0,0.2,6.41,113,146,128,152,293,325,301,-8.651,8.651,74.1,7.3,58,58,11,7,0,6,0,0,0,0,2.39655,0.53071,0.53241,-0.54828,94.1,231,44.82758621,12.06896552,12.06896552,5.8,-0.99,-0.65,2.23,0.414,7,14.91551724,0.339,0.633,-14.91551724,0.075,0.075,0.212,0.12,0,35.8,8.850117726,6.678115423,33.82810129,0.620689655,45.18319945,28.27510983
57,657757,"Sheets, Gavin",3347,1.7,0.298,0.158,0.286,0.456,0.323,0.296,0.289,17,57,87.5,14,2269,90.1,90.4,0,57,0,0.3,6.45,121,146,128,152,291,324,301,0.341,-0.341,72.8,7.2,57,57,10,6,0,1,0,0,0,0,2.22737,0.61228,0.46579,-0.41702,93.2,201,36.84210526,0,0,5.76,-1.37,-0.65,2.64,0.298,0,-0.598245614,0.289,0.399,0.598245614,0.009,0.009,0.057,0.027,0,37.9,1.68024577,9.835140949,24.94684841,0.333333333,45.34914246,22.5681833
55,657077,"Verdugo, Alex",3204,1.7,0.358,0.189,0.333,0.547,0.374,0.314,0.291,19,53,90.5,26.3,2175,90.1,90.32,0,55,0,0.2,6.44,119,146,116,151,289,323,299,-1.613,1.613,67.3,6.2,55,55,11,7,0,1,0,0,0,0,2.17909,0.68855,0.57727,-0.51291,92.9,240,30.90909091,7.272727273,7.272727273,5.78,-1.58,-0.59,2.59,0.345,4,2.932727273,0.287,0.461,-2.932727273,0.067,0.058,0.086,0.06,0,37.8,0.546397893,9.126136403,27.78860653,0.218181818,38.87486632,28.95117674
53,647304,"Naylor, Josh",3350,1.6,0.294,0.196,0.255,0.49,0.322,0.285,0.244,15,51,90.3,20.4,2252,91.2,91.45,0,53,0,0.3,6.36,116,146,127,151,294,324,301,0.356,-0.356,72.3,7.2,53,53,9,4,0,2,0,0,0,0,1.92736,0.8334,0.53302,-0.37642,94.1,204,37.73584906,5.660377358,5.660377358,5.72,-1.14,-0.68,2.53,0.283,3,-0.671698113,0.245,0.419,0.671698113,0.05,0.038,0.071,0.037,0,38.7,0.323784002,8.427736813,26.96520779,0.264150943,43.60328869,17.56474442
53,690993,"Keith, Colt",3004,1.8,0.404,0.154,0.373,0.558,0.408,0.41,0.382,21,52,88.6,18.8,2151,89,89.23,0,53,0,0.2,6.42,115,144,126,150,292,325,298,-3.062,3.062,69.5,6.4,53,53,17,2,0,2,0,0,0,0,2.35057,0.56226,0.60396,-0.66925,93.9,214,37.73584906,7.547169811,7.547169811,5.68,-1.36,-0.61,2.54,0.396,4,5.777358491,0.376,0.591,-5.777358491,0.022,0.02,-0.033,-0.002,0,35.4,2.67149953,11.41405796,29.19644593,0.339622642,45.22781983,24.44642841
52,641487,"Crawford, J.P.",3380,1.5,0.346,0.077,0.346,0.423,0.335,0.331,0.323,18,52,88.8,18.9,2205,89.4,89.38,0,52,0,0,6.25,118,146,112,151,287,320,298,-0.893,0.893,69.9,7,52,52,14,4,0,0,0,0,0,0,2.17654,0.72538,0.45981,-0.42365,92.4,205,30.76923077,0,0,5.74,-0.91,-0.61,2.27,0.346,0,1.717307692,0.323,0.444,-1.717307692,0.023,0.023,-0.021,0.004,0,38.1,1.086564371,8.660132641,35.24052772,0.307692308,41.69689159,32.79951585
52,607043,"Nimmo, Brandon",4075,1.3,0.346,0.269,0.306,0.615,0.409,0.377,0.324,18,52,91,18.3,2258,89.6,89.86,0,52,0,0.3,6.48,118,147,119,152,295,323,303,-5.957,5.957,72.3,7.3,52,52,10,5,0,3,0,0,0,0,2.28577,0.59865,0.38288,-0.24942,94.5,225,46.15384615,11.53846154,11.53846154,5.9,-0.8,-0.58,2.39,0.346,6,11.45576923,0.324,0.561,-11.45576923,0.022,0.022,0.054,0.032,0,40.2,2.7589847,10.50719682,25.86292887,0.423076923,46.89655922,21.64009585
51,663993,"Lowe, Nathaniel",3816,1.3,0.51,0.245,0.469,0.755,0.522,0.423,0.392,25,49,91,13.7,2179,91,91.2,0,51,0,0.2,6.4,122,148,125,150,294,324,305,-8.983,8.983,72.1,7.3,51,51,18,4,1,2,0,0,0,0,2.12078,0.66588,0.69216,-0.62,94.9,207,45.09803922,3.921568627,3.921568627,5.7,-1.01,-0.58,2.42,0.49,2,17.61372549,0.391,0.597,-17.61372549,0.118,0.099,0.158,0.099,0,36.6,4.542392878,14.32808555,28.69095431,0.450980392,45.38583182,24.94493469
51,694384,"Schanuel, Nolan",3667,1.4,0.28,0.1,0.275,0.38,0.28,0.22,0.208,14,50,85.6,24,2288,90.7,90.6,0,51,0,-0.1,6.35,120,146,117,151,291,319,299,1.229,-1.229,64.1,6.5,51,51,9,5,0,0,0,0,0,0,2.00765,0.81667,0.469,-0.3202,91,229,21.56862745,3.921568627,3.921568627,5.76,-1.5,-0.65,2.69,0.275,2,-2.409803922,0.206,0.309,2.409803922,0.072,0.069,0.071,0.06,0,36.6,3.689144415,10.18555231,34.72705794,0.450980392,39.35073154,23.14821305
51,518692,"Freeman, Freddie",3699,1.4,0.319,0.298,0.28,0.617,0.362,0.305,0.266,15,47,92.2,26.1,2219,89.9,90.09,0,51,0,0.2,6.35,117,146,129,151,293,322,302,-2.083,2.083,68.5,6.7,51,51,4,9,1,1,0,0,0,0,2.14275,0.71275,0.47647,-0.51686,94.3,264,47.05882353,5.882352941,5.882352941,5.83,-1.07,-0.65,2.58,0.294,3,4.084313725,0.253,0.479,-4.084313725,0.053,0.041,0.138,0.057,0,38.8,5.009573855,9.011634906,38.60733652,0.490196078,46.25645292,22.56343449
51,676475,"Burleson, Alec",3084,1.7,0.347,0.245,0.292,0.592,0.386,0.36,0.274,17,49,91.4,22,2181,90.5,90.71,0,51,0,0.2,6.37,112,146,117,150,294,323,304,-2.709,2.709,70.8,7.3,51,51,11,3,0,3,0,0,0,0,2.06686,0.73882,0.47843,-0.43569,94.2,226,41.17647059,17.64705882,17.64705882,5.76,-0.92,-0.6,2.41,0.333,9,5.311764706,0.271,0.576,-5.311764706,0.073,0.062,0.016,0.026,0,37.5,6.331727751,10.10525368,31.68817979,0.607843137,37.64549413,25.84103968
51,682998,"Carroll, Corbin",3908,1.3,0.38,0.48,0.289,0.86,0.51,0.35,0.283,19,50,89.8,17,2195,89.9,89.98,0,51,0,0.1,6.39,117,147,109,152,295,326,304,-9.723,9.723,73.1,7,51,51,8,4,1,6,0,0,0,0,2.32961,0.5526,0.50608,-0.41471,94.4,205,37.25490196,13.7254902,13.7254902,5.76,-0.96,-0.63,2.32,0.373,7,19.06470588,0.278,0.556,-19.06470588,0.097,0.095,0.304,0.16,0,35,4.978760295,11.74409408,21.70297978,0.470588235,44.9587877,29.23690137
50,683002,"Henderson, Gunnar",4150,1.2,0.367,0.245,0.319,0.612,0.411,0.345,0.305,18,49,91.9,11.1,2192,91.6,91.82,0,50,0,0.2,6.44,113,146,126,151,298,326,304,-5.881,5.881,74,7.1,50,50,12,3,0,3,0,0,0,0,1.939,0.82122,0.7202,-0.6766,95.2,160,44,6,6,5.73,-0.91,-0.6,2.56,0.36,3,11.762,0.299,0.518,-11.762,0.062,0.061,0.094,0.066,0,38.6,2.305150661,16.56092188,26.61639869,0.36,42.39788189,23.55107196
49,681082,"Stott, Bryson",3713,1.3,0.306,0.061,0.306,0.367,0.293,0.3,0.303,15,49,86.8,13.1,2230,89.5,89.65,0,49,0,0.2,6.42,111,145,118,150,285,318,299,0.114,-0.114,66.7,7,49,49,12,3,0,0,0,0,0,0,2.37612,0.52224,0.53354,-0.43396,91.7,178,26.53061224,0,0,5.72,-1.3,-0.59,2.33,0.306,0,-0.232653061,0.303,0.391,0.232653061,0.003,0.003,-0.024,-0.007,0,35,2.981819798,14.34790846,29.45381587,0.408163265,40.15983187,21.28108932
49,608369,"Seager, Corey",2742,1.8,0.25,0.208,0.196,0.458,0.296,0.348,0.269,12,48,89.2,28,2073,88.9,88.96,0,49,0,0.1,6.38,119,146,133,151,297,327,304,0.162,-0.162,71.1,6.6,49,49,8,1,0,3,0,0,0,0,2.3502,0.57592,0.62306,-0.61041,94,235,44.89795918,12.24489796,12.24489796,5.85,-1.18,-0.64,2.46,0.245,6,-0.330612245,0.265,0.563,0.330612245,-0.019,-0.02,-0.105,-0.052,0,39.1,10.78356117,7.448280905,32.22727712,0.693877551,44.43033665,29.72161498
49,682928,"Abrams, CJ",3428,1.4,0.327,0.286,0.283,0.612,0.399,0.363,0.303,16,49,89.7,30.2,2269,89.4,89.74,0,49,0,0.3,6.41,116,146,110,150,294,323,301,-4.743,4.743,71.9,7.4,49,49,8,5,0,3,0,0,0,0,2.28224,0.61417,0.4449,-0.37837,94.4,231,42.85714286,8.163265306,8.163265306,5.73,-0.89,-0.64,2.38,0.327,4,9.679591837,0.303,0.552,-9.679591837,0.024,0.024,0.06,0.036,0,36.4,7.665562734,5.991753233,26.80120245,0.612244898,46.29316309,26.09031968
49,686469,"Pasquantino, Vinnie",3430,1.4,0.25,0.104,0.245,0.354,0.255,0.221,0.195,12,48,89.4,25.3,2266,90.8,91.27,0,49,0,0.5,6.53,115,145,130,151,299,327,306,2.622,-2.622,71,7,49,49,7,5,0,0,0,0,0,0,2.01163,0.78633,0.44735,-0.42163,93.1,218,32.65306122,0,0,5.82,-1.23,-0.61,2.54,0.245,0,-5.351020408,0.193,0.328,5.351020408,0.055,0.052,0.026,0.034,0,42.2,3.450888929,6.860673181,28.80925515,0.408163265,46.19757312,24.09831619
47,665742,"Soto, Juan",4560,1,0.444,0.667,0.308,1.111,0.623,0.699,0.444,20,45,96.6,23.4,2295,91.1,91.19,0,47,0,0.1,6.44,116,145,123,151,299,329,302,-11.399,11.399,74.1,7.1,47,47,6,6,0,8,0,0,0,0,2.12489,0.66383,0.51435,-0.33435,98.5,258,63.82978723,36.17021277,36.17021277,5.78,-0.83,-0.64,2.45,0.426,17,24.25319149,0.437,1.253,-24.25319149,0,-0.011,-0.142,-0.076,0,38.4,8.795186909,13.50338691,24.64454772,0.808510638,45.51920008,20.22209407
46,646240,"Devers, Rafael",3999,1.2,0.422,0.578,0.308,1,0.584,0.449,0.327,19,45,93,16.3,2121,88.5,88.74,0,46,0,0.2,6.47,114,147,132,151,287,326,308,-12.738,12.738,71.6,7.5,46,46,7,5,0,7,0,0,0,0,2.50457,0.44935,0.41391,-0.48565,96.7,211,54.34782609,17.39130435,17.39130435,5.58,-0.37,-0.58,2.39,0.413,8,27.69130435,0.327,0.751,-27.69130435,0.095,0.086,0.249,0.135,0,36.4,7.30313956,15.15578659,24.93892005,0.608695652,42.2138565,25.25122802
46,671732,"Butler, Lawrence",3256,1.4,0.489,0.333,0.467,0.822,0.545,0.312,0.304,22,45,85.6,10.8,2109,90.6,90.86,0,46,0,0.3,6.52,113,145,119,151,293,324,302,-6.825,6.825,72.8,6.9,46,46,9,12,0,1,0,0,0,0,2.21609,0.76543,0.78848,-0.76022,92.9,198,34.7826087,2.173913043,2.173913043,5.79,-1.68,-0.62,2.49,0.478,1,14.83695652,0.305,0.415,-14.83695652,0.185,0.173,0.407,0.233,0,38.3,0.443602909,10.92653959,27.76712716,0.260869565,46.10447461,22.38537274
46,670541,"Alvarez, Yordan",2754,1.7,0.209,0.14,0.196,0.349,0.221,0.318,0.255,9,43,92.1,32.1,2172,89.9,89.77,0,46,0,-0.1,6.32,112,144,131,151,294,331,304,2.2,-2.2,76.7,7.4,46,46,3,6,0,0,0,0,0,0,2.23326,0.63804,0.58217,-0.46609,95.2,256,50,8.695652174,8.695652174,5.73,-0.78,-0.58,2.59,0.196,4,-4.782608696,0.261,0.458,4.782608696,-0.046,-0.065,-0.109,-0.097,0,35.7,2.659178291,3.634642029,32.35860478,0.369565217,43.13964077,31.49415441
45,573262,"Yastrzemski, Mike",3148,1.4,0.289,0.2,0.256,0.489,0.333,0.321,0.253,13,45,88.1,29.4,2214,90.1,90.22,0,45,0,0.1,6.3,115,146,111,151,293,321,301,0.713,-0.713,70.1,7.5,45,45,8,3,0,2,0,0,0,0,2.19889,0.644,0.46614,-0.51614,93.1,233,33.33333333,8.888888889,8.888888889,5.72,-0.68,-0.66,2.36,0.289,4,-1.584444444,0.253,0.507,1.584444444,0.036,0.036,-0.018,0.012,0,35.3,7.834898599,7.41294189,28.66387093,0.666666667,40.94442915,26.28104755
45,643217,"Benintendi, Andrew",2822,1.6,0.233,0.093,0.222,0.326,0.23,0.293,0.269,10,43,89.5,34.4,2199,89.2,89.52,0,45,0,0.3,6.56,115,145,112,150,283,318,300,2.674,-2.674,67.1,6.5,45,45,6,4,0,0,0,0,0,0,2.28822,0.62222,0.55178,-0.35089,92,255,31.11111111,2.222222222,2.222222222,5.86,-0.94,-0.68,2.45,0.222,1,-5.942222222,0.269,0.393,5.942222222,-0.036,-0.047,-0.067,-0.063,0,38,8.968746035,9.252921893,29.87133347,0.733333333,37.94833212,28.6094938
44,621566,"Olson, Matt",4543,1,0.386,0.386,0.341,0.773,0.489,0.366,0.296,17,44,93.9,19.5,2148,88.5,88.78,0,44,0,0.3,6.41,117,147,129,152,302,331,305,-7.388,7.388,71.7,7.2,44,44,6,8,0,3,0,0,0,0,2.49023,0.45205,0.39727,-0.34864,95.5,226,54.54545455,15.90909091,15.90909091,5.92,-0.89,-0.63,2.45,0.386,7,16.79090909,0.296,0.572,-16.79090909,0.09,0.09,0.201,0.123,0,38.1,2.47928511,11.26051707,30.18726343,0.545454545,45.60867509,26.97280894
43,663616,"Larnach, Trevor",2844,1.5,0.19,0.071,0.186,0.262,0.191,0.245,0.248,8,42,89.7,28.5,2206,90.6,90.87,0,43,0,0.3,6.42,118,146,126,151,292,324,301,2.318,-2.318,71.7,6.9,43,43,5,3,0,0,0,0,0,0,2.09767,0.70791,0.64093,-0.63488,92.8,225,27.90697674,0,0,5.87,-1.54,-0.6,2.57,0.186,0,-5.390697674,0.243,0.334,5.390697674,-0.058,-0.057,-0.072,-0.054,0,38.1,-0.801746982,3.234595235,35.83519346,0.302325581,41.67687232,26.35417824
43,596019,"Lindor, Francisco",4229,1,0.419,0.279,0.405,0.698,0.475,0.375,0.308,18,43,92.7,21.9,2251,89.2,89.57,0,43,0,0.4,6.51,117,143,117,149,294,323,300,-5.1,5.1,69.9,7.2,43,43,8,9,0,1,0,0,0,0,2.57535,0.32256,0.39163,-0.39163,95.1,228,51.1627907,11.62790698,11.62790698,5.81,-2.03,-0.62,2.31,0.419,5,11.86046512,0.308,0.576,-11.86046512,0.111,0.111,0.122,0.1,0,39.7,6.085898169,12.11362167,32.15491472,0.465116279,41.91249216,23.29088643
43,605137,"Bell, Josh",3316,1.3,0.256,0.349,0.179,0.605,0.361,0.426,0.313,11,43,92.1,19.8,2208,91.1,91.22,0,43,0,0.1,6.41,117,146,127,150,295,323,303,-0.075,0.075,71.9,7.7,43,43,4,3,0,4,0,0,0,0,2.24233,0.53674,0.79349,-0.79349,95.3,223,48.8372093,16.27906977,16.27906977,5.67,-1.99,-0.73,2.79,0.256,7,0.174418605,0.313,0.708,-0.174418605,-0.057,-0.057,-0.103,-0.065,0,33.2,5.299822361,13.804673,29.21370435,0.441860465,44.69004677,18.88812262
43,665750,"Taveras, Leody",2701,1.6,0.262,0.071,0.256,0.333,0.252,0.234,0.244,11,42,83.5,24.8,2207,90.5,90.87,0,43,0,0.4,6.59,116,145,108,149,289,322,301,1.86,-1.86,69.9,7.2,43,43,8,3,0,0,0,0,0,0,2.17093,0.64419,0.68419,-0.68419,90.5,184,13.95348837,0,0,5.64,-1.84,-0.65,2.56,0.256,0,-4.325581395,0.239,0.3,4.325581395,0.018,0.017,0.033,0.018,0,35.7,-0.775010174,4.632050098,29.68234421,0.302325581,43.60556012,25.25838692
43,686217,"Frelick, Sal",3326,1.3,0.302,0.093,0.286,0.395,0.303,0.259,0.261,13,43,83.9,8.7,2283,91.5,91.66,0,43,0,0.2,6.38,117,147,109,151,286,314,298,-1.101,1.101,64.6,6.7,43,43,11,1,0,1,0,0,0,0,2.02674,0.71163,0.5107,-0.3586,90.3,153,9.302325581,0,0,5.61,-1.6,-0.65,2.44,0.302,0,2.560465116,0.261,0.335,-2.560465116,0.041,0.041,0.06,0.044,0,37,-3.227311006,13.58649343,28.60556412,0.209302326,44.30612242,17.07637315
42,669224,"Wells, Austin",2690,1.6,0.263,0.211,0.22,0.474,0.283,0.331,0.282,10,38,89.4,24.2,2141,90.2,90.42,0,42,0,0.2,6.44,113,143,117,149,289,324,296,-0.487,0.487,71.5,7.3,42,42,4,5,0,1,0,0,0,0,2.2769,0.55595,0.58,-0.54585,93.9,225,42.85714286,7.142857143,7.142857143,5.84,-1.02,-0.62,2.36,0.238,3,1.15952381,0.291,0.495,-1.15952381,-0.019,-0.053,-0.021,-0.048,0,38.5,6.079355554,6.754752078,31.47507835,0.571428571,41.13885459,24.20514745
42,660271,"Ohtani, Shohei",4339,1,0.429,0.667,0.294,1.095,0.637,0.531,0.344,18,42,94.1,34.9,2128,90.6,91.05,0,42,0,0.4,6.47,115,146,133,152,302,328,306,-12.266,12.266,74.2,7.8,42,42,6,4,0,8,0,0,0,0,2.17952,0.61595,0.42738,-0.46595,96.5,272,54.76190476,23.80952381,23.80952381,5.85,-0.82,-0.62,2.62,0.429,10,29.20476191,0.344,0.933,-29.20476191,0.085,0.085,0.162,0.106,0,39.4,6.556913114,6.107380439,31.13591814,0.547619048,46.08532787,20.96417981
42,664023,"Happ, Ian",4173,1,0.375,0.25,0.325,0.625,0.407,0.328,0.294,15,40,90.4,20.9,2206,89.8,89.97,0,42,0,0.2,6.36,117,145,124,151,291,322,301,-3.348,3.348,69.8,6.6,42,42,9,4,0,2,0,0,0,0,2.24048,0.61952,0.55786,-0.55786,93.7,227,42.85714286,7.142857143,7.142857143,5.8,-1.86,-0.61,2.28,0.357,3,7.971428571,0.291,0.479,-7.971428571,0.081,0.066,0.146,0.079,0,36.4,5.475358401,8.963014263,30.36662617,0.404761905,42.97016754,27.54775623
41,660821,"Sánchez, Jesús",2965,1.4,0.22,0.171,0.22,0.39,0.258,0.388,0.329,9,41,93.4,22.8,2221,89.9,90.24,0,41,0,0.3,6.51,111,147,125,151,295,324,304,1.122,-1.122,74.3,6.9,41,41,2,7,0,0,0,0,0,0,2.09732,0.78075,0.55829,-0.60561,96.3,231,58.53658537,12.19512195,12.19512195,5.72,-1.31,-0.6,2.4,0.22,5,-2.736585366,0.329,0.589,2.736585366,-0.109,-0.109,-0.199,-0.13,0,37.4,3.513564116,10.0251632,26.27177471,0.414634146,44.98879365,27.8154129
41,665926,"Giménez, Andrés",3268,1.3,0.293,0.098,0.293,0.39,0.295,0.274,0.273,12,41,87.3,9.6,2180,88.8,88.98,0,41,0,0.2,6.36,114,146,110,151,284,320,296,-0.849,0.849,68.1,6.9,41,41,8,4,0,0,0,0,0,0,2.3839,0.53927,0.39146,-0.26854,92.3,175,31.70731707,0,0,5.65,-0.98,-0.64,2.3,0.293,0,2.070731707,0.273,0.36,-2.070731707,0.02,0.02,0.03,0.021,0,35.3,4.165237707,13.64724839,28.67499678,0.414634146,45.40509908,23.85698587
41,624428,"Frazier, Adam",2210,1.9,0.4,0.175,0.375,0.575,0.411,0.31,0.304,16,40,86.9,26,2140,89,89.24,0,41,0,0.2,6.48,115,146,110,151,288,318,296,-3.144,3.144,65.9,6.8,41,41,11,4,0,1,0,0,0,0,2.41073,0.4978,0.5595,-0.5205,90.8,227,9.756097561,2.43902439,2.43902439,5.7,-1.67,-0.58,2.22,0.39,1,7.668292683,0.308,0.411,-7.668292683,0.096,0.082,0.164,0.101,0,36.1,5.479850759,9.943712667,37.06578716,0.487804878,37.86799798,20.86810522
41,624424,"Conforto, Michael",3048,1.3,0.25,0.25,0.225,0.5,0.307,0.315,0.26,10,40,93.3,29,2235,91.1,91.42,0,41,0,0.3,6.44,113,147,120,151,293,321,303,1.067,-1.067,73,7.2,41,41,3,5,1,1,0,0,0,0,2.00341,0.76171,0.56902,-0.39927,96.1,209,63.41463415,7.317073171,7.317073171,5.8,-1.21,-0.54,2.42,0.244,3,-2.602439024,0.262,0.473,2.602439024,-0.01,-0.018,0.027,-0.008,0,37.2,7.18618384,11.38967006,28.7962933,0.56097561,44.1846397,23.08176087
41,650489,"Castro, Willi",3438,1.2,0.45,0.1,0.439,0.55,0.424,0.349,0.318,18,40,88.4,21.1,2206,88.7,89.1,0,41,0,0.4,6.48,116,146,108,151,286,323,297,-3.194,3.194,69.1,6.7,41,41,14,4,0,0,0,0,0,0,2.51829,0.40878,0.51976,-0.51976,92.8,229,34.14634146,7.317073171,7.317073171,5.82,-2.17,-0.62,2.35,0.439,3,7.790243902,0.315,0.496,-7.790243902,0.132,0.124,0.054,0.075,0,38.6,3.299656024,8.65014339,36.49367014,0.292682927,38.34494431,26.16061257
40,656941,"Schwarber, Kyle",4432,0.9,0.308,0.436,0.2,0.744,0.43,0.399,0.289,12,39,93.1,35,2172,91.5,91.75,0,40,0,0.3,6.46,120,144,128,150,297,325,298,-2.694,2.694,76.1,7.4,40,40,5,2,0,5,0,0,0,0,1.9795,0.763,0.6935,-0.4415,95.5,243,45,17.5,17.5,5.78,-0.78,-0.68,2.45,0.3,7,6.735,0.284,0.68,-6.735,0.019,0.016,0.064,0.031,0,38.1,9.718209737,9.072597074,27.81233535,0.75,42.25673211,25.92675272
