pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
93,608070,"Ramírez, José",4053,2.3,0.366,0.323,0.314,0.688,0.447,0.431,0.394,34,93,93.6,5.8,2149,88.6,88.87,0,93,0,0.3,6.46,115,145,129,152,292,322,298,-10.386,10.386,70.6,7.3,93,93,18,9,0,7,0,0,0,0,2.48398,0.45871,0.53696,-0.53696,95.5,155,51.61290323,9.677419355,9.677419355,5.77,-2,-0.64,2.34,0.366,9,11.16774194,0.394,0.615,-11.16774194,-0.028,-0.028,0.073,0.016,0,36.8,12.8136709,-7.21585599,28.58655461,0.870967742,37.81350746,32.21390754
76,641355,"Bellinger, Cody",3397,2.2,0.303,0.224,0.264,0.526,0.354,0.304,0.284,23,76,89.7,6.5,2181,88.6,88.71,0,76,0,0.1,6.32,114,145,124,151,293,323,301,-4.534,4.534,70.6,8,76,76,14,5,0,4,0,0,0,0,2.42197,0.51737,0.47461,-0.56013,93.3,127,36.84210526,3.947368421,3.947368421,5.74,-0.97,-0.56,2.59,0.303,3,5.965789474,0.284,0.426,-5.965789474,0.019,0.019,0.1,0.05,0,35,15.85348783,-6.398575459,29.97530555,0.75,37.30008811,33.55308588
74,686681,"Massey, Michael",2089,3.5,0.274,0.055,0.27,0.329,0.259,0.328,0.326,20,73,88.8,8.7,2075,85.9,86.13,0,74,0,0.2,6.38,116,145,111,151,295,325,302,1.527,-1.527,71.5,7.5,74,74,17,2,1,0,0,0,0,0,2.75905,0.35405,0.49257,-0.74095,92.9,122,35.13513514,2.702702703,2.702702703,5.82,-1.18,-0.62,2.24,0.27,2,-2.063513514,0.327,0.427,2.063513514,-0.052,-0.057,-0.098,-0.069,0,39.2,15.37549505,-7.736464742,28.72118921,0.810810811,42.96568375,34.97028174
68,647304,"Naylor, Josh",3350,2,0.358,0.164,0.333,0.522,0.374,0.352,0.331,24,67,89.2,-1.8,2062,87,87.29,0,68,0,0.3,6.45,116,144,126,150,292,322,300,-5.51,5.51,72.5,7.9,68,68,17,5,0,2,0,0,0,0,2.66515,0.37015,0.48824,-0.57735,93.9,110,39.70588235,5.882352941,5.882352941,5.87,-1.44,-0.6,2.22,0.353,4,8.102941176,0.327,0.499,-8.102941176,0.027,0.026,0.023,0.022,0,38.8,9.043058864,-9.70187142,28.59934706,0.764705882,42.38090083,28.49113206
67,467793,"Santana, Carlos",3730,1.8,0.328,0.134,0.308,0.463,0.342,0.394,0.381,22,67,94,6.9,2054,88.8,88.95,0,67,0,0.2,6.34,113,144,126,151,294,323,299,-0.419,0.419,73.5,7.9,67,67,17,3,0,2,0,0,0,0,2.49448,0.42985,0.68209,-0.68209,96.1,138,53.73134328,5.970149254,5.970149254,5.61,-2.13,-0.58,2.34,0.328,4,0.625373134,0.381,0.532,-0.625373134,-0.053,-0.053,-0.069,-0.052,0,32.5,13.76666837,-6.783582337,25.49970972,0.880597015,42.22856135,36.59199004
64,663728,"Raleigh, Cal",3975,1.6,0.484,0.387,0.414,0.871,0.559,0.587,0.51,30,62,95.3,11.3,2002,88.2,88.31,0,64,0,0.1,6.36,116,144,126,150,296,325,297,-11.734,11.734,76.3,8.1,64,64,18,6,0,6,0,0,0,0,2.52719,0.43328,0.77062,-0.77062,97.7,178,62.5,12.5,12.5,5.58,-2.06,-0.64,2.28,0.469,8,18.334375,0.499,0.892,-18.334375,-0.026,-0.03,-0.021,-0.028,0,35.8,18.60809033,-7.042544335,32.0913226,0.5,40.70468827,37.85178792
62,660271,"Ohtani, Shohei",4339,1.4,0.387,0.387,0.321,0.774,0.49,0.478,0.415,24,62,92.8,5.7,2146,86.9,87.2,0,62,0,0.3,6.36,114,144,130,150,300,326,309,-8.789,8.789,74.4,8.2,62,62,14,2,2,6,0,0,0,0,2.69435,0.35082,0.30081,-0.43016,95.5,143,48.38709677,14.51612903,14.51612903,5.82,-0.69,-0.55,2.49,0.387,9,14.17580645,0.415,0.708,-14.17580645,-0.028,-0.028,0.066,0.012,0,39.4,14.22662947,-6.516225642,31.74256073,0.919354839,45.1076576,29.18778857
61,686469,"Pasquantino, Vinnie",3430,1.8,0.373,0.373,0.291,0.746,0.459,0.451,0.418,22,59,92.5,7.8,2090,85.3,85.6,0,61,0,0.3,6.46,116,144,125,150,297,325,304,-9.626,9.626,72.7,7.8,61,61,12,4,0,6,0,0,0,0,2.94836,0.22475,0.34885,-0.48557,95.6,169,52.45901639,8.196721311,8.196721311,5.72,-1.42,-0.57,2.37,0.361,5,15.78032787,0.411,0.641,-15.78032787,-0.045,-0.05,0.105,0.008,0,37.3,12.71352014,-10.42330471,27.1764699,0.93442623,45.72979389,35.03107879
60,656775,"Mullins, Cedric",3115,1.9,0.283,0.217,0.246,0.5,0.334,0.352,0.331,17,60,91.3,9.5,2123,86.3,86.38,0,60,0,0.1,6.4,113,145,110,151,293,323,298,-0.227,0.227,71.4,7.8,60,60,10,4,0,3,0,0,0,0,2.74833,0.38033,0.42267,-0.38767,94.3,144,41.66666667,5,5,5.74,-1.02,-0.55,2.28,0.283,3,0.378333333,0.331,0.487,-0.378333333,-0.048,-0.048,0.013,-0.018,0,36,12.22306579,-7.204518478,26.39988701,0.816666667,39.86063496,32.00240971
57,682928,"Abrams, CJ",3428,1.7,0.351,0.316,0.288,0.667,0.433,0.412,0.346,20,57,87.1,3.2,2178,85.8,86.03,0,57,0,0.2,6.38,120,146,114,151,293,323,302,-4.231,4.231,73.3,7.9,57,57,12,3,0,5,0,0,0,0,2.76,0.38246,0.13158,-0.40211,94,144,36.84210526,10.52631579,10.52631579,5.88,-0.88,-0.62,2.37,0.351,6,7.422807018,0.346,0.62,-7.422807018,0.005,0.005,0.047,0.021,0,39.2,17.67929426,-4.777122177,24.74680221,0.807017544,45.95927851,35.3098275
