pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
100,671277,"García Jr., Luis",2914,3.4,0.27,0.1,0.255,0.37,0.277,0.347,0.343,27,100,86.4,0.2,2151,86.4,86.87,0,100,0,0.5,6.45,119,147,114,151,292,322,304,0.245,-0.245,71.1,7.4,100,100,21,4,0,2,0,0,0,0,2.8222,0.2577,0.2867,-0.4017,92.4,126,28,6,6,5.75,-1.34,-0.64,2.35,0.27,6,-0.245,0.343,0.462,0.245,-0.073,-0.073,-0.092,-0.07,0,35.7,10.08774827,4.780475953,27.0780182,0.84,44.87109282,29.83340344
94,647304,"Naylor, Josh",3350,2.8,0.33,0.128,0.3,0.457,0.341,0.412,0.379,31,94,92.3,3.9,2118,89.3,89.53,0,94,0,0.2,6.43,115,145,126,150,292,324,300,-2.146,2.146,72.9,7.5,94,94,27,0,0,4,0,0,0,0,2.3416,0.58532,0.57213,-0.59277,95.9,142,50,5.319148936,5.319148936,5.74,-1.1,-0.61,2.28,0.33,5,2.282978723,0.379,0.58,-2.282978723,-0.049,-0.049,-0.123,-0.071,0,36.9,3.443856443,1.03079529,28.43583246,0.425531915,42.74633282,21.91413114
94,665742,"Soto, Juan",4560,2.1,0.312,0.172,0.278,0.484,0.338,0.464,0.396,29,93,93.3,-4.4,2245,88.7,88.84,0,94,0,0.1,6.45,117,145,122,150,297,328,301,-4.794,4.794,73.3,7.3,94,94,21,4,0,4,0,0,0,0,2.50915,0.43447,0.37223,-0.36096,97.8,123,56.38297872,11.70212766,11.70212766,5.78,-0.65,-0.62,2.26,0.309,11,5.1,0.397,0.672,-5.1,-0.084,-0.088,-0.188,-0.126,0,38.1,10.41868149,8.784016318,26.47407344,0.723404255,45.37244647,23.09258023
88,650333,"Arraez, Luis",3623,2.4,0.273,0.045,0.273,0.318,0.257,0.315,0.318,24,88,88.7,5.7,2162,89.6,89.8,0,88,0,0.2,6.51,116,148,116,150,275,312,301,3.216,-3.216,63.6,6.1,88,88,21,2,1,0,0,0,0,0,2.24693,0.64034,0.60352,-0.53011,92.4,144,30.68181818,2.272727273,2.272727273,5.71,-0.88,-0.63,2.29,0.273,2,-3.654545455,0.318,0.41,3.654545455,-0.045,-0.045,-0.092,-0.058,0,36.7,7.608127188,7.339905355,34.03434286,0.602272727,41.32954467,32.88318205
88,676475,"Burleson, Alec",3084,2.9,0.306,0.047,0.295,0.353,0.278,0.358,0.328,26,85,90.7,6.4,2146,88.9,89.22,0,88,0,0.3,6.51,117,147,119,151,298,324,306,1.781,-1.781,71.5,7.5,88,88,22,4,0,0,0,0,0,0,2.32761,0.59898,0.51284,-0.53148,93.8,162,43.18181818,4.545454545,4.545454545,5.82,-0.91,-0.6,2.33,0.295,4,-2.023863636,0.33,0.471,2.023863636,-0.022,-0.035,-0.118,-0.08,0,39.5,9.78810577,7.033052078,31.44174518,0.670454545,37.73985403,29.02104699
83,680977,"Donovan, Brendan",3752,2.2,0.28,0.049,0.268,0.329,0.263,0.385,0.352,23,82,89.5,1.6,2101,88.1,88.44,0,83,0,0.3,6.47,118,147,111,151,293,322,303,3.694,-3.694,70.6,7,83,83,21,1,0,1,0,0,0,0,2.47072,0.51904,0.45976,-0.54463,94.4,141,46.98795181,7.228915663,7.228915663,5.75,-0.6,-0.59,2.34,0.277,6,-4.45060241,0.35,0.545,4.45060241,-0.072,-0.073,-0.216,-0.122,0,37.8,8.316436978,3.713429394,27.33164103,0.722891566,43.3084603,25.79023466
78,660688,"Ruiz, Keibert",2515,3.1,0.267,0.053,0.256,0.32,0.246,0.26,0.259,20,75,88.2,10.2,2106,90,90.37,0,78,0,0.4,6.46,114,144,123,150,295,321,298,4.374,-4.374,66.6,6.8,78,78,16,4,0,0,0,0,0,0,2.34205,0.50117,0.61949,-0.61949,92.6,168,33.33333333,1.282051282,1.282051282,5.83,-1.9,-0.66,2.43,0.256,1,-5.607692308,0.257,0.339,5.607692308,0.008,-0.001,-0.019,-0.014,0,36.5,3.492230137,1.014656496,31.06561989,0.435897436,39.75677136,31.63450785
78,656941,"Schwarber, Kyle",4432,1.8,0.312,0.247,0.26,0.558,0.366,0.481,0.379,24,77,93.3,6.9,2160,88.7,88.99,0,78,0,0.3,6.49,117,146,128,151,299,328,299,-2.117,2.117,76.7,7.6,78,78,15,4,0,5,0,0,0,0,2.35538,0.57769,0.47859,-0.49423,96.7,167,52.56410256,15.38461538,15.38461538,5.83,-0.6,-0.66,2.33,0.308,12,2.714102564,0.376,0.77,-2.714102564,-0.067,-0.068,-0.212,-0.115,0,38.3,12.38285936,3.62282711,27.92931777,0.91025641,42.21364574,28.9050856
78,641355,"Bellinger, Cody",3397,2.3,0.395,0.118,0.368,0.513,0.384,0.443,0.389,30,76,91.2,8,2255,88.9,89.01,0,78,0,0.1,6.34,113,144,125,151,293,324,301,-5.033,5.033,69.1,7.7,78,78,25,3,0,2,0,0,0,0,2.4441,0.48429,0.37526,-0.28038,94.8,173,52.56410256,14.1025641,14.1025641,5.83,-0.73,-0.7,2.54,0.385,11,6.452564103,0.391,0.639,-6.452564103,0.006,-0.006,-0.126,-0.059,0,40.2,11.93631879,2.448426608,29.74362931,0.769230769,38.90617092,28.39740825
77,694384,"Schanuel, Nolan",3667,2.1,0.276,0.092,0.263,0.368,0.276,0.354,0.354,21,76,86.9,-1.8,2191,88.7,88.81,0,77,0,0.1,6.42,113,145,117,151,291,317,299,1.483,-1.483,65.9,6.6,77,77,16,4,0,1,0,0,0,0,2.58455,0.36921,0.39558,-0.43429,92.5,120,31.16883117,2.597402597,2.597402597,5.81,-1.02,-0.63,2.46,0.273,2,-1.925974026,0.351,0.476,1.925974026,-0.078,-0.078,-0.108,-0.078,0,37.1,6.090003926,6.074817431,35.25637609,0.493506494,39.58965062,26.38795588
77,608369,"Seager, Corey",2742,2.8,0.382,0.039,0.377,0.421,0.347,0.393,0.36,29,76,89.2,6.6,2147,88.3,88.38,0,77,0,0.1,6.39,115,146,132,151,298,328,306,-0.461,0.461,72.3,6.8,77,77,26,3,0,0,0,0,0,0,2.58273,0.37857,0.58506,-0.52896,94.5,155,41.55844156,6.493506494,6.493506494,5.65,-0.9,-0.61,2.25,0.377,5,0.598701299,0.358,0.551,-0.598701299,0.022,0.019,-0.13,-0.046,0,35.8,12.92124192,4.507019286,32.70284298,0.753246753,43.67919761,31.90152625
76,682998,"Carroll, Corbin",3908,1.9,0.324,0.297,0.278,0.622,0.388,0.472,0.386,24,74,92.3,-4.1,2079,88.8,88.93,0,76,0,0.1,6.43,117,146,111,151,293,324,303,-4.678,4.678,73.8,7.2,76,76,14,2,4,4,0,0,0,0,2.48329,0.44342,0.42737,-0.46368,96.8,133,52.63157895,13.15789474,13.15789474,5.75,-0.87,-0.56,2.19,0.316,10,6.155263158,0.383,0.722,-6.155263158,-0.062,-0.067,-0.1,-0.084,0,37.5,6.65169767,5.295706455,22.39359321,0.618421053,44.23794978,34.06756499
73,671739,"Harris II, Michael",2803,2.6,0.274,0.068,0.264,0.342,0.268,0.383,0.352,20,73,92.7,-1.6,2097,87.6,87.64,0,73,0,0,6.31,116,147,113,151,297,326,304,2.396,-2.396,75.1,8.2,73,73,17,2,0,1,0,0,0,0,2.64247,0.36562,0.69616,-0.64603,96.8,118,50.68493151,8.219178082,8.219178082,5.74,-1.07,-0.68,2.22,0.274,6,-3.282191781,0.352,0.536,3.282191781,-0.078,-0.078,-0.194,-0.115,0,34.6,6.525376108,4.312045907,28.52284746,0.589041096,45.98209684,29.99284058
72,686469,"Pasquantino, Vinnie",3430,2.1,0.31,0.07,0.306,0.38,0.296,0.348,0.303,22,71,91.3,3.5,2194,89.2,89.42,0,72,0,0.2,6.39,118,144,122,149,296,325,305,1.226,-1.226,72,7.3,72,72,17,5,0,0,0,0,0,0,2.35486,0.5525,0.55306,-0.36972,95.4,151,55.55555556,8.333333333,8.333333333,5.78,-0.88,-0.57,2.39,0.306,6,-1.702777778,0.299,0.53,1.702777778,0.007,0.007,-0.15,-0.052,0,37.8,6.050632391,1.393024832,28.40936425,0.583333333,46.33597592,28.09912882
