pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
44,665489,"Guerrero Jr., Vladimir",3948,1.1,0.318,0.023,0.318,0.341,0.29,0.289,0.263,14,44,86,31.6,2223,92.9,93.07,0,44,0,0.2,6.49,103,150,122,145,304,326,295,1.318,-1.318,74,7.1,44,44,13,1,0,0,0,0,0,0,1.74727,0.92432,0.86477,0.70432,91.5,202,22.72727273,4.545454545,4.545454545,5.69,-1.59,-0.58,2.6,0.318,2,-2.995454545,0.263,0.411,2.995454545,0.055,0.055,-0.07,0.001,0,36.3,-2.044887351,4.829392005,30.55672557,0.136363636,31.61554905,27.89699082
38,683011,"Volpe, Anthony",4174,0.9,0.222,0.25,0.167,0.472,0.276,0.271,0.258,8,36,85.1,35.6,2271,93.6,93.89,0,38,0,0.4,6.52,106,150,111,146,301,324,288,0.781,-0.781,71.2,6.7,38,38,4,1,1,2,0,0,0,0,1.59053,1.02816,0.68237,0.60395,91.2,201,13.15789474,7.894736842,7.894736842,5.91,-1.23,-0.55,2.55,0.211,3,-2.055263158,0.247,0.407,2.055263158,-0.036,-0.036,0.065,0.005,0,42,7.65634636,10.81970363,34.22113956,0.5,30.92169066,24.79071597
38,592518,"Machado, Manny",3771,1,0.184,0,0.184,0.184,0.163,0.216,0.211,7,38,85.6,42,2214,91.6,91.61,0,38,0,0,6.41,107,152,125,147,302,326,299,4.471,-4.471,75.4,7.2,38,38,7,0,0,0,0,0,0,0,1.95763,0.78816,0.66816,0.40974,90.8,204,15.78947368,0,0,5.72,-0.79,-0.51,2.67,0.184,0,-11.76578947,0.211,0.29,11.76578947,-0.027,-0.027,-0.106,-0.053,0,38.4,2.179236059,5.829896204,27.7542127,0.368421053,33.28857232,27.80454633
36,694192,"Chourio, Jackson",3382,1.1,0.257,0.086,0.25,0.343,0.251,0.158,0.163,9,35,88.1,41.7,2288,92.5,93.03,0,36,0,0.5,6.49,106,150,112,147,305,322,289,1.385,-1.385,72.5,7,36,36,7,1,1,0,0,0,0,0,1.76917,0.90222,0.55194,0.19361,91.6,205,25,0,0,5.76,-0.85,-0.54,2.74,0.25,0,-3.847222222,0.159,0.215,3.847222222,0.094,0.091,0.128,0.093,0,38.8,3.09743318,7.160237356,26.99002943,0.472222222,32.79895952,25.35520056
35,687401,"Ortiz, Joey",3201,1.1,0.371,0.086,0.371,0.457,0.359,0.296,0.308,13,35,82.7,29.9,2329,92.5,92.76,0,35,0,0.3,6.47,105,149,114,146,302,320,287,-2.602,2.602,73.9,7,35,35,11,1,1,0,0,0,0,0,1.74714,0.93371,0.61686,0.38543,90.9,188,17.14285714,0,0,5.85,-0.69,-0.52,2.56,0.371,0,7.434285714,0.308,0.368,-7.434285714,0.063,0.063,0.089,0.063,0,39.4,-3.889681721,8.795816376,30.3675724,0.114285714,31.90057756,24.14521252
35,650402,"Torres, Gleyber",4092,0.9,0.206,0.088,0.2,0.294,0.208,0.24,0.228,7,34,87.5,39.5,2297,91.3,91.73,0,35,0,0.4,6.55,108,148,119,144,304,324,290,3.403,-3.403,70.6,6.9,35,35,4,3,0,0,0,0,0,0,2.08057,0.68171,0.59143,0.29714,91.9,224,25.71428571,0,0,5.67,-1.3,-0.54,2.48,0.2,0,-9.722857143,0.227,0.333,9.722857143,-0.022,-0.027,-0.039,-0.032,0,37.2,5.824178377,4.61441676,35.55513832,0.4,29.60646152,30.11950242
35,592206,"Castellanos, Nick",3581,1,0.286,0.086,0.286,0.371,0.283,0.27,0.253,10,35,87.3,31.9,2262,92.2,92.31,0,35,0,0.1,6.34,107,151,122,147,301,322,291,1.274,-1.274,71.1,6.8,35,35,8,1,1,0,0,0,0,0,2.00171,0.70343,0.60629,0.51543,91.9,246,25.71428571,2.857142857,2.857142857,5.99,-1.58,-0.6,2.78,0.286,1,-3.64,0.253,0.375,3.64,0.033,0.033,-0.004,0.013,0,39.1,4.711178872,6.536076702,42.71115011,0.514285714,30.28234305,23.98713614
34,664761,"Bohm, Alec",3348,1,0.333,0.091,0.324,0.424,0.318,0.349,0.362,11,33,81.1,33.6,2222,91.9,92.13,0,34,0,0.2,6.43,106,151,124,148,306,323,287,-0.038,0.038,70.3,6.8,34,34,9,1,1,0,0,0,0,0,1.90706,0.81794,0.65765,0.41588,89.6,205,8.823529412,0,0,5.8,-1.1,-0.55,2.65,0.324,0,0.111764706,0.359,0.432,-0.111764706,-0.029,-0.035,-0.008,-0.031,0,35.8,1.082831225,8.947504218,31.39909882,0.235294118,31.3672407,23.64175169
34,663624,"Mountcastle, Ryan",2667,1.3,0.5,0.219,0.455,0.719,0.493,0.351,0.346,16,32,84.7,27.1,2323,91.5,91.71,0,34,0,0.2,6.45,106,151,123,147,308,327,293,-4.646,4.646,74.1,6.9,34,34,11,4,0,1,0,0,0,0,1.84324,0.90529,0.52824,0.48294,91.4,204,23.52941176,2.941176471,2.941176471,5.79,-0.42,-0.58,2.7,0.471,1,13.66470588,0.339,0.462,-13.66470588,0.154,0.132,0.257,0.142,0,38.3,-1.078899496,8.667586129,40.8986345,0.294117647,32.79475437,21.3477869
34,671218,"Ramos, Heliot",3457,1,0.25,0.094,0.212,0.344,0.243,0.196,0.161,8,32,81.3,34.3,2290,90.1,90.64,0,34,0,0.5,6.58,103,151,122,147,305,323,291,2.462,-2.462,73.5,6.4,34,34,7,0,0,1,0,0,0,0,2.20529,0.63441,0.37971,0.34324,90.3,189,11.76470588,2.941176471,2.941176471,5.68,-0.96,-0.58,2.51,0.235,1,-7.241176471,0.163,0.303,7.241176471,0.089,0.072,0.041,0.047,0,33.9,3.416639531,6.613541555,35.09494436,0.470588235,29.94826964,24.30536634
34,677594,"Rodríguez, Julio",3681,0.9,0.441,0.176,0.441,0.618,0.455,0.372,0.333,15,34,89.4,28.2,2211,94.3,94.33,0,34,0,0,6.4,107,151,124,147,305,324,294,-4.22,4.22,73.9,7.1,34,34,10,4,1,0,0,0,0,0,1.41441,1.16088,0.92441,0.52206,93.7,233,41.17647059,5.882352941,5.882352941,5.89,-0.62,-0.58,2.55,0.441,2,12.41176471,0.333,0.538,-12.41176471,0.108,0.108,0.08,0.083,0,40.2,0.174271581,9.006364712,35.76489484,0.176470588,32.40145522,25.58235481
