pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
86,672580,"Garcia, Maikel",3632,2.4,0.294,0.082,0.282,0.376,0.287,0.301,0.286,25,85,90.6,27,2288,90.6,90.81,0,86,0,0.2,6.36,107,149,113,145,309,325,293,2.404,-2.404,71.2,6.9,86,86,21,2,1,1,0,0,0,0,2.05,0.74826,0.37081,0.02686,93.4,230,40.69767442,2.325581395,2.325581395,5.9,-0.75,0.01,2.75,0.291,2,-2.795348837,0.283,0.426,2.795348837,0.008,0.008,-0.05,-0.014,0,42.5,2.678867857,9.976958292,26.7609428,0.313953488,34.96802129,30.47199132
85,663538,"Hoerner, Nico",3472,2.4,0.214,0.024,0.212,0.238,0.196,0.225,0.226,18,84,86.9,30.4,2268,91.5,91.78,0,85,0,0.3,6.44,108,150,116,148,298,316,286,8.201,-8.201,68.2,6.8,85,85,16,2,0,0,0,0,0,0,1.94353,0.80506,0.46788,0.17776,91.3,203,21.17647059,0,0,5.8,-0.89,0.04,2.55,0.212,0,-9.648235294,0.227,0.289,9.648235294,-0.012,-0.015,-0.051,-0.029,0,39,2.328106834,5.123016318,31.49634794,0.341176471,36.09129073,24.71403671
82,664761,"Bohm, Alec",3348,2.4,0.449,0.179,0.412,0.628,0.443,0.383,0.35,35,78,92.9,24.3,2333,92.1,92.52,0,82,0,0.4,6.52,109,150,123,147,305,323,287,-8.696,8.696,72,7,82,82,25,8,0,2,0,0,0,0,1.83305,0.88037,0.47488,0.02512,94.4,243,48.7804878,4.87804878,4.87804878,5.84,-0.76,0.04,2.68,0.427,4,10.60487805,0.348,0.537,-10.60487805,0.099,0.079,0.091,0.06,0,37.9,2.219327698,12.3516294,29.47356071,0.353658537,38.1361077,22.74788274
81,621493,"Ward, Taylor",4045,2,0.192,0.141,0.165,0.333,0.216,0.195,0.157,15,78,89.7,39.6,2289,91,91.02,0,81,0,0,6.38,106,151,121,146,306,323,295,6.661,-6.661,70.1,6.8,81,81,8,5,0,2,0,0,0,0,1.93568,0.85309,0.44938,0.24568,92.6,241,30.86419753,3.703703704,3.703703704,5.86,-1.18,0.07,2.54,0.185,3,-8.22345679,0.155,0.309,8.22345679,0.035,0.03,0.024,0.021,0,38.1,7.184308579,5.505607483,30.62756374,0.592592593,36.27750362,29.29893115
80,677951,"Witt Jr., Bobby",3939,2,0.182,0.156,0.165,0.338,0.21,0.276,0.197,14,77,92.2,37.3,2296,91.5,91.9,0,80,0,0.4,6.46,109,152,120,146,309,327,297,6.35,-6.35,74.7,6.8,80,80,6,5,2,1,0,0,0,0,1.91613,0.83162,0.41713,0.16987,94.2,245,42.5,12.5,12.5,5.91,-1,0.05,2.58,0.175,10,-7.9375,0.203,0.433,7.9375,-0.015,-0.028,-0.095,-0.066,0,41,3.277581497,2.906696606,29.55030674,0.4375,33.50875463,26.83724979
76,650402,"Torres, Gleyber",4092,1.9,0.243,0.189,0.205,0.432,0.28,0.281,0.228,18,74,90.8,33.8,2254,90.1,90.66,0,76,0,0.6,6.58,108,152,123,147,302,324,290,2.919,-2.919,70.7,7.1,76,76,10,5,0,3,0,0,0,0,2.15211,0.6892,0.41605,0.14632,93.4,250,36.84210526,9.210526316,9.210526316,5.72,-0.65,-0.05,2.34,0.237,7,-3.840789474,0.225,0.445,3.840789474,0.015,0.012,-0.013,-0.001,0,38.7,6.382527192,6.963619474,34.96367177,0.605263158,34.96960927,30.06247529
76,592518,"Machado, Manny",3771,2,0.408,0.184,0.392,0.592,0.431,0.36,0.324,31,76,94.1,31.7,2251,92.2,92.33,0,76,0,0.1,6.44,107,151,125,147,304,326,294,-7.46,7.46,74.2,7.4,76,76,21,8,0,2,0,0,0,0,1.92789,0.7936,0.63303,0.35724,96.5,212,51.31578947,6.578947368,6.578947368,5.71,-0.98,0,2.61,0.408,5,9.815789474,0.324,0.518,-9.815789474,0.084,0.084,0.074,0.071,0,35.9,3.923032839,9.909271966,25.55361624,0.486842105,39.75141063,25.8946722
74,691026,"Winn, Masyn",3877,1.9,0.296,0.127,0.284,0.423,0.295,0.216,0.229,21,71,84.3,35,2268,91.6,91.95,0,74,0,0.3,6.5,107,149,113,146,306,319,287,0.672,-0.672,70,7,74,74,14,5,2,0,0,0,0,0,1.89054,0.85419,0.53397,0.13479,90.2,207,10.81081081,0,0,5.81,-0.63,0.06,2.51,0.284,0,-0.908108108,0.22,0.286,0.908108108,0.067,0.064,0.137,0.079,0,39.2,0.192362418,6.558346651,28.78573209,0.216216216,31.8549296,29.06304579
74,664034,"France, Ty",3251,2.3,0.333,0.111,0.306,0.444,0.328,0.317,0.282,24,72,90,31.3,2261,92.6,92.81,0,74,0,0.2,6.43,110,151,124,148,301,322,288,-1.034,1.034,70.4,7.2,74,74,20,2,0,2,0,0,0,0,1.72324,0.97521,0.58,0.19081,93,218,36.48648649,4.054054054,4.054054054,5.87,-0.71,0.03,2.57,0.324,3,1.397297297,0.282,0.466,-1.397297297,0.051,0.042,-0.022,0.011,0,40.1,8.870521921,13.19399361,33.53543999,0.621621622,35.28681194,23.95728393
73,665489,"Guerrero Jr., Vladimir",3948,1.8,0.486,0.314,0.443,0.8,0.525,0.452,0.384,34,70,93.1,27.3,2299,91.9,92.05,0,73,0,0.1,6.43,109,151,124,147,305,326,294,-11.346,11.346,75,7.3,73,73,19,11,1,3,0,0,0,0,1.96205,0.7674,0.34014,0.24863,96.4,240,52.05479452,15.06849315,15.06849315,5.82,-0.96,0.01,2.59,0.466,11,15.54246575,0.376,0.707,-15.54246575,0.102,0.09,0.093,0.073,0,40.4,-2.399858514,8.973285408,27.26359976,0.095890411,38.3809584,27.18373996
