pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
183,543760,"Semien, Marcus",3987,4.6,0.374,0.313,0.327,0.687,0.448,0.432,0.388,68,182,94.2,11.1,2266,89.6,89.79,0,183,0,0.2,6.46,109,151,122,145,302,325,293,-19.503,19.503,70,7.7,183,183,35,21,0,12,0,0,0,0,2.27273,0.60989,0.30187,0.14791,95.9,162,58.46994536,9.836065574,9.836065574,5.79,-0.9,0.02,2.4,0.372,18,10.65737705,0.388,0.621,-10.65737705,-0.014,-0.016,0.066,0.016,0,38.8,15.21597123,-7.756936963,32.7762832,0.672131148,32.08034149,32.44230199
159,571448,"Arenado, Nolan",3645,4.4,0.371,0.302,0.32,0.673,0.445,0.401,0.365,59,159,92.1,14,2237,89.1,89.53,0,159,0,0.4,6.55,108,151,123,147,303,323,295,-17.203,17.203,72.6,8.4,159,159,36,10,1,12,0,0,0,0,2.29327,0.61956,0.33899,-0.05774,94.5,164,45.91194969,6.918238994,6.918238994,5.77,-0.56,0.01,2.27,0.371,11,10.81949686,0.365,0.572,-10.81949686,0.006,0.006,0.101,0.044,0,39.3,12.44787896,-10.35826291,33.79790868,0.716981132,37.26592278,36.14582657
155,514888,"Altuve, Jose",3658,4.2,0.342,0.284,0.292,0.626,0.411,0.379,0.331,53,155,90.4,7.4,2190,88.9,88.89,0,155,0,0,6.42,108,151,108,146,293,323,292,-11.464,11.464,71,7.8,155,155,31,11,0,11,0,0,0,0,2.22794,0.70561,0.48506,0.24935,93.9,135,41.93548387,8.387096774,8.387096774,5.8,-0.86,-0.04,2.21,0.342,13,7.396129032,0.331,0.554,-7.396129032,0.011,0.011,0.072,0.032,0,38.3,17.02294707,-6.698032392,30.02956597,0.606451613,37.91467762,30.34343438
150,670623,"Paredes, Isaac",4389,3.4,0.416,0.416,0.348,0.832,0.525,0.381,0.344,62,149,91.3,22.6,2262,89.3,89.36,0,150,0,0.1,6.4,106,151,122,145,296,324,293,-26.855,26.855,70,8,150,150,30,17,0,15,0,0,0,0,2.34633,0.60644,0.4268,0.25853,94.8,192,48.66666667,6,6,5.77,-0.72,0.06,2.36,0.413,9,17.90333333,0.345,0.546,-17.90333333,0.072,0.068,0.286,0.144,0,37.3,13.47202348,-14.00742288,32.46652657,0.693333333,34.31050895,37.32661127
146,665161,"Peña, Jeremy",3453,4.2,0.432,0.39,0.381,0.822,0.531,0.434,0.381,63,146,94.4,1.5,2306,88.8,88.91,0,146,0,0.1,6.46,106,151,113,146,298,323,288,-26.73,26.73,74.2,7.6,146,146,31,19,1,12,0,0,0,0,2.46082,0.48021,0.30166,0.09131,96.9,143,60.95890411,11.64383562,11.64383562,5.75,-1.17,-0.01,2.36,0.432,17,18.30821918,0.381,0.637,-18.30821918,0.051,0.051,0.185,0.097,0,36.5,10.00475108,-8.074577103,29.23812991,0.815068493,35.6010251,30.59022631
140,668715,"Steer, Spencer",3865,3.6,0.388,0.396,0.328,0.784,0.492,0.457,0.397,54,139,94.1,10.9,2252,88.2,88.44,0,140,0,0.2,6.43,109,150,122,146,300,323,292,-24.667,24.667,73.1,7.6,140,140,23,19,0,12,0,0,0,0,2.54007,0.42686,0.22343,0.06271,96.2,170,54.28571429,10,10,5.83,-0.83,0.01,2.15,0.386,14,17.61928571,0.398,0.675,-17.61928571,-0.009,-0.012,0.109,0.035,0,38.2,11.94304869,-9.351991916,29.56831604,0.807142857,34.42110674,35.60801899
126,666971,"Gurriel Jr., Lourdes",3253,3.9,0.379,0.411,0.301,0.79,0.487,0.419,0.361,47,124,92.5,8.5,2285,88.5,88.66,0,126,0,0.2,6.4,109,151,124,148,304,325,295,-18,18,72.6,7.6,126,126,22,12,0,13,0,0,0,0,2.49548,0.45976,0.2304,-0.00548,96.1,155,53.96825397,11.11111111,11.11111111,5.7,-0.62,0.02,2.38,0.373,14,14.28571429,0.357,0.636,-14.28571429,0.018,0.016,0.154,0.068,0,38.8,11.51110082,-7.439981739,36.02309498,0.73015873,34.35331949,32.30819393
125,663538,"Hoerner, Nico",3472,3.6,0.424,0.152,0.419,0.576,0.432,0.376,0.387,53,125,90.4,2.3,2271,89.1,89.48,0,125,0,0.4,6.48,109,150,115,148,300,317,287,-13.556,13.556,70.3,7.4,125,125,37,14,1,1,0,0,0,0,2.40192,0.51105,0.35888,0.16192,93.5,119,38.4,1.6,1.6,5.74,-0.89,-0.01,2.1,0.424,2,10.8448,0.387,0.474,-10.8448,0.037,0.037,0.102,0.056,0,37,9.257545272,-6.986735364,33.31238257,0.72,34.80680412,31.33040508
122,608324,"Bregman, Alex",3279,3.7,0.459,0.541,0.377,1,0.614,0.449,0.37,56,122,93.3,7.6,2221,89.2,89.21,0,122,0,0,6.41,107,151,121,146,293,323,293,-33.426,33.426,72.8,7.3,122,122,22,18,0,16,0,0,0,0,2.31246,0.59721,0.43549,0.075,96.1,161,54.09836066,13.1147541,13.1147541,5.73,-0.71,0.02,2.32,0.459,16,27.39836066,0.37,0.691,-27.39836066,0.089,0.089,0.309,0.165,0,38.1,15.9842746,-8.145091821,27.72240432,0.786885246,33.92986072,34.20672941
122,642715,"Adames, Willy",4178,2.9,0.38,0.355,0.315,0.736,0.469,0.486,0.404,46,121,93.5,13.6,2251,89.6,89.86,0,122,0,0.3,6.45,107,151,121,146,304,323,293,-16.715,16.715,74.2,8.3,122,122,25,10,0,11,0,0,0,0,2.1982,0.66828,0.29582,0.03779,96.1,170,52.45901639,11.47540984,11.47540984,5.89,-0.76,-0.01,2.33,0.377,14,13.70081967,0.404,0.742,-13.70081967,-0.024,-0.027,-0.006,-0.017,0,40.2,19.02426331,-5.449519558,34.77375997,0.557377049,38.89937283,33.67258416
