pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
135,664761,"Bohm, Alec",3348,4,0.306,0.172,0.277,0.478,0.334,0.45,0.39,41,134,95.2,7.3,2259,89.8,90.22,0,135,0,0.4,6.54,110,151,123,148,304,324,287,-3.097,3.097,72.9,7.3,135,135,28,8,0,5,0,0,0,0,2.32993,0.53388,0.37993,0.01858,97.2,171,62.22222222,13.33333333,13.33333333,5.82,-0.73,-0.02,2.38,0.304,18,2.294074074,0.391,0.667,-2.294074074,-0.084,-0.087,-0.189,-0.116,0,38.1,5.063177123,4.901734203,30.71140213,0.511111111,37.31583997,27.55909288
130,677951,"Witt Jr., Bobby",3939,3.3,0.357,0.31,0.303,0.667,0.42,0.623,0.449,45,126,97.8,15.8,2237,90.4,90.74,0,130,0,0.3,6.46,107,150,120,145,309,327,296,-13.671,13.671,75.9,7,130,130,25,9,3,8,0,0,0,0,2.23023,0.58508,0.39643,0.38062,99.8,233,67.69230769,24.61538462,24.61538462,5.78,-1.38,0.04,2.39,0.346,32,10.51615385,0.457,0.989,-10.51615385,-0.092,-0.111,-0.322,-0.203,0,39.1,4.815812123,0.304382813,29.66024228,0.523076923,33.25040421,28.3929862
128,672580,"Garcia, Maikel",3632,3.5,0.266,0.063,0.26,0.328,0.259,0.379,0.339,34,128,94.5,5.6,2249,89.5,89.79,0,128,0,0.3,6.43,108,151,114,147,308,323,292,6.401,-6.401,72.3,7.2,128,128,28,5,0,1,0,0,0,0,2.2925,0.58883,0.36578,0.27516,96.9,172,60.9375,7.03125,7.03125,5.77,-0.93,0.07,2.4,0.266,9,-5.00078125,0.339,0.548,5.00078125,-0.073,-0.073,-0.22,-0.12,0,38.9,3.824446092,4.181697226,28.31215155,0.4453125,35.42490811,33.4417248
118,650490,"Díaz, Yandy",3769,3.1,0.339,0.2,0.307,0.539,0.367,0.468,0.397,39,115,100.6,3.3,2267,90.1,90.28,0,118,0,0.2,6.43,112,151,125,149,306,325,290,-5.128,5.128,74.5,7.6,118,118,24,11,0,4,0,0,0,0,2.28068,0.58195,0.49949,0.25419,101.4,154,77.96610169,13.55932203,13.55932203,5.77,-0.88,0.01,2.22,0.331,16,4.345762712,0.394,0.712,-4.345762712,-0.058,-0.063,-0.173,-0.101,0,38.2,3.80604311,6.619514588,25.49728038,0.483050847,37.46060241,31.58090458
118,683011,"Volpe, Anthony",4174,2.8,0.353,0.129,0.336,0.483,0.355,0.406,0.365,41,116,93.9,8,2282,90.1,90.3,0,118,0,0.2,6.46,106,151,114,146,302,323,286,-5.258,5.258,71.9,7.2,118,118,32,5,2,2,0,0,0,0,2.27297,0.58449,0.44373,0.1639,96.4,160,58.47457627,10.16949153,10.16949153,5.76,-0.65,0.03,2.3,0.347,12,4.455932203,0.361,0.585,-4.455932203,-0.012,-0.014,-0.102,-0.051,0,37.7,10.82649879,5.630798613,31.91034871,0.762711864,37.37230411,27.64542677
117,665489,"Guerrero Jr., Vladimir",3948,3,0.357,0.287,0.303,0.643,0.418,0.582,0.443,41,115,98.5,7.8,2269,90.2,90.46,0,117,0,0.3,6.53,109,151,123,147,304,327,294,-12.006,12.006,77.3,7.7,117,117,24,9,0,8,0,0,0,0,2.21667,0.62675,0.40316,0.10812,100.5,199,69.23076923,26.4957265,26.4957265,5.66,-0.86,0.05,2.37,0.35,31,10.26153846,0.442,0.93,-10.26153846,-0.086,-0.092,-0.287,-0.164,0,35.5,0.953819474,0.601389284,27.9511237,0.282051282,38.45313,32.74107428
111,663538,"Hoerner, Nico",3472,3.2,0.225,0.018,0.225,0.243,0.206,0.318,0.31,25,111,90.4,11.2,2263,90.2,90.48,0,111,0,0.3,6.44,109,150,116,147,299,317,286,9.047,-9.047,68.3,6.9,111,111,23,2,0,0,0,0,0,0,2.18577,0.64414,0.41155,0.11718,93.5,175,36.93693694,1.801801802,1.801801802,5.87,-0.71,0.02,2.4,0.225,2,-8.15045045,0.31,0.427,8.15045045,-0.085,-0.085,-0.184,-0.112,0,40,3.969222272,1.980382669,32.19707045,0.423423423,35.53781104,26.47846597
109,543760,"Semien, Marcus",3987,2.7,0.34,0.085,0.318,0.425,0.324,0.336,0.296,36,106,90,20,2266,91.2,91.28,0,109,0,0.1,6.4,109,152,123,146,302,324,293,0.672,-0.672,69.7,7.5,109,109,31,3,0,2,0,0,0,0,2.0356,0.73413,0.57706,0.31927,94.1,203,40.36697248,9.174311927,9.174311927,5.8,-0.89,0.07,2.37,0.33,10,-0.616513761,0.293,0.493,0.616513761,0.044,0.037,-0.068,-0.012,0,38.4,10.83725538,-0.991688249,33.28186666,0.614678899,32.74701676,28.58880641
108,502671,"Goldschmidt, Paul",3977,2.7,0.287,0.185,0.252,0.472,0.325,0.493,0.378,31,108,96,13.3,2250,89.8,90.14,0,108,0,0.3,6.45,111,151,124,147,308,328,295,-4.246,4.246,73.2,7.6,108,108,21,5,0,5,0,0,0,0,2.22306,0.62759,0.31139,0.10787,98,203,63.88888889,15.74074074,15.74074074,5.7,-1.08,0.06,2.37,0.287,17,3.931481481,0.378,0.794,-3.931481481,-0.091,-0.091,-0.322,-0.168,0,37.9,9.313808695,4.126159696,31.19870543,0.722222222,43.56599343,19.82153378
105,571448,"Arenado, Nolan",3645,2.9,0.287,0.079,0.262,0.366,0.273,0.33,0.302,29,101,90.7,19.6,2237,91,91.37,0,105,0,0.4,6.51,107,151,122,146,303,323,295,1.934,-1.934,72.2,8.1,105,105,25,2,0,2,0,0,0,0,2.0279,0.75238,0.53848,0.09371,93.9,208,40,4.761904762,4.761904762,5.76,-0.75,0.05,2.29,0.276,5,-1.841904762,0.3,0.477,1.841904762,-0.015,-0.024,-0.111,-0.057,0,37.8,6.789672967,-1.887432415,34.30752191,0.552380952,38.06649684,30.38477856
