pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
78,663538,"Hoerner, Nico",3472,2.2,0.192,0.026,0.192,0.218,0.18,0.268,0.271,15,78,86.2,20.6,2263,90.8,91.23,0,78,0,0.4,6.47,110,150,118,148,299,316,287,7.06,-7.06,68.8,7,78,78,13,2,0,0,0,0,0,0,2.03218,0.77382,0.30526,-0.05064,91.4,196,23.07692308,0,0,5.72,-0.92,0.65,2.38,0.192,0,-9.051282051,0.271,0.347,9.051282051,-0.079,-0.079,-0.129,-0.088,0,37.5,0.623025107,7.515635781,30.24552757,0.256410256,42.93558616,23.93258879
77,650490,"Díaz, Yandy",3769,2,0.442,0.39,0.386,0.831,0.54,0.495,0.399,34,77,94.5,15.6,2285,89.8,90.02,0,77,0,0.2,6.42,111,151,125,148,307,324,288,-14.938,14.938,73.4,7.7,77,77,20,5,2,7,0,0,0,0,2.21351,0.64948,0.30987,-0.11377,97.4,208,58.44155844,18.18181818,18.18181818,5.78,-0.64,0.62,2.42,0.442,14,19.4,0.399,0.77,-19.4,0.043,0.043,0.061,0.045,0,38.8,3.511176495,14.30102489,22.88423115,0.402597403,44.54376062,26.83935269
76,677951,"Witt Jr., Bobby",3939,1.9,0.32,0.213,0.297,0.533,0.358,0.32,0.273,24,75,89.1,23.9,2313,89.1,89.5,0,76,0,0.4,6.44,108,151,122,147,310,327,296,-5.679,5.679,72.8,6.9,76,76,14,6,2,2,0,0,0,0,2.34118,0.566,0.06118,-0.11329,93.5,207,32.89473684,9.210526316,9.210526316,5.78,-1.17,0.67,2.41,0.316,7,7.472368421,0.272,0.478,-7.472368421,0.047,0.044,0.055,0.038,0,40.2,1.07378933,8.263423901,26.79804049,0.276315789,40.76575924,23.9633229
72,672580,"Garcia, Maikel",3632,2,0.31,0.169,0.296,0.479,0.332,0.312,0.315,22,71,87.1,8.2,2344,90.2,90.66,0,72,0,0.5,6.51,105,149,111,146,307,325,293,-1.072,1.072,70.7,7.2,72,72,14,5,2,1,0,0,0,0,2.09861,0.72222,0.21736,-0.24458,93.2,171,37.5,1.388888889,1.388888889,5.77,-0.6,0.64,2.52,0.306,1,1.488888889,0.314,0.406,-1.488888889,-0.005,-0.008,0.073,0.02,0,39.6,2.158663242,13.59697084,26.53265914,0.361111111,41.83027161,28.17893766
69,666971,"Gurriel Jr., Lourdes",3253,2.1,0.319,0.058,0.319,0.377,0.303,0.265,0.253,22,69,86.6,15.8,2264,91.3,91.59,0,69,0,0.3,6.48,112,152,125,149,304,326,294,0.285,-0.285,69.5,7.2,69,69,19,2,1,0,0,0,0,0,1.96899,0.79986,0.40957,-0.00174,92.2,184,31.88405797,1.449275362,1.449275362,5.83,-0.78,0.61,2.53,0.319,1,-0.413043478,0.253,0.361,0.413043478,0.066,0.066,0.016,0.038,0,39,2.823451834,9.981472318,32.29232593,0.405797101,41.60951846,21.50563286
67,621493,"Ward, Taylor",4045,1.7,0.303,0.212,0.254,0.515,0.345,0.361,0.299,20,66,87.4,26,2328,90.3,90.58,0,67,0,0.3,6.49,107,152,123,146,309,325,296,-2.633,2.633,69.6,7,67,67,14,2,0,4,0,0,0,0,2.08657,0.74864,0.19791,-0.01164,92.3,225,25.37313433,11.94029851,11.94029851,5.86,-1.17,0.59,2.34,0.299,8,3.929850746,0.297,0.556,-3.929850746,0.004,0.002,-0.041,-0.016,0,40.1,7.179647461,8.116379022,29.45573309,0.671641791,42.44211936,27.92529812
66,607208,"Turner, Trea",3438,1.9,0.394,0.182,0.385,0.576,0.416,0.38,0.345,26,66,87,15.6,2241,90.3,90.56,0,66,0,0.3,6.45,105,150,119,145,300,323,291,-5.612,5.612,70.6,7.4,66,66,18,5,2,1,0,0,0,0,2.09424,0.73242,0.40273,-0.1003,93.3,205,33.33333333,7.575757576,7.575757576,5.85,-0.47,0.65,2.45,0.394,5,8.503030303,0.345,0.543,-8.503030303,0.049,0.049,0.033,0.036,0,37.5,6.170802847,9.250868366,26.63021545,0.53030303,43.97291855,23.80306096
65,661388,"Contreras, William",3981,1.6,0.406,0.234,0.371,0.641,0.441,0.362,0.302,26,64,91.1,15.4,2262,90,90.3,0,65,0,0.3,6.44,108,150,123,147,307,323,292,-8.154,8.154,72.1,7.1,65,65,18,4,1,3,0,0,0,0,2.14031,0.71594,0.18062,-0.09477,95.1,187,43.07692308,7.692307692,7.692307692,5.77,-1.01,0.61,2.48,0.4,5,12.54461539,0.302,0.544,-12.54461539,0.104,0.098,0.097,0.079,0,39.1,8.624456587,13.96598566,26.72601637,0.738461538,43.49917667,25.17477381
63,650402,"Torres, Gleyber",4092,1.5,0.339,0.274,0.288,0.613,0.398,0.296,0.28,21,62,87.4,21.2,2209,89.5,89.81,0,63,0,0.3,6.53,111,152,122,147,302,324,287,-7.361,7.361,69.4,7.3,63,63,12,5,0,4,0,0,0,0,2.22857,0.64984,0.30492,-0.13444,92.2,209,26.98412698,3.174603175,3.174603175,5.81,-0.93,0.56,2.31,0.333,2,11.68412698,0.275,0.421,-11.68412698,0.059,0.058,0.192,0.102,0,40.8,6.036818512,10.88205013,33.59510227,0.523809524,41.96627657,27.53099147
63,543760,"Semien, Marcus",3987,1.6,0.19,0.016,0.19,0.206,0.174,0.268,0.262,12,63,85.7,29.1,2234,90.9,90.98,0,63,0,0.1,6.47,109,152,122,146,305,325,292,7.089,-7.089,67.5,7.5,63,63,11,1,0,0,0,0,0,0,2.01032,0.79778,0.58794,0.06825,90.9,232,19.04761905,1.587301587,1.587301587,5.72,-0.63,0.63,2.37,0.19,1,-11.25238095,0.262,0.359,11.25238095,-0.072,-0.072,-0.153,-0.094,0,36.9,8.158093199,6.045649776,31.56683523,0.507936508,39.71942253,24.89266106
