pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
123,670623,"Paredes, Isaac",4389,2.8,0.268,0.285,0.211,0.553,0.347,0.305,0.261,33,123,89,17.8,2364,88.8,88.78,0,123,0,0,6.38,110,152,122,146,296,325,293,-4.66,4.66,69.5,8.1,123,123,17,6,1,9,0,0,0,0,2.44496,0.50017,0.11236,-0.19496,92.8,171,30.08130081,5.691056911,5.691056911,5.8,-0.83,0.6,2.24,0.268,7,3.788617886,0.261,0.457,-3.788617886,0.007,0.007,0.096,0.042,0,38.5,14.22817719,-12.32125512,30.36154466,0.772357724,40.54996265,38.85085357
100,553993,"Suárez, Eugenio",3864,2.6,0.4,0.44,0.333,0.84,0.523,0.472,0.398,40,100,91.7,11.9,2319,87.6,87.86,0,100,0,0.3,6.45,109,152,123,147,304,327,298,-19.542,19.542,72.3,8.1,100,100,16,14,0,10,0,0,0,0,2.6662,0.3532,-0.0331,-0.2709,95,176,47,11,11,5.74,-0.97,0.59,2.17,0.4,11,19.542,0.398,0.714,-19.542,0.002,0.002,0.126,0.051,0,37.7,21.20312223,-6.713672527,37.62950501,0.38,38.7042752,37.6143997
89,521692,"Perez, Salvador",3490,2.6,0.393,0.27,0.365,0.663,0.45,0.45,0.416,35,89,93.3,8,2313,86.8,87.17,0,89,0,0.4,6.46,107,152,124,147,306,329,301,-12.678,12.678,74.1,8.1,89,89,19,12,0,4,0,0,0,0,2.69528,0.35674,-0.04899,-0.17865,95.6,163,48.31460674,7.865168539,7.865168539,5.8,-0.97,0.65,2.38,0.393,7,14.24494382,0.416,0.633,-14.24494382,-0.023,-0.023,0.03,0,0,40.3,14.681123,-7.983024208,33.06250283,0.730337079,43.20653542,32.21594532
77,514888,"Altuve, Jose",3658,2.1,0.39,0.234,0.347,0.623,0.435,0.363,0.349,30,77,87.3,11.2,2383,85.7,85.97,0,77,0,0.3,6.55,109,151,107,145,293,324,290,-8.098,8.098,68.9,8,77,77,22,3,0,5,0,0,0,0,2.83247,0.31039,-0.30234,-0.5213,92.2,143,24.67532468,3.896103896,3.896103896,5.76,-1.28,0.59,2.1,0.39,3,10.51688312,0.349,0.494,-10.51688312,0.041,0.041,0.129,0.072,0,38.8,19.24236737,-9.456093841,27.78663894,0.506493506,44.32666984,33.16526872
71,571448,"Arenado, Nolan",3645,1.9,0.314,0.3,0.258,0.614,0.388,0.336,0.307,22,70,88.2,17.7,2354,87.5,87.65,0,71,0,0.1,6.37,107,150,122,146,301,324,295,-5.536,5.536,71.8,8.7,71,71,11,6,0,5,0,0,0,0,2.58873,0.424,0.0631,-0.40282,93.1,177,39.43661972,5.633802817,5.633802817,5.64,-0.72,0.6,2.36,0.31,4,7.797183099,0.311,0.465,-7.797183099,0.007,-0.001,0.149,0.052,0,36.7,12.71714621,-12.88768826,30.66462224,0.76056338,43.97072665,38.48736412
67,687263,"Neto, Zach",3320,2,0.493,0.403,0.433,0.896,0.591,0.488,0.407,33,67,91.6,8.8,2326,87.3,87.4,0,67,0,0.1,6.46,107,151,115,146,304,323,294,-15.619,15.619,73.6,7.3,67,67,20,6,0,7,0,0,0,0,2.61328,0.43045,0.07284,-0.31403,94.9,163,40.29850746,10.44776119,10.44776119,5.8,-1.13,0.6,2.31,0.493,7,23.3119403,0.407,0.742,-23.3119403,0.086,0.086,0.154,0.103,0,37,15.14014443,-8.654172195,32.92728975,0.686567164,36.65664459,37.33064497
66,663697,"India, Jonathan",4038,1.6,0.338,0.169,0.313,0.508,0.359,0.326,0.326,22,65,87.7,5.4,2425,86.8,87.15,0,66,0,0.4,6.45,110,152,120,146,302,321,293,-2.729,2.729,71,7.7,66,66,15,5,0,2,0,0,0,0,2.77576,0.27803,-0.20712,-0.45288,93.2,124,37.87878788,4.545454545,4.545454545,5.89,-1.14,0.59,2.25,0.333,3,4.134848485,0.322,0.432,-4.134848485,0.012,0.011,0.076,0.033,0,41.5,12.71573861,-9.909661733,26.4038416,0.848484848,42.58640311,35.56866163
64,665161,"Peña, Jeremy",3453,1.9,0.381,0.222,0.344,0.603,0.415,0.37,0.341,24,63,87.6,-0.8,2348,84.8,84.92,0,64,0,0.1,6.43,108,151,112,146,300,324,288,-6.545,6.545,74,7.9,64,64,16,5,0,3,0,0,0,0,2.90891,0.29484,-0.18063,-0.66219,93,117,35.9375,6.25,6.25,5.87,-0.72,0.55,2.29,0.375,4,10.2265625,0.347,0.498,-10.2265625,0.04,0.028,0.105,0.045,0,39.2,11.57739622,-9.966318738,26.91942062,0.921875,41.89331321,33.76074798
64,543760,"Semien, Marcus",3987,1.6,0.266,0.094,0.254,0.359,0.27,0.341,0.334,17,64,84,10,2374,86.6,86.6,0,64,0,0,6.38,110,151,122,146,303,326,294,4.221,-4.221,68.8,8,64,64,14,1,1,1,0,0,0,0,2.73547,0.35672,-0.21,-0.35156,90.7,134,18.75,4.6875,4.6875,5.74,-0.98,0.53,2.3,0.266,3,-6.5953125,0.334,0.45,6.5953125,-0.068,-0.068,-0.091,-0.071,0,37.7,16.42849232,-8.331513124,31.30393677,0.640625,38.21017472,34.02068136
61,592206,"Castellanos, Nick",3581,1.7,0.328,0.213,0.293,0.541,0.372,0.336,0.335,20,61,84,10.1,2314,84.1,84.4,0,61,0,0.3,6.5,106,152,123,147,300,324,289,-2.695,2.695,72,8,61,61,13,4,0,3,0,0,0,0,3.18016,0.0759,-0.2418,-0.51459,91.4,146,21.31147541,1.639344262,1.639344262,5.8,-0.63,0.65,2.38,0.328,1,4.418032787,0.335,0.439,-4.418032787,-0.007,-0.007,0.102,0.036,0,39.9,16.93827285,-9.555908007,35.41033694,0.770491803,43.99400584,35.56346682
