pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
104,650490,"Díaz, Yandy",3769,2.8,0.26,0.067,0.252,0.327,0.255,0.344,0.326,27,104,91.6,-2.9,2262,88.1,88.32,0,104,0,0.2,6.47,112,151,125,149,308,326,290,4.723,-4.723,73.6,7.9,104,104,22,4,0,1,0,0,0,0,2.56038,0.41962,0.13667,-0.10039,96,104,46.15384615,4.807692308,4.807692308,5.77,-0.91,0.61,2.2,0.26,5,-4.541346154,0.326,0.469,4.541346154,-0.066,-0.066,-0.142,-0.089,0,38.9,6.338551593,4.870235079,23.49525361,0.586538462,43.83012037,33.39717272
99,543760,"Semien, Marcus",3987,2.5,0.235,0,0.232,0.235,0.205,0.326,0.306,23,98,86.3,11.9,2301,89.7,89.84,0,99,0,0.1,6.46,110,152,122,146,300,324,293,8.258,-8.258,67.4,7.7,99,99,23,0,0,0,0,0,0,0,2.22949,0.64747,0.28788,0.01455,92.5,174,32.32323232,5.050505051,5.050505051,5.78,-0.68,0.65,2.31,0.232,5,-8.341414141,0.307,0.457,8.341414141,-0.071,-0.075,-0.222,-0.121,0,38.7,10.77318503,1.836624921,31.02506006,0.777777778,39.49105269,28.00263053
98,677951,"Witt Jr., Bobby",3939,2.5,0.381,0.103,0.371,0.485,0.372,0.39,0.374,37,97,90.1,2.7,2256,87.8,88.01,0,98,0,0.2,6.35,107,151,121,147,308,328,296,-3.655,3.655,75.3,7.2,98,98,29,7,0,1,0,0,0,0,2.55378,0.50418,0.06388,-0.30796,94.9,137,38.7755102,4.081632653,4.081632653,5.86,-0.94,0.69,2.31,0.378,4,3.729591837,0.38,0.513,-3.729591837,0.007,-0.002,-0.028,-0.018,0,41,5.876227601,1.755155672,25.83827287,0.479591837,40.68247068,28.87665968
98,665161,"Peña, Jeremy",3453,2.8,0.289,0.031,0.278,0.32,0.265,0.344,0.319,28,97,88.1,-2.3,2241,87.8,87.74,0,98,0,-0.1,6.4,107,151,115,146,296,323,289,3.442,-3.442,72.8,7.5,98,98,27,0,0,1,0,0,0,0,2.46918,0.53643,0.27184,-0.2749,94,115,41.83673469,6.12244898,6.12244898,5.71,-0.81,0.66,2.41,0.286,6,-3.512244898,0.318,0.478,3.512244898,-0.03,-0.032,-0.158,-0.079,0,36.8,7.151020555,1.094021315,26.76310153,0.632653061,43.78478612,27.33164996
95,673237,"Diaz, Yainer",3070,3.1,0.341,0.044,0.326,0.385,0.304,0.456,0.42,31,91,91.6,7.1,2313,86.9,86.91,0,95,0,0,6.45,105,150,120,145,298,325,290,-0.49,0.49,72.8,7.7,95,95,27,4,0,0,0,0,0,0,2.72737,0.34168,0.01863,-0.29253,95.8,153,51.57894737,12.63157895,12.63157895,5.86,-1.06,0.64,2.15,0.326,12,0.515789474,0.409,0.671,-0.515789474,-0.079,-0.083,-0.286,-0.152,0,40.4,12.15977881,4.02218165,29.94727265,0.863157895,44.02359516,32.70004499
94,592518,"Machado, Manny",3771,2.5,0.352,0.165,0.311,0.516,0.363,0.414,0.349,32,91,91,7.6,2327,87.5,87.5,0,94,0,0,6.39,107,149,123,146,304,325,297,-4.677,4.677,75.5,8.1,94,94,25,3,0,4,0,0,0,0,2.66979,0.35649,0.02617,-0.25638,95.1,172,47.87234043,8.510638298,8.510638298,5.7,-1.01,0.66,2.39,0.34,8,4.975531915,0.352,0.62,-4.975531915,0.003,-0.012,-0.104,-0.051,0,37,8.422547778,0.649007867,23.87661523,0.712765957,47.04237978,31.13669627
94,663538,"Hoerner, Nico",3472,2.7,0.312,0.065,0.309,0.376,0.296,0.352,0.348,29,93,90.2,5.9,2299,88.4,88.77,0,94,0,0.4,6.48,109,151,116,148,301,317,287,-0.883,0.883,69.8,7.2,94,94,24,4,1,0,0,0,0,0,2.4434,0.50086,0.12862,-0.38777,93.9,146,39.36170213,1.063829787,1.063829787,5.83,-0.59,0.64,2.33,0.309,1,0.939361702,0.355,0.448,-0.939361702,-0.036,-0.046,-0.072,-0.056,0,40.7,3.924738993,2.653900773,28.89243613,0.425531915,42.71205325,27.0274629
93,571448,"Arenado, Nolan",3645,2.6,0.217,0.054,0.207,0.272,0.211,0.294,0.281,20,92,88.3,11.9,2243,88.9,89.2,0,93,0,0.3,6.51,109,152,123,147,304,324,295,5.706,-5.706,70.8,8.2,93,93,17,2,0,1,0,0,0,0,2.28269,0.65678,0.2762,-0.22772,93.2,161,39.78494624,3.225806452,3.225806452,5.73,-0.86,0.65,2.36,0.215,3,-6.135483871,0.28,0.4,6.135483871,-0.064,-0.065,-0.128,-0.083,0,37.6,6.942476579,-0.245918195,30.67083336,0.602150538,45.57851517,30.35777781
93,665489,"Guerrero Jr., Vladimir",3948,2.4,0.301,0.075,0.301,0.376,0.294,0.415,0.376,28,93,95.7,-2.1,2266,88.5,88.64,0,93,0,0.1,6.47,109,151,124,147,305,327,293,1.667,-1.667,76.1,7.8,93,93,21,7,0,0,0,0,0,0,2.52882,0.43681,0.20355,-0.1629,98.9,124,64.51612903,9.677419355,9.677419355,5.74,-0.99,0.64,2.33,0.301,9,-1.792473118,0.376,0.587,1.792473118,-0.075,-0.075,-0.211,-0.121,0,37.6,2.6190978,2.971290447,25.48266534,0.301075269,45.17376006,32.25984717
88,661388,"Contreras, William",3981,2.2,0.299,0.08,0.279,0.379,0.292,0.4,0.349,26,87,90,1.9,2346,88.1,88.47,0,88,0,0.4,6.48,107,149,122,147,306,322,291,1.359,-1.359,73.7,7.5,88,88,23,1,0,2,0,0,0,0,2.48602,0.47614,0.165,-0.28795,95.3,128,44.31818182,9.090909091,9.090909091,5.74,-0.91,0.6,2.35,0.295,8,-1.544318182,0.352,0.577,1.544318182,-0.05,-0.057,-0.198,-0.108,0,39.3,12.08696893,5.260301097,26.43433945,0.818181818,43.013144,31.14561347
