pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
78,680776,"Duran, Jarren",1466,5.3,0.455,0.416,0.419,0.87,0.551,0.47,0.439,35,77,93,1.4,2240,87.9,87.98,0,78,0,0.1,6.42,118,146,108,151,282,322,306,-16.092,16.092,76.2,7.8,78,78,18,6,7,4,0,0,0,0,2.52474,0.47662,0.24597,-0.17792,96.7,121,48.71794872,10.25641026,10.25641026,5.66,-1.04,0.21,2.26,0.449,8,20.63076923,0.444,0.611,-20.63076923,0.016,0.005,0.259,0.081,0,35.8,9.386324958,-7.722462767,27.56379379,0.797297297,37.00739653,36.22862246
78,677800,"Abreu, Wilyer",1020,7.6,0.436,0.59,0.313,1.026,0.617,0.587,0.447,34,78,97.7,18.9,2101,88.5,88.77,0,78,0,0.3,6.49,116,146,122,152,282,324,305,-22.925,22.925,75.6,7.4,78,78,16,4,0,14,0,0,0,0,2.44128,0.51077,0.55141,-0.60987,99.3,191,62.82051282,19.23076923,19.23076923,5.7,-1.65,0.06,2.18,0.436,15,29.39102564,0.447,0.951,-29.39102564,-0.011,-0.011,0.075,0.03,0,37.4,13.47292194,-8.95751916,31.08138607,0.820512821,34.27109982,36.68574721
51,646240,"Devers, Rafael",1639,3.1,0.42,0.54,0.302,0.96,0.572,0.578,0.449,21,50,97.3,8.5,2193,85.7,85.72,0,51,0,0,6.39,118,148,132,152,286,325,308,-8.67,8.67,73.8,7.9,51,51,10,3,0,8,0,0,0,0,2.83216,0.3706,0.14647,-0.26451,99.2,175,72.54901961,19.60784314,19.60784314,5.77,-0.55,0.08,2.09,0.412,10,17,0.45,0.92,-17,-0.029,-0.038,0.04,-0.006,0,36,14.29938461,-7.475330511,29.69031316,0.833333333,34.42781563,38.0333783
34,647351,"Toro, Abraham",587,5.8,0.353,0.382,0.29,0.735,0.461,0.361,0.312,12,34,90.4,9.7,2200,90.5,90.68,0,34,0,0.2,6.41,120,148,116,152,284,322,304,-3.638,3.638,70.6,7.6,34,34,5,4,0,3,0,0,0,0,2.18088,0.64441,0.43412,-0.43412,95,141,47.05882353,8.823529412,8.823529412,5.7,-1.98,0.06,2.21,0.353,3,10.7,0.312,0.538,-10.7,0.041,0.041,0.197,0.1,0,36.9,11.95554217,-4.509485599,31.90056962,0.705882353,35.79119027,37.47255212
32,666152,"Hamilton, David",420,7.6,0.25,0.219,0.2,0.469,0.307,0.345,0.313,8,32,88.8,9.5,2091,88.7,88.89,0,32,0,0.2,6.5,114,146,101,152,280,320,302,-0.375,0.375,72.1,7.4,32,32,5,1,0,2,0,0,0,0,2.44531,0.49562,0.64406,-0.35844,92.7,151,31.25,6.25,6.25,5.66,-1.25,0.12,2.44,0.25,2,1.171875,0.313,0.495,-1.171875,-0.063,-0.063,-0.026,-0.038,0,35.5,10.3998769,-9.430242671,29.74710283,0.78125,36.93395267,34.66618945
28,671213,"Casas, Triston",437,6.4,0.25,0.179,0.222,0.429,0.291,0.365,0.303,7,28,87.2,11.7,2267,88.8,89.02,0,28,0,0.2,6.56,117,146,129,151,283,324,306,-0.062,0.062,74.1,7.9,28,28,4,2,0,1,0,0,0,0,2.35714,0.58464,0.36778,-0.27519,95.6,149,46.42857143,7.142857143,7.142857143,5.54,-1.8,0,2.5,0.25,2,0.221428571,0.303,0.566,-0.221428571,-0.053,-0.053,-0.137,-0.074,0,34.4,14.94824711,-3.916914453,36.10297517,0.607142857,37.99017225,32.79783814
25,691785,"Mayer, Marcelo",352,7.1,0.36,0.6,0.238,0.96,0.551,0.478,0.378,9,25,96.2,0.2,2211,89.1,89.14,0,25,0,0,6.31,122,147,126,152,291,324,299,-3.566,3.566,76.2,8.1,25,25,3,1,1,4,0,0,0,0,2.2596,0.6492,0.316,-0.1624,98.2,128,72,16,16,5.83,-0.93,0.13,2.5,0.36,4,14.264,0.378,0.76,-14.264,-0.018,-0.018,0.2,0.073,0,37.8,11.16742084,-9.574443938,32.05258746,0.739130435,34.65423609,33.25524939
14,686765,"Sogard, Nick",242,5.8,0.214,0.143,0.214,0.357,0.244,0.388,0.306,3,14,94.5,13.5,2324,91.9,91.97,0,14,0,0.1,6.42,114,146,109,152,284,322,299,1.454,-1.454,71.1,7.2,14,14,1,2,0,0,0,0,0,0,1.85357,0.86571,0.54714,-0.54714,96.4,172,57.14285714,14.28571429,14.28571429,5.59,-2.15,0.01,2.14,0.214,2,-10.38571429,0.306,0.615,10.38571429,-0.092,-0.092,-0.258,-0.144,0,35.8,16.20375263,-3.378445278,35.91709149,0.785714286,35.83512905,37.33305311
10,701350,"Anthony, Roman",322,3.1,0.4,0.5,0.333,0.9,0.548,0.559,0.411,4,10,97.1,-0.7,1860,86.2,86.15,0,10,0,0,6.17,119,147,126,152,280,320,304,-2.968,2.968,76.5,7.5,10,10,1,2,0,1,0,0,0,0,2.521,0.858,0.823,-0.427,99,128,80,30,30,5.87,-0.05,0.04,2.64,0.4,3,29.68,0.411,0.927,-29.68,-0.011,-0.011,-0.027,-0.011,0,39,13.15020427,-9.471603459,29.32979464,1,32.50653136,39.87677887
2,666165,"Sabol, Blake",85,2.4,0.5,0.5,0.5,1,0.631,0.491,0.533,1,2,83.9,5,2087,84.5,84,0,2,0,-0.5,6.45,126,149,136,153,267,316,314,-0.463,0.463,73.8,7.3,2,2,0,1,0,0,0,0,0,0,3.67,-0.41,0.455,-0.455,88,111,0,0,0,5.81,-2.29,0.3,2.4,0.5,0,23.15,0.533,0.602,-23.15,-0.033,-0.033,0.398,0.14,0,33.8,12.19080239,-9.765847734,30.23514415,1,33.31854271,43.61921574
