pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
260,680776,"Duran, Jarren",1466,17.7,0.224,0.2,0.246,0.424,0.274,0.279,0.251,19,85,88,19.7,2249,90.2,90.24,33,168,92,0,6.4,116,146,103,150,282,322,306,5.654,-5.654,73.9,7.1,86,69,11,2,3,3,17,19.8,0,0,2.12961,0.7444,0.43159,-0.08477,92.6,136,33.33333333,10.14492754,8.139534884,5.74,-0.48,0.68,2.58,0.224,7,-2.174615385,0.251,0.404,2.174615385,-0.027,-0.027,0.02,-0.005,19.6,36.9,4.57476544,2.495326082,29.12665014,0.445783133,32.09354534,29.16167093
207,646240,"Devers, Rafael",1639,12.6,0.2,0.16,0.205,0.36,0.26,0.343,0.259,10,50,89.8,23.9,2276,91.2,91.33,45,139,68,0.1,6.45,117,147,129,152,287,326,307,5.055,-5.055,70.4,7.2,54,41,6,2,0,2,10,18.5,3,5.6,1.9564,0.8234,0.5732,-0.04256,92.2,177,41.46341463,12.19512195,9.259259259,5.73,-0.47,0.67,2.57,0.241,5,-2.442028986,0.308,0.477,2.442028986,-0.059,-0.067,-0.117,-0.083,32.4,37,8.011222042,7.17367069,32.20659295,0.577777778,28.14065019,27.33810851
152,677800,"Abreu, Wilyer",1020,14.9,0.3,0.38,0.27,0.68,0.425,0.432,0.325,15,50,86.6,34.1,2283,90.8,90.92,10,106,46,0.1,6.45,117,147,119,152,285,323,304,-5.274,5.274,73.8,6.9,52,42,6,4,0,5,8,15.4,2,3.8,2.05375,0.76881,0.44,-0.1649,93,176,40.47619048,14.28571429,11.53846154,5.62,-0.89,0.61,2.35,0.327,6,3.469736842,0.351,0.677,-3.469736842,-0.025,-0.024,0.003,-0.007,9.4,36.2,9.258730866,-7.162548336,33.62627467,0.638095238,28.37475553,33.14214478
69,671213,"Casas, Triston",437,15.8,0.105,0.053,0.154,0.158,0.113,0.099,0.086,2,19,82.5,33.5,2257,90.1,90.31,9,41,28,0.2,6.51,118,147,126,152,284,324,307,3.821,-3.821,74.1,7.8,19,13,1,1,0,0,6,31.6,0,0,2.20986,0.63652,0.41662,-0.17338,91.8,141,15.38461538,0,0,5.6,-1.55,0.64,2.51,0.105,0,-5.537681159,0.086,0.151,5.537681159,0.019,0.019,0.007,0.014,22,35.6,16.39373025,-8.103785218,39.27099858,0.487804878,31.23654438,34.45403505
63,666152,"Hamilton, David",420,15,0.13,0.13,0.143,0.261,0.189,0.163,0.134,3,23,82.9,13.8,2345,90.2,90.33,5,34,29,0.1,6.49,116,146,106,152,280,320,300,3.865,-3.865,72.2,7.3,24,15,2,0,0,1,8,33.3,1,4.2,2.28032,0.57714,0.30349,0.00889,91.7,110,26.66666667,6.666666667,4.166666667,5.42,-1.54,0.65,2.18,0.167,1,-6.134920635,0.17,0.193,6.134920635,-0.004,-0.003,0.068,0.026,14.7,31.6,9.081509396,-11.63542603,33.0306654,0.484848485,31.74785815,33.61700644
53,647351,"Toro, Abraham",587,9,0,0,0,0,0,0.143,0.128,0,13,73.1,29,2307,91.1,91,5,29,24,-0.1,6.35,117,145,114,149,279,319,302,3.919,-3.919,69.1,7.6,13,11,0,0,0,0,2,15.4,0,0,2.20132,0.60077,0.32925,-0.32925,92.1,131,18.18181818,0,0,5.73,-1.92,0.63,2.42,0,0,-7.394339623,0.128,0.21,7.394339623,-0.128,-0.128,-0.21,-0.143,17.2,36.6,13.5133398,-9.383972876,31.98629093,0.551724138,29.98362518,37.79765908
53,691785,"Mayer, Marcelo",352,15.1,0.25,0.333,0.25,0.583,0.378,0.389,0.289,3,12,87.3,-2.2,2221,90.1,90.2,3,27,26,0.1,6.36,115,147,124,151,291,323,298,0.419,-0.419,74.6,7.6,13,9,1,1,0,1,3,23.1,1,7.7,2.30264,0.54434,0.41038,-0.16509,92.6,99,44.44444444,11.11111111,7.692307692,5.83,-1.04,0.65,2.44,0.308,1,-0.790566038,0.344,0.579,0.790566038,-0.039,-0.036,0.004,-0.011,11.1,38.8,7.429447263,-4.648656798,34.09820382,0.592592593,28.69378113,29.28129967
44,701350,"Anthony, Roman",322,13.7,0.25,0.188,0.4,0.438,0.337,0.3,0.195,4,16,92.7,7.2,2252,91.5,91.38,3,26,18,-0.1,6.25,117,147,127,151,283,321,303,0.577,-0.577,72,6.8,18,10,1,3,0,0,6,33.3,2,11.1,1.93955,0.82186,0.67884,-0.05698,94,124,50,20,11.11111111,5.68,0.09,0.62,2.49,0.333,2,-1.311363636,0.285,0.403,1.311363636,0.055,0.048,0.035,0.037,11.5,34.9,6.724816544,2.882712561,31.41837014,0.5,26.81613194,33.77664315
24,686765,"Sogard, Nick",242,9.9,0.2,0.2,0.333,0.4,0.253,0.19,0.14,1,5,98.9,21.7,2389,91.9,92.11,3,13,11,0.2,6.54,111,145,106,152,280,320,299,0.533,-0.533,68.6,7.3,5,3,0,1,0,0,2,40,0,0,1.89458,0.84125,0.34917,-0.34917,91.3,116,66.66666667,33.33333333,20,5.7,-1.8,0.66,2.35,0.2,1,-2.220833333,0.14,0.315,2.220833333,0.06,0.06,0.085,0.063,23.1,39,20.49110374,-14.22005844,35.33654236,0.461538462,29.26400561,40.8097057
12,666165,"Sabol, Blake",85,14.1,0.25,0.25,1,0.5,0.316,0.223,0.243,1,4,87.6,16,2234,89.5,89.38,1,7,5,-0.1,6.55,111,145,115,151,275,317,300,-0.011,0.011,72.4,6.9,4,1,0,1,0,0,3,75,0,0,2.39583,0.505,0.69273,-0.43818,88,139,0,0,0,5.46,-0.44,0.56,2.59,0.25,0,0.091666667,0.243,0.271,-0.091666667,0.007,0.007,0.229,0.093,14.3,30.9,7.371235912,4.949984019,31.39680563,0.714285714,29.19165664,33.98560372
