pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
28,680776,"Duran, Jarren",1466,1.9,0.536,0.536,0.48,1.071,0.679,0.5,0.468,15,28,93.8,6.1,2300,89,89.02,0,28,0,0,6.4,118,146,108,150,282,321,309,-7.766,7.766,76,7.5,28,28,8,2,2,3,0,0,0,0,2.23571,0.71889,0.1225,0.0425,97,127,50,14.28571429,14.28571429,5.66,-0.63,0.66,2.52,0.536,4,27.73571429,0.468,0.699,-27.73571429,0.068,0.068,0.372,0.179,0,36.8,9.874924282,-7.527704496,28.05586114,0.785714286,31.81725113,34.40001018
22,677800,"Abreu, Wilyer",1020,2.2,0.5,0.818,0.353,1.318,0.762,0.752,0.522,11,22,96.6,28,2291,90.4,90.68,0,22,0,0.3,6.45,120,148,125,153,281,325,305,-10.886,10.886,75.5,7.1,22,22,3,3,0,5,0,0,0,0,1.96682,0.85591,0.34227,-0.44591,99.5,246,63.63636364,27.27272727,27.27272727,5.69,-1.55,0.55,2.4,0.5,6,49.48181818,0.522,1.284,-49.48181818,-0.022,-0.022,0.034,0.01,0,37,12.21941862,-11.44218818,32.02215319,0.818181818,28.2874486,35.94615089
9,646240,"Devers, Rafael",1624,0.6,0.444,0.556,0.375,1,0.609,0.514,0.388,4,9,98.2,9.2,2114,86.9,86.91,0,9,0,0,6.46,116,147,127,148,284,328,309,-1.395,1.395,73.2,7.6,9,9,1,2,0,1,0,0,0,0,2.83333,0.265,0.18111,-0.01,99.1,220,77.77777778,11.11111111,11.11111111,5.8,-0.4,0.55,2.14,0.444,1,15.5,0.388,0.84,-15.5,0.056,0.056,0.16,0.095,0,36.1,13.45015116,-8.555013321,30.8900107,0.888888889,29.45153875,37.8369167
8,666152,"Hamilton, David",420,1.9,0.25,0.375,0.143,0.625,0.369,0.327,0.306,2,8,91.2,-0.2,2239,91.5,91.31,0,8,0,-0.2,6.36,115,145,109,152,277,320,303,0.022,-0.022,72.5,7,8,8,1,0,0,1,0,0,0,0,2.10375,0.65625,0.72,0.37,93.7,125,37.5,12.5,12.5,5.41,-0.17,0.64,2.36,0.25,1,-0.275,0.306,0.465,0.275,-0.056,-0.056,0.16,0.042,0,25.9,4.947661553,-5.649580126,34.03799111,0.625,30.84509664,30.87614161
7,647351,"Toro, Abraham",587,1.2,0,0,0,0,0,0.188,0.154,0,7,78.9,21,2273,91,91.01,0,7,0,0,6.5,111,147,109,150,273,320,308,1.859,-1.859,70.6,7.5,7,7,0,0,0,0,0,0,0,0,2.18714,0.60286,0.33143,-0.33143,91.8,175,28.57142857,0,0,5.21,-2.13,0.51,2.25,0,0,-26.55714286,0.154,0.293,26.55714286,-0.154,-0.154,-0.293,-0.188,0,28.7,10.10331112,-4.444761945,33.7510725,0.571428571,30.74793296,36.42770078
7,671213,"Casas, Triston",437,1.6,0.286,0.143,0.286,0.429,0.307,0.181,0.139,2,7,83.6,33.7,2356,90.1,90.47,0,7,0,0.4,6.66,119,148,131,153,285,323,307,0.143,-0.143,76.4,7.7,7,7,1,1,0,0,0,0,0,0,2.10286,0.76143,-0.06714,0.06714,91.4,168,28.57142857,0,0,5.6,-1.89,0.64,2.61,0.286,0,-2.042857143,0.139,0.301,2.042857143,0.147,0.147,0.128,0.126,0,36,13.41746969,-5.844585998,39.91353705,0.857142857,30.70767912,31.84504442
5,691785,"Mayer, Marcelo",352,1.4,0.6,0.8,0.5,1.4,0.843,0.763,0.574,3,5,95.1,2.8,2431,87.9,87.6,0,5,0,-0.3,6.12,117,146,116,152,291,327,300,-1.779,1.779,76.1,8,5,5,1,1,0,1,0,0,0,0,2.678,0.332,0.028,-0.028,98.8,173,60,20,20,6,-1.32,0.5,2.62,0.6,1,35.58,0.574,1.258,-35.58,0.026,0.026,0.142,0.08,0,36.7,11.0186977,-13.27995559,33.2360657,0.8,30.11870878,33.45332051
3,686765,"Sogard, Nick",242,1.2,0.333,0.333,0.333,0.667,0.421,0.317,0.233,1,3,98.9,21.7,2403,94.1,93.67,0,3,0,-0.4,6.47,114,145,99,152,278,324,308,0.009,-0.009,71.5,7.2,3,3,0,1,0,0,0,0,0,0,1.40667,1.21667,0.49667,-0.49667,98.9,181,66.66666667,33.33333333,33.33333333,5.65,-2.16,0.47,2.07,0.333,1,-0.3,0.233,0.526,0.3,0.1,0.1,0.141,0.104,0,37.8,13.38360807,-5.188568163,38.47282723,1,30.97988452,35.60201058
3,701350,"Anthony, Roman",322,0.9,0.667,0.333,0.667,1,0.717,0.49,0.405,2,3,102.9,0.7,2219,91.4,91.83,0,3,0,0.4,6.47,120,149,127,151,277,319,304,-0.9,0.9,75.8,7.2,3,3,1,1,0,0,0,0,0,0,1.60333,1.12333,0.64333,-0.18333,102.9,128,100,33.33333333,33.33333333,6.04,1.09,0.44,2.7,0.667,1,30,0.405,0.75,-30,0.262,0.262,0.25,0.227,0,40.5,15.16764403,-10.78247725,29.87046198,1,27.91403602,38.21183311
1,666165,"Sabol, Blake",85,1.2,1,1,1,2,1.263,0.893,0.971,1,1,87.6,16,2592,81.2,80.9,0,1,0,-0.3,6.8,126,150,136,154,267,311,321,-0.69,0.69,73.8,7,1,1,0,1,0,0,0,0,0,0,4.81,-1.27,-0.52,0.52,88,204,0,0,0,6.24,-2.35,0.74,2.71,1,0,69,0.971,1.082,-69,0.029,0.029,0.918,0.37,0,46.2,9.518077515,-10.3768204,27.74921616,1,27.96719739,45.55223346
