pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
1042,680776,"Duran, Jarren",1466,71.1,0.276,0.176,0.328,0.451,0.321,0.327,0.28,88,319,92.7,12,2249,90.1,90.12,149,633,409,0,6.39,116,147,105,151,284,322,306,7.712,-7.712,73.6,7.3,333,257,53,20,9,6,65,19.5,11,3.3,2.1319,0.72766,0.46161,-0.19043,93.3,162,47.85992218,9.727626459,7.507507508,5.71,-0.47,-0.05,2.56,0.298,25,-0.740115163,0.305,0.446,0.740115163,-0.004,-0.007,0.005,-0.006,23.5,36.5,4.044817098,5.141405017,26.53874788,0.417207792,39.51338585,28.138601
950,646240,"Devers, Rafael",1639,58,0.29,0.253,0.331,0.543,0.378,0.394,0.293,71,245,95.2,13.1,2260,90.5,90.56,192,610,340,0.1,6.42,117,147,129,151,287,325,308,2.252,-2.252,70.7,7.4,267,184,39,17,0,15,63,23.6,20,7.5,2.03177,0.80274,0.52639,-0.15174,93.4,183,59.7826087,17.39130435,11.98501873,5.71,-0.46,-0.09,2.57,0.341,32,-0.237052632,0.349,0.577,0.237052632,-0.003,-0.008,-0.034,-0.016,31.5,36.6,7.359249871,9.900600564,28.34207308,0.55704698,35.60613836,25.67586682
733,677800,"Abreu, Wilyer",1020,71.9,0.262,0.258,0.269,0.52,0.342,0.365,0.279,59,225,91.1,24.7,2242,90.8,90.96,91,493,240,0.2,6.48,117,147,120,152,285,323,304,2.983,-2.983,73.1,6.9,235,176,33,10,0,16,51,21.7,8,3.4,2.02292,0.79016,0.53242,-0.37611,92.2,181,46.02272727,13.63636364,10.21276596,5.67,-1.22,-0.15,2.46,0.285,24,-0.406957708,0.303,0.562,0.406957708,-0.017,-0.018,-0.042,-0.023,18.5,36.3,7.687132589,1.472702506,30.70566714,0.53877551,36.13897237,29.82321525
314,671213,"Casas, Triston",437,71.9,0.198,0.132,0.231,0.33,0.246,0.3,0.231,18,91,87.8,15.8,2238,89.3,89.52,56,196,118,0.2,6.52,118,147,127,151,286,325,306,8.758,-8.758,73.8,7.8,95,68,12,3,0,3,23,24.2,4,4.2,2.27111,0.63495,0.42888,-0.27875,93,174,45.58823529,10.29411765,7.368421053,5.64,-1.64,-0.09,2.55,0.232,7,-2.789171975,0.264,0.44,2.789171975,-0.033,-0.032,-0.11,-0.054,28.6,35.7,13.31598251,-2.400735216,35.8744924,0.427835052,38.8280188,31.25607314
308,666152,"Hamilton, David",420,73.3,0.196,0.118,0.221,0.314,0.233,0.25,0.224,20,102,84.5,12.5,2211,89.8,90.03,34,176,132,0.2,6.55,113,145,99,151,281,319,300,12.29,-12.29,67,7,106,81,14,3,0,3,22,20.8,3,2.8,2.30815,0.56968,0.55368,-0.40678,90.6,144,25.92592593,3.703703704,2.830188679,5.51,-1.53,-0.1,2.35,0.219,3,-3.99025974,0.246,0.328,3.99025974,-0.028,-0.027,-0.014,-0.017,19.3,32.8,5.727760949,-4.407180494,29.10899431,0.442528736,38.74597868,30.64710292
303,647351,"Toro, Abraham",587,51.6,0.319,0.223,0.316,0.543,0.373,0.325,0.28,30,94,88.1,14.9,2250,91,91.01,33,195,108,0,6.33,117,146,115,151,283,320,302,1.113,-1.113,68.5,7.5,95,84,19,6,0,5,10,10.5,1,1.1,2.17086,0.62106,0.52301,-0.52301,92.2,157,40.47619048,7.142857143,6.315789474,5.67,-1.95,-0.15,2.4,0.326,6,-0.367326733,0.288,0.477,0.367326733,0.039,0.038,0.066,0.048,16.9,35.2,10.41151369,0.136412601,30.24007868,0.538461538,38.60323645,34.39168519
251,691785,"Mayer, Marcelo",352,71.3,0.25,0.25,0.269,0.5,0.329,0.318,0.252,18,72,92.3,3.9,2213,89.7,89.86,35,158,93,0.2,6.36,116,146,125,151,291,324,299,4.937,-4.937,73.9,7.8,76,56,9,4,1,4,17,22.4,3,3.9,2.29757,0.61675,0.51227,-0.33554,92.6,134,58.92857143,10.71428571,7.894736842,5.75,-1.04,-0.07,2.48,0.276,6,-1.966932271,0.279,0.47,1.966932271,-0.002,-0.003,0.03,0.011,22.2,36.2,6.92946529,-1.546940778,31.84097506,0.431372549,37.11055156,28.60290064
229,701350,"Anthony, Roman",322,71.1,0.211,0.123,0.282,0.333,0.264,0.33,0.243,12,57,94.5,8.8,2211,89.2,89.04,21,110,119,-0.2,6.25,114,146,126,151,285,322,304,4.023,-4.023,72.6,7,61,40,7,4,0,1,17,27.9,4,6.6,2.37803,0.5718,0.45515,-0.21207,92.8,147,50,15,9.836065574,5.73,-0.46,-0.14,2.51,0.262,6,-1.756768559,0.293,0.48,1.756768559,-0.032,-0.031,-0.147,-0.066,19.1,35.7,6.80895813,5.584060746,30.0111139,0.490566038,34.80690469,33.02244598
114,686765,"Sogard, Nick",242,47.1,0.188,0.063,0.231,0.25,0.19,0.297,0.264,6,32,89,10.1,2241,89.5,89.55,9,66,48,0,6.39,115,146,109,152,281,321,301,5.611,-5.611,66.9,7.1,32,26,4,2,0,0,6,18.8,0,0,2.34254,0.59447,0.43491,-0.43491,91.2,137,42.30769231,7.692307692,6.25,5.66,-1.98,-0.02,2.29,0.188,2,-4.921929825,0.264,0.429,4.921929825,-0.076,-0.076,-0.179,-0.107,13.6,35.9,16.99403323,-5.285102105,34.86364345,0.430769231,35.4809185,38.43152628
55,666165,"Sabol, Blake",85,64.7,0.167,0.083,0.25,0.25,0.165,0.242,0.204,2,12,93.6,7.9,2135,88.1,88.32,7,32,23,0.2,6.64,111,146,117,151,277,314,302,2.011,-2.011,69,7,13,8,1,1,0,0,5,38.5,0,0,2.24327,0.73782,0.54463,-0.36278,90.6,139,50,12.5,7.692307692,5.49,-0.7,-0.2,2.62,0.154,1,-3.656363636,0.228,0.249,3.656363636,-0.037,-0.074,0.001,-0.077,21.9,35.5,6.721311007,0.999599333,29.87859433,0.59375,38.4209172,34.3673732
