pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
206,678882,"Rafaela, Ceddanne",1078,19.1,0.327,0.228,0.294,0.554,0.375,0.408,0.344,66,202,91.3,11.3,2260,88.3,88.31,0,206,0,0,6.39,105,150,111,146,291,321,294,-13.407,13.407,70.6,7.3,206,206,40,15,2,9,0,0,0,0,2.4727,0.51785,0.3501,0.0551,95.4,166,49.51456311,12.62135922,12.62135922,5.75,-0.75,0.06,2.37,0.325,26,6.508252427,0.343,0.623,-6.508252427,-0.017,-0.018,-0.069,-0.033,0,38,10.17177794,1.61221831,32.87121045,0.696517413,36.20835246,31.6048657
202,596115,"Story, Trevor",1295,15.6,0.358,0.224,0.317,0.582,0.405,0.412,0.358,72,201,91.4,14.1,2240,89.4,89.45,0,202,0,0.1,6.39,110,151,122,146,292,322,296,-16.95,16.95,70.9,7.2,202,202,51,9,0,12,0,0,0,0,2.26396,0.66332,0.44796,0.25463,95.9,167,48.51485149,10.89108911,10.89108911,5.69,-0.86,0.01,2.42,0.358,22,8.391089109,0.358,0.613,-8.391089109,0,0,-0.031,-0.007,0,36.8,8.266967952,-1.123469848,30.01794638,0.627118644,38.24478865,33.41244541
152,665966,"Narváez, Carlos",1026,14.8,0.391,0.252,0.359,0.642,0.441,0.379,0.326,59,151,92.7,13.7,2228,87.7,87.7,0,152,0,0,6.39,107,151,122,146,291,322,295,-15.926,15.926,72,7.6,152,152,35,17,0,7,0,0,0,0,2.51547,0.55901,0.35613,-0.02707,96.1,164,46.71052632,11.84210526,11.84210526,5.73,-0.57,0.04,2.45,0.388,18,10.47763158,0.325,0.567,-10.47763158,0.065,0.063,0.075,0.062,0,37.4,9.41520392,0.906755849,29.5560761,0.594594595,38.05591076,31.8805062
151,608324,"Bregman, Alex",886,17,0.373,0.333,0.321,0.707,0.457,0.392,0.316,56,150,92.5,19.7,2297,89.8,89.92,0,151,0,0.1,6.48,107,151,122,146,289,322,297,-18.663,18.663,71.4,7.1,151,151,28,17,0,11,0,0,0,0,2.2206,0.64768,0.4114,0.2046,95.1,191,49.66887417,10.59602649,10.59602649,5.65,-1.05,0.09,2.38,0.371,16,12.35960265,0.316,0.615,-12.35960265,0.057,0.055,0.092,0.065,0,37.4,14.3978608,-3.232410216,27.39557666,0.84,33.5391659,31.64937263
147,692225,"Campbell, Kristian",1070,13.7,0.329,0.185,0.298,0.514,0.361,0.354,0.329,48,146,89.6,4.3,2278,89.4,89.39,0,147,0,0,6.4,109,151,120,148,290,321,296,-5.109,5.109,72.8,6.7,147,147,33,9,0,6,0,0,0,0,2.32156,0.61425,0.43755,0.1868,94.8,134,44.21768707,5.442176871,5.442176871,5.74,-0.69,-0.1,2.51,0.327,8,3.475510204,0.327,0.505,-3.475510204,0,0,0.009,0.007,0,38,9.8080966,11.70818354,33.648393,0.5625,36.80665334,27.83601526
83,663853,"Gonzalez, Romy",427,19.4,0.39,0.268,0.362,0.659,0.443,0.465,0.38,32,82,94.6,6,2188,87.8,87.77,0,83,0,0,6.3,108,151,120,148,291,321,296,-11.783,11.783,75.4,6.7,83,83,17,11,1,3,0,0,0,0,2.39938,0.67561,0.47049,0.05642,97.3,165,59.03614458,14.45783133,14.45783133,5.78,0.09,0.05,2.49,0.386,12,14.19638554,0.384,0.696,-14.19638554,0.01,0.002,-0.037,-0.022,0,38.3,4.896618377,5.069787216,27.22681257,0.5,36.30422864,26.88261785
59,608701,"Refsnyder, Rob",449,13.1,0.421,0.351,0.352,0.772,0.492,0.435,0.374,24,57,94.1,17.4,2203,88.8,88.63,0,59,0,-0.2,6.31,104,150,122,145,290,321,294,-8.948,8.948,73.3,7.5,59,59,14,5,0,5,0,0,0,0,2.23614,0.71881,0.53965,-0.04842,96.7,170,57.62711864,11.86440678,11.86440678,5.62,0.76,-0.04,2.46,0.407,7,15.1661017,0.362,0.688,-15.1661017,0.047,0.045,0.084,0.057,0,35.6,11.49170669,2.312476805,32.4180277,0.762711864,37.20032366,28.92663741
53,657136,"Wong, Connor",343,15.5,0.212,0,0.208,0.212,0.184,0.328,0.323,11,52,84.8,9.9,2327,90.3,90.38,0,53,0,0.1,6.6,111,152,114,147,290,321,294,5.474,-5.474,70.4,7.1,53,53,11,0,0,0,0,0,0,0,2.23792,0.60906,0.36075,0.23245,93,133,33.96226415,5.660377358,5.660377358,5.6,-1.4,0.06,2.48,0.208,3,-10.32830189,0.317,0.452,10.32830189,-0.111,-0.109,-0.24,-0.144,0,36,9.77606789,-0.494239902,29.76732439,0.647058824,37.50314011,32.52510402
28,647351,"Toro, Abraham",587,4.8,0.385,0.115,0.357,0.5,0.357,0.332,0.355,10,26,83.3,19.7,2126,86.6,86.38,0,28,0,-0.2,6.2,104,151,120,146,291,322,293,-2.278,2.278,68.4,7.4,28,28,7,3,0,0,0,0,0,0,2.51607,0.83964,0.63929,-0.57357,91.7,163,25,0,0,5.71,2.05,0.13,2.29,0.357,0,8.135714286,0.351,0.408,-8.135714286,0.03,0.006,0.092,0.025,0,35.5,8.017287568,1.683190596,33.97972002,0.692307692,38.1936258,34.16664726
18,686765,"Sogard, Nick",242,7.4,0.444,0.167,0.444,0.611,0.457,0.388,0.359,8,18,87.1,11.2,2193,89.2,89.08,0,18,0,-0.1,6.33,105,151,115,147,294,322,290,-1.372,1.372,67.9,7,18,18,5,3,0,0,0,0,0,0,2.36444,0.56722,0.58222,-0.58222,92.4,170,33.33333333,5.555555556,5.555555556,5.68,2.13,-0.02,2.45,0.444,1,7.622222222,0.359,0.541,-7.622222222,0.085,0.085,0.07,0.069,0,33.1,10.37984851,0.195560987,27.64568293,0.75,39.50844889,36.19102748
