pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
87,608324,"Bregman, Alex",886,9.8,0.414,0.402,0.362,0.816,0.522,0.411,0.336,36,87,93.3,14.7,2314,88.8,88.81,0,87,0,0,6.39,108,151,122,146,288,322,297,-15.573,15.573,71.8,7.2,87,87,15,14,0,7,0,0,0,0,2.39241,0.54874,0.35874,0.08586,95.6,169,54.02298851,11.49425287,11.49425287,5.66,-0.9,0.05,2.35,0.414,10,17.9,0.336,0.639,-17.9,0.078,0.078,0.177,0.111,0,37.1,16.67307374,-7.969497561,27.48214608,0.825581395,32.71935606,34.40363047
74,678882,"Rafaela, Ceddanne",1078,6.9,0.378,0.351,0.333,0.73,0.471,0.466,0.402,28,74,94.5,2.4,2256,87.8,87.75,0,74,0,-0.1,6.33,106,150,111,147,290,321,295,-9.375,9.375,72.9,7.6,74,74,13,9,1,5,0,0,0,0,2.56946,0.43822,0.23919,0.09676,96.7,126,58.10810811,12.16216216,12.16216216,5.81,-0.89,-0.06,2.28,0.378,9,12.66891892,0.402,0.699,-12.66891892,-0.024,-0.024,0.031,0.005,0,39.2,14.0217461,-5.159685729,34.042909,0.767123288,34.73087186,36.44856713
71,596115,"Story, Trevor",1295,5.5,0.386,0.414,0.306,0.8,0.504,0.406,0.344,27,70,92.1,3.7,2270,86.9,86.79,0,71,0,-0.1,6.29,110,151,122,147,292,323,297,-12.539,12.539,71.9,7.4,71,71,14,5,0,8,0,0,0,0,2.73887,0.41986,0.23549,0.06986,96.2,133,47.88732394,14.08450704,14.08450704,5.74,-0.62,-0.14,2.33,0.386,10,17.66056338,0.344,0.619,-17.66056338,0.042,0.042,0.181,0.098,0,38,11.55332415,-8.158494824,30.82695122,0.793650794,36.61585503,37.99102579
61,665966,"Narváez, Carlos",1026,5.9,0.443,0.41,0.393,0.852,0.551,0.445,0.373,27,61,94.9,9.3,2172,86,86.05,0,61,0,0,6.37,109,151,122,146,291,321,294,-11.572,11.572,73.5,7.9,61,61,12,10,0,5,0,0,0,0,2.72984,0.46344,0.23852,-0.10475,97.1,159,49.18032787,16.39344262,16.39344262,5.82,-0.36,-0.16,2.42,0.443,10,18.9704918,0.373,0.68,-18.9704918,0.07,0.07,0.172,0.106,0,39.5,14.35262049,-8.563078835,29.75293634,0.783333333,35.72231048,37.32843382
38,692225,"Campbell, Kristian",1070,3.6,0.237,0.211,0.194,0.447,0.292,0.362,0.324,9,38,87.9,0.8,2222,87.4,87.37,0,38,0,0,6.45,109,150,119,148,290,322,297,1.122,-1.122,74.5,7.1,38,38,5,2,0,2,0,0,0,0,2.71526,0.33921,0.37684,0.08,93.3,112,31.57894737,7.894736842,7.894736842,5.74,-0.57,-0.27,2.42,0.237,3,-2.952631579,0.324,0.522,2.952631579,-0.087,-0.087,-0.075,-0.07,0,39,15.61761829,0.800946846,34.61567634,0.526315789,35.05861114,33.4614207
26,608701,"Refsnyder, Rob",449,5.8,0.538,0.538,0.455,1.077,0.688,0.53,0.426,14,26,98.3,11.5,2219,88.3,88.15,0,26,0,-0.2,6.3,107,151,122,147,289,319,295,-8.952,8.952,73.8,7.7,26,26,8,2,0,4,0,0,0,0,2.225,0.66308,0.30792,-0.12125,99.1,147,73.07692308,15.38461538,15.38461538,5.68,0.54,-0.03,2.5,0.538,4,34.43076923,0.426,0.828,-34.43076923,0.112,0.112,0.249,0.158,0,36.8,15.28189602,-6.212328599,31.87914588,0.846153846,36.96783917,33.00020442
26,663853,"Gonzalez, Romy",427,6.1,0.462,0.423,0.417,0.885,0.572,0.424,0.397,12,26,94.3,0.7,2153,86.2,86.16,0,26,0,0,6.37,109,149,120,146,293,320,294,-8.58,8.58,75.2,7,26,26,5,5,0,2,0,0,0,0,2.70192,0.44654,0.41423,-0.01731,96.7,137,57.69230769,7.692307692,7.692307692,5.84,0.31,-0.22,2.33,0.462,2,33,0.397,0.591,-33,0.065,0.065,0.294,0.148,0,41.1,8.223289264,-5.486859787,29.24780346,0.846153846,33.15785992,33.10148245
22,657136,"Wong, Connor",343,6.4,0.238,0,0.227,0.238,0.202,0.272,0.286,5,21,85.5,3.9,2263,89.6,89.76,0,22,0,0.2,6.55,109,152,115,147,291,322,295,1.512,-1.512,70.7,7.2,22,22,5,0,0,0,0,0,0,0,2.47045,0.42545,0.40818,0.31455,93.2,76,40.90909091,4.545454545,4.545454545,5.75,-1.43,-0.04,2.35,0.227,1,-6.872727273,0.275,0.361,6.872727273,-0.048,-0.048,-0.123,-0.07,0,40,10.39183788,-6.6643812,30.25274245,0.681818182,36.60388204,35.08104725
11,647351,"Toro, Abraham",587,1.9,0.2,0.2,0.182,0.4,0.23,0.282,0.256,2,10,90,11.6,2131,84.6,84.31,0,11,0,-0.3,6.09,104,153,122,148,293,321,294,0.678,-0.678,70,7.7,11,11,0,2,0,0,0,0,0,0,2.78364,1.11364,0.64273,-0.47545,95,106,54.54545455,0,0,5.89,1.65,-0.11,2.4,0.182,0,-6.163636364,0.285,0.318,6.163636364,-0.056,-0.103,0.082,-0.052,0,38.5,10.70877833,-5.993029781,33.72274903,0.888888889,35.30422147,38.20428164
9,686765,"Sogard, Nick",242,3.7,0.778,0.222,0.778,1,0.774,0.554,0.509,7,9,94,4.6,2147,88.9,88.47,0,9,0,-0.4,6.23,103,150,109,146,294,321,291,-2.594,2.594,69.4,7.1,9,9,5,2,0,0,0,0,0,0,2.62778,0.34333,0.41667,-0.41667,95.8,158,55.55555556,11.11111111,11.11111111,5.59,2.25,-0.26,2.35,0.778,1,28.82222222,0.509,0.779,-28.82222222,0.269,0.269,0.221,0.22,0,33,12.50116884,-5.8398412,28.29791055,0.875,36.87450628,39.80712289
