pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
239,596115,"Story, Trevor",1295,18.5,0.274,0.258,0.265,0.532,0.354,0.317,0.237,17,62,86.1,15.4,2203,89.8,89.79,30,160,79,0,6.37,109,151,122,146,291,322,296,-1.571,1.571,69.9,7,65,54,9,4,0,4,9,13.8,2,3.1,2.28345,0.66828,0.55092,0.3805,92.6,141,31.48148148,12.96296296,10.76923077,5.71,-0.93,-0.66,2.51,0.297,7,0.657322176,0.261,0.491,-0.657322176,0.037,0.036,0.041,0.037,18.8,36.4,8.893408129,-4.541232065,32.03637609,0.454545455,31.03252247,33.70442819
214,692225,"Campbell, Kristian",1070,20,0.231,0.092,0.269,0.323,0.267,0.29,0.272,15,65,84.7,3.2,2279,90,90.04,21,130,84,0,6.44,108,150,119,147,292,322,294,6.058,-6.058,70.7,6.5,69,53,11,3,0,1,12,17.4,4,5.8,2.23322,0.6469,0.52308,0.40232,91.2,133,30.18867925,0,0,5.72,-1.06,-0.68,2.59,0.275,0,-2.830841121,0.314,0.341,2.830841121,-0.041,-0.039,-0.018,-0.023,16.2,38.1,8.891720585,10.38768438,37.27430722,0.356589147,30.85332967,28.52608523
177,678882,"Rafaela, Ceddanne",1078,16.4,0.256,0.209,0.237,0.465,0.31,0.396,0.31,11,43,88.7,16.1,2247,90.1,90.11,23,128,49,0,6.35,104,150,107,146,291,321,295,3.355,-3.355,67.3,6.7,45,40,6,3,0,2,4,8.9,1,2.2,2.14349,0.73068,0.55749,0.36469,91.3,167,40,12.5,11.11111111,5.69,-0.62,-0.66,2.61,0.267,5,-1.895480226,0.323,0.624,1.895480226,-0.054,-0.056,-0.159,-0.086,18,36.2,6.680811331,2.377528856,35.55517619,0.5,28.15082069,29.04623306
170,665966,"Narváez, Carlos",1026,16.6,0.364,0.409,0.382,0.773,0.484,0.412,0.334,16,44,92.9,20.7,2241,89.4,89.52,23,111,59,0.1,6.43,106,151,121,146,291,322,295,-2.905,2.905,71.5,7.4,45,37,4,9,0,3,7,15.6,1,2.2,2.16136,0.77018,0.43899,0.11864,92.6,168,48.64864865,16.21621622,13.33333333,5.78,-0.36,-0.65,2.68,0.378,6,1.708823529,0.349,0.627,-1.708823529,0.03,0.029,0.146,0.072,20.7,38,9.737365451,-0.250761467,31.58466049,0.518518519,30.55672856,30.88661076
107,608324,"Bregman, Alex",886,12.1,0.278,0.222,0.321,0.5,0.331,0.219,0.2,10,36,89.3,30.9,2252,90.5,90.57,5,66,41,0.1,6.49,106,151,122,146,290,322,296,0.839,-0.839,69.6,6.9,36,29,4,5,0,1,7,19.4,0,0,2.13075,0.69821,0.71632,0.50689,92.5,162,31.03448276,3.448275862,2.777777778,5.65,-0.91,-0.64,2.49,0.278,1,-0.78411215,0.2,0.316,0.78411215,0.078,0.078,0.184,0.112,7.6,37,15.13175324,-9.357279951,30.52854208,0.696969697,25.70501439,31.93757466
73,608701,"Refsnyder, Rob",449,16.3,0.263,0.211,0.308,0.474,0.351,0.296,0.2,5,19,91.7,26.1,2178,88.6,88.55,12,42,31,0,6.38,104,150,120,145,293,321,295,-0.013,0.013,71.3,7.3,23,14,3,1,0,1,6,26.1,3,13,2.28275,0.69397,0.46162,0.05309,92.2,126,28.57142857,7.142857143,4.347826087,5.58,0.93,-0.64,2.42,0.348,1,0.017808219,0.297,0.387,-0.017808219,0.063,0.051,0.087,0.055,28.6,36.2,11.36371217,-2.104695707,36.29743409,0.571428571,30.33191073,29.30317172
62,663853,"Gonzalez, Romy",427,14.5,0.321,0.214,0.381,0.536,0.367,0.264,0.24,9,28,90.6,6.8,2243,89.8,89.83,6,43,19,0,6.42,111,151,120,148,292,322,298,-1.381,1.381,74.1,6.4,28,22,5,3,0,1,6,21.4,0,0,2.05311,0.83016,0.50934,0.12049,92.3,139,45.45454545,9.090909091,7.142857143,5.77,0.01,-0.61,2.59,0.321,2,2.227419355,0.24,0.376,-2.227419355,0.081,0.081,0.16,0.103,14,41.1,3.160511973,2.162358936,28.89644346,0.418604651,29.17607313,26.54932725
59,657136,"Wong, Connor",343,17.2,0.231,0,0.25,0.231,0.253,0.227,0.181,3,13,73.4,14.7,2275,90.6,90.71,4,31,28,0.1,6.48,111,151,114,146,291,320,293,2.096,-2.096,68.2,6.8,16,12,3,0,0,0,2,12.5,2,12.5,2.21153,0.61542,0.55569,0.53983,90.4,118,16.66666667,0,0,5.64,-1.38,-0.67,2.51,0.313,0,-3.552542373,0.275,0.202,3.552542373,0.05,0.038,0.029,0.026,12.9,35.6,6.767226077,-3.043185472,33.44559327,0.35483871,29.80865868,31.35898639
19,647351,"Toro, Abraham",587,3.2,0,0,0,0,0,0.04,0.044,0,4,63.2,11.7,2345,87.1,87.24,1,11,8,0.1,6.43,101,152,119,147,286,320,296,1.495,-1.495,71.1,7.7,4,3,0,0,0,0,1,25,0,0,2.56737,0.77474,0.21105,-0.16158,88.5,108,0,0,0,5.66,2.13,-0.66,2.08,0,0,-7.868421053,0.044,0.047,7.868421053,-0.044,-0.044,-0.047,-0.04,9.1,37,10.99409585,-7.70215121,37.55080391,0.363636364,29.69377929,37.49705813
14,686765,"Sogard, Nick",242,5.8,0.667,0.167,0.8,0.833,0.654,0.49,0.402,4,6,97.5,13.6,2292,90.6,89.52,0,8,6,-1.1,5.96,109,151,119,147,296,320,289,-0.987,0.987,69.9,7.1,6,5,3,1,0,0,1,16.7,0,0,2.31,0.55643,0.48,-0.48,94.8,175,60,20,16.66666667,5.68,2.24,-0.57,2.39,0.667,1,7.05,0.402,0.754,-7.05,0.265,0.265,0.079,0.164,0,35.3,12.9932184,-8.159848466,29.14043686,0.714285714,32.68029667,38.93945248
12,681987,"Eaton, Nate",53,22.6,0.25,0,0.5,0.25,0.222,0.251,0.263,1,4,96.1,4.5,2342,89,88.93,0,5,7,-0.1,6.21,104,144,109,138,297,318,286,0.469,-0.469,75.7,7.1,4,2,1,0,0,0,2,50,0,0,1.95417,0.94083,0.30917,-0.09417,91.2,88,50,0,0,6.08,1.73,-0.59,2.42,0.25,0,-3.908333333,0.263,0.312,3.908333333,-0.013,-0.013,-0.062,-0.029,0,42.7,3.199972481,-6.340397415,36.14079022,0.6,28.05106656,32.85873835
