pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
397,596115,"Story, Trevor",1322,30,0.302,0.127,0.362,0.429,0.32,0.343,0.307,38,126,95.7,14,2273,89.7,89.8,66,282,115,0.1,6.4,109,151,122,146,292,322,296,7.477,-7.477,70.1,7.1,127,98,30,4,0,4,28,22,1,0.8,2.18492,0.69353,0.41135,0.17104,93.2,162,62.24489796,11.2244898,8.661417323,5.69,-0.83,0.03,2.49,0.307,11,-1.883375315,0.312,0.491,1.883375315,-0.005,-0.005,-0.062,-0.023,23.4,36.9,7.913758782,-0.13802911,29.18790615,0.422641509,38.44707995,32.71296128
340,678882,"Rafaela, Ceddanne",1108,30.7,0.336,0.279,0.347,0.615,0.405,0.419,0.346,41,122,95.2,8.6,2276,88.8,88.97,53,267,73,0.2,6.44,105,151,109,147,292,321,294,-2.01,2.01,70,7.2,124,109,21,12,2,6,15,12.1,0,0,2.34923,0.59971,0.37118,0.17649,93.5,165,65.13761468,17.43119266,15.32258065,5.68,-0.69,0.02,2.48,0.336,19,0.591176471,0.346,0.645,-0.591176471,-0.01,-0.01,-0.03,-0.014,19.9,36.8,10.08695548,3.234300813,32.71806169,0.52851711,35.74818859,30.87430992
312,692225,"Campbell, Kristian",1070,29.2,0.227,0.17,0.281,0.398,0.274,0.282,0.223,20,88,94.1,7.4,2287,89.2,89.33,42,179,133,0.1,6.43,109,151,120,147,290,321,295,9.195,-9.195,73,6.7,91,61,13,3,0,4,28,30.8,2,2.2,2.30479,0.64561,0.31661,0.06287,93,161,57.37704918,13.1147541,8.791208791,5.74,-0.56,-0.02,2.45,0.242,8,-2.947115385,0.238,0.431,2.947115385,0.004,0.004,-0.033,-0.008,23.5,38.1,10.63173028,11.9750751,33.76892196,0.418079096,37.50958818,27.821029
300,665966,"Narváez, Carlos",1042,28.8,0.25,0.136,0.302,0.386,0.287,0.281,0.224,22,88,93.9,16.5,2257,89.1,89.18,54,204,96,0.1,6.43,107,151,122,146,292,321,294,6.788,-6.788,70.8,7.5,94,66,16,3,0,3,24,25.5,4,4.3,2.26624,0.69033,0.44111,0.07829,92.6,169,45.45454545,12.12121212,8.510638298,5.7,-0.54,0.03,2.5,0.277,8,-2.262666667,0.256,0.398,2.262666667,0.026,0.021,-0.012,0.006,26.5,36.9,8.539133091,4.392617295,29.35155865,0.495098039,37.66184509,29.39779678
295,608324,"Bregman, Alex",886,33.3,0.322,0.345,0.304,0.667,0.426,0.402,0.291,28,87,94.6,18.7,2273,89.7,89.86,20,170,125,0.2,6.47,107,152,122,146,289,322,297,-3.286,3.286,71,7.1,92,76,12,9,0,7,12,13,4,4.3,2.22805,0.64251,0.42172,0.24529,93.4,180,59.21052632,15.78947368,13.04347826,5.63,-0.62,0.01,2.36,0.348,12,1.113898305,0.322,0.638,-1.113898305,0.031,0.026,0.029,0.024,11.8,37.5,14.8421262,-4.910140834,28.33772526,0.625,32.70025249,32.06044636
139,608701,"Refsnyder, Rob",449,31,0.341,0.293,0.379,0.634,0.407,0.333,0.273,14,41,93.5,16.4,2261,88.6,88.6,21,76,63,0,6.37,107,150,121,145,292,323,295,-0.606,0.606,72.5,7.5,42,32,8,3,0,3,10,23.8,0,0,2.26307,0.68288,0.35635,-0.17679,93.4,174,62.5,15.625,11.9047619,5.69,1.1,-0.01,2.47,0.333,5,0.435971223,0.267,0.535,-0.435971223,0.068,0.066,0.099,0.074,27.6,36.7,11.50076368,2.618938449,32.76318413,0.631578947,37.2145306,28.38817828
139,663853,"Gonzalez, Romy",447,31.1,0.327,0.265,0.389,0.592,0.381,0.422,0.325,16,49,97.4,11.5,2185,88.3,88.4,30,99,40,0.1,6.4,107,150,118,147,289,321,297,-2.079,2.079,75.3,6.8,52,38,8,5,1,2,13,25,1,1.9,2.3335,0.65638,0.50581,0.12919,94.6,178,63.15789474,18.42105263,13.46153846,5.7,-0.03,0.04,2.51,0.327,7,1.495683453,0.34,0.637,-1.495683453,0.002,-0.013,-0.045,-0.041,30.3,38.7,6.014907822,3.489758643,26.82869882,0.454545455,36.24884925,28.48829809
105,657136,"Wong, Connor",350,30,0.125,0,0.16,0.125,0.111,0.265,0.243,4,32,91.7,21.2,2307,90.4,90.63,12,64,41,0.2,6.6,110,150,113,146,293,322,294,6.491,-6.491,72,7.1,32,25,4,0,0,0,7,21.9,0,0,2.13229,0.7061,0.37124,0.10743,91.6,166,40,8,6.25,5.68,-0.91,0.05,2.33,0.125,2,-6.181904762,0.243,0.379,6.181904762,-0.118,-0.118,-0.254,-0.154,18.8,37.8,10.64766589,0.746959054,30.40042339,0.546875,37.28696839,31.71654294
39,647351,"Toro, Abraham",624,6.3,0.333,0.133,0.333,0.467,0.346,0.324,0.332,5,15,88,16.7,2123,88,88.05,5,30,9,0,6.42,102,151,119,147,290,321,291,-1.019,1.019,68.6,7.4,17,15,3,2,0,0,1,5.9,1,5.9,2.22923,0.91641,0.69615,-0.66744,92.2,176,33.33333333,0,0,5.76,2.23,0,2.37,0.353,0,2.612820513,0.353,0.397,-2.612820513,0.001,0,0.07,0.022,16.7,36.4,8.928007332,-1.422614915,33.50068426,0.5,36.49154184,34.97245152
26,686765,"Sogard, Nick",242,10.7,0.4,0.2,0.444,0.6,0.43,0.301,0.294,4,10,86.2,10.9,2207,87.1,86.91,4,18,8,-0.2,6.29,106,151,113,147,293,323,293,0.128,-0.128,69.5,7.1,10,9,2,2,0,0,1,10,0,0,2.76846,0.31154,0.45192,-0.45192,91.2,173,33.33333333,0,0,5.74,2.08,-0.03,2.37,0.4,0,-0.492307692,0.294,0.397,0.492307692,0.106,0.106,0.203,0.129,22.2,34.2,13.4714897,-4.709594664,28.05175223,0.705882353,38.33284975,39.19097834
