pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
47,678882,"Rafaela, Ceddanne",1108,4.2,0.404,0.362,0.364,0.766,0.497,0.484,0.428,19,47,96,2.5,2243,87.4,87.43,0,47,0,0,6.37,104,151,111,147,290,321,296,-6.141,6.141,73,7.7,47,47,9,6,1,3,0,0,0,0,2.70106,0.33457,0.18723,0.09277,97.7,126,65.95744681,12.76595745,12.76595745,5.79,-1.04,-0.01,2.17,0.404,6,13.06595745,0.428,0.706,-13.06595745,-0.024,-0.024,0.06,0.013,0,38.6,13.96386757,-4.843776051,34.72106696,0.739130435,35.57136136,36.41764529
46,608324,"Bregman, Alex",886,5.2,0.391,0.478,0.317,0.87,0.532,0.472,0.36,18,46,95.2,15.8,2321,90.1,90.16,0,46,0,0.1,6.42,110,151,122,146,289,321,297,-8.836,8.836,72.2,7.3,46,46,6,7,0,5,0,0,0,0,2.17348,0.68043,0.39087,0.11783,97,176,60.86956522,15.2173913,15.2173913,5.64,-0.92,0.06,2.34,0.391,7,19.20869565,0.36,0.767,-19.20869565,0.031,0.031,0.103,0.06,0,37,16.88777162,-7.722605528,27.57300989,0.755555556,32.86430207,34.39376593
34,596115,"Story, Trevor",1322,2.6,0.441,0.324,0.387,0.765,0.517,0.398,0.373,15,34,96.5,5.1,2238,87.3,87.41,0,34,0,0.1,6.39,110,152,123,147,290,320,296,-4.601,4.601,72.6,7.5,34,34,10,2,0,3,0,0,0,0,2.67765,0.35382,0.16088,0.01559,98.3,134,61.76470588,11.76470588,11.76470588,5.7,-0.68,0.02,2.25,0.441,4,13.53235294,0.373,0.561,-13.53235294,0.068,0.068,0.204,0.119,0,38.2,12.07881089,-8.904984002,31.29931982,0.793103448,38.45449109,39.1663448
29,665966,"Narváez, Carlos",1042,2.8,0.345,0.276,0.296,0.621,0.413,0.385,0.301,10,29,95.8,11.2,2158,85.6,85.86,0,29,0,0.3,6.5,113,152,121,147,289,319,295,-2.402,2.402,73.8,7.9,29,29,6,2,0,2,0,0,0,0,2.7569,0.39379,0.08655,-0.15966,97.1,160,44.82758621,20.68965517,20.68965517,5.71,-0.81,-0.03,2.43,0.345,6,8.282758621,0.301,0.613,-8.282758621,0.044,0.044,0.008,0.028,0,40.2,15.37580654,-9.623307343,28.36648793,0.793103448,36.87586736,38.57931628
15,663853,"Gonzalez, Romy",447,3.4,0.533,0.4,0.5,0.933,0.627,0.416,0.402,8,15,95.1,4.9,2063,83.7,83.44,0,15,0,-0.3,6.29,107,148,119,145,293,319,292,-5.158,5.158,75.3,7.2,15,15,4,3,0,1,0,0,0,0,3.06,0.29133,0.538,-0.114,96.3,140,53.33333333,6.666666667,6.666666667,5.67,0.72,-0.02,2.21,0.533,1,34.38666667,0.402,0.565,-34.38666667,0.131,0.131,0.368,0.211,0,35.6,9.840003026,-8.227548417,29.78270114,0.933333333,35.64176064,35.8184435
15,692225,"Campbell, Kristian",1070,1.4,0.333,0.467,0.231,0.8,0.478,0.434,0.307,5,15,92.6,9.6,2363,83.8,83.64,0,15,0,-0.2,6.38,113,151,121,148,290,321,297,-1.697,1.697,73.3,7.4,15,15,2,1,0,2,0,0,0,0,3.40333,-0.058,-0.28733,-0.362,94.9,159,40,20,20,5.7,-0.15,-0.16,2.19,0.333,3,11.31333333,0.307,0.734,-11.31333333,0.026,0.026,0.066,0.044,0,40,17.77199926,-2.560471538,36.56637414,0.4,36.53435503,35.61938938
12,608701,"Refsnyder, Rob",449,2.7,0.667,0.583,0.6,1.25,0.819,0.501,0.402,8,12,99.2,6.7,2302,89.1,88.92,0,12,0,-0.2,6.24,104,151,122,147,288,320,295,-4.618,4.618,74.5,7.7,12,12,5,1,0,2,0,0,0,0,2.28273,0.52417,0.55636,-0.19818,99.3,158,83.33333333,16.66666667,16.66666667,5.76,1.46,-0.08,2.38,0.667,2,38.48333333,0.402,0.785,-38.48333333,0.265,0.265,0.465,0.318,0,36.9,15.64868883,-5.126084389,32.69853265,0.75,36.68713012,33.83470362
9,657136,"Wong, Connor",350,2.6,0.333,0,0.333,0.333,0.296,0.352,0.376,3,9,97.1,3.8,2290,87.8,87.82,0,9,0,0,6.47,110,151,117,147,290,324,296,0.327,-0.327,72.4,7.3,9,9,3,0,0,0,0,0,0,0,2.93333,0.09,0.38444,0.15556,97.5,68,66.66666667,0,0,5.64,-0.99,0.04,2.32,0.333,0,-3.633333333,0.376,0.432,3.633333333,-0.043,-0.043,-0.099,-0.056,0,38.5,12.66237205,-4.320924616,29.37657978,1,37.56092959,34.92925655
7,647351,"Toro, Abraham",624,1.1,0.286,0.286,0.286,0.571,0.361,0.337,0.343,2,7,96,10.9,2121,85.3,85.03,0,7,0,-0.3,6.21,106,152,125,148,293,320,291,-0.318,0.318,70.8,7.9,7,7,0,2,0,0,0,0,0,0,2.85714,1.11,0.72714,-0.56714,97.5,104,71.42857143,0,0,5.87,1.77,-0.13,2.34,0.286,0,4.542857143,0.343,0.429,-4.542857143,-0.057,-0.057,0.142,0.024,0,36.8,10.60681728,-10.51165166,34.81982281,1,35.07557356,38.63900991
4,686765,"Sogard, Nick",242,1.7,0.75,0.25,0.75,1,0.759,0.511,0.542,3,4,89.6,-6.8,2105,87.2,87.03,0,4,0,-0.2,6.38,101,149,106,146,294,321,294,-1.08,1.08,69,7.2,4,4,2,1,0,0,0,0,0,0,2.98,0.135,0.7375,-0.7375,93.6,102,50,0,0,5.58,2.53,0.04,2.37,0.75,0,27,0.542,0.622,-27,0.208,0.208,0.378,0.248,0,29.5,14.86628734,-9.156659629,27.4156365,1,38.82742432,41.65844034
