pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
922,596115,"Story, Trevor",1295,71.2,0.271,0.169,0.317,0.44,0.315,0.32,0.271,72,266,91.4,14.1,2265,89.6,89.6,152,612,310,0,6.4,109,151,122,146,292,322,296,11.88,-11.88,69.8,7.1,273,202,51,9,0,12,65,23.8,6,2.2,2.24345,0.67391,0.39896,0.18211,92.5,159,48.51485149,10.89108911,8.058608059,5.68,-0.85,0.05,2.47,0.287,22,-1.288503254,0.287,0.463,1.288503254,0,0,-0.023,-0.005,24.8,36.5,8.645544863,-1.38220817,29.43779635,0.440068493,38.51376611,33.1930609
737,692225,"Campbell, Kristian",1070,68.9,0.232,0.13,0.296,0.362,0.275,0.272,0.233,48,207,89.6,4.3,2285,89.3,89.44,96,399,338,0.1,6.44,108,151,120,147,291,321,295,17.546,-17.546,72.1,6.7,218,148,33,9,0,6,60,27.5,10,4.6,2.30106,0.63182,0.35376,0.09448,92.2,146,43.91891892,5.405405405,3.669724771,5.72,-0.72,-0.01,2.47,0.266,8,-2.3807327,0.267,0.357,2.3807327,-0.001,-0.001,0.005,0.003,24.1,37.7,10.41724703,10.09908976,34.46153092,0.407594937,36.96865195,28.44716842
728,678882,"Rafaela, Ceddanne",1078,67.5,0.288,0.201,0.294,0.489,0.338,0.366,0.304,66,229,91.3,11.3,2265,89.2,89.27,107,536,192,0.1,6.43,105,151,108,146,292,321,294,4.908,-4.908,69,7.1,237,206,40,15,2,9,27,11.4,4,1.7,2.26826,0.66271,0.40946,0.13771,92.2,165,49.51456311,12.62135922,10.97046414,5.7,-0.64,0.05,2.5,0.299,26,-0.674175824,0.315,0.55,0.674175824,-0.016,-0.016,-0.061,-0.028,20,36.9,8.995271856,4.415228149,32.68486483,0.538752363,35.9122451,29.38683281
718,665966,"Narváez, Carlos",1026,70,0.295,0.19,0.359,0.485,0.35,0.306,0.246,59,200,92.7,13.7,2263,89.2,89.28,106,443,275,0.1,6.43,107,151,122,146,292,321,295,3.92,-3.92,71,7.5,211,152,35,17,0,7,49,23.2,10,4.7,2.2234,0.72677,0.41434,0.07807,92.5,164,46.71052632,11.84210526,8.530805687,5.72,-0.64,0.1,2.51,0.327,18,-0.545961003,0.282,0.428,0.545961003,0.049,0.045,0.057,0.044,23.9,37.1,8.316517631,4.026833538,29.44501469,0.494305239,38.09491766,29.20614451
627,608324,"Bregman, Alex",886,70.8,0.304,0.272,0.321,0.576,0.381,0.33,0.258,56,184,92.5,19.7,2282,89.6,89.8,43,340,287,0.2,6.51,107,152,122,146,289,322,296,-2.163,2.163,70.4,7.1,190,151,28,17,0,11,34,17.9,5,2.6,2.24289,0.64089,0.40235,0.2364,92.8,174,49.66887417,10.59602649,8.421052632,5.63,-0.78,0.13,2.37,0.321,16,0.344976077,0.277,0.501,-0.344976077,0.046,0.044,0.075,0.051,12.6,37.2,14.3182711,-4.375576101,28.02029351,0.665680473,33.30953724,31.61384246
304,608701,"Refsnyder, Rob",449,67.7,0.3,0.25,0.352,0.55,0.37,0.331,0.266,24,80,94.1,17.4,2235,88.3,88.28,45,162,142,0,6.39,106,150,121,146,292,322,296,1.108,-1.108,71.8,7.5,86,59,14,5,0,5,23,26.7,4,4.7,2.31034,0.66947,0.36121,-0.14135,93.2,161,57.62711864,11.86440678,8.139534884,5.63,0.92,0.04,2.49,0.326,7,-0.364473684,0.295,0.49,0.364473684,0.034,0.031,0.06,0.039,27.8,35.9,11.60087938,1.15069255,32.39068134,0.635802469,37.30360549,28.55733611
287,663853,"Gonzalez, Romy",427,67.2,0.311,0.214,0.362,0.524,0.36,0.377,0.302,32,103,94.6,6,2198,88.2,88.27,47,188,99,0.1,6.39,108,150,119,147,291,322,297,-2.494,2.494,74.9,6.7,106,83,17,11,1,3,21,19.8,2,1.9,2.32848,0.67717,0.48164,0.00676,94,159,59.03614458,14.45783133,11.32075472,5.74,0.06,0.12,2.54,0.321,12,0.868989547,0.319,0.554,-0.868989547,0.009,0.002,-0.03,-0.017,25,38.4,4.91928769,4.806836386,26.83177698,0.427807487,36.43093165,26.74273993
243,657136,"Wong, Connor",343,70.8,0.164,0,0.208,0.164,0.167,0.274,0.25,11,67,84.8,9.9,2304,90.2,90.46,30,137,106,0.3,6.57,110,151,113,146,291,321,294,10.888,-10.888,70.5,7.2,71,53,11,0,0,0,15,21.1,3,4.2,2.16123,0.68704,0.36971,0.20558,91.2,147,33.96226415,5.660377358,4.225352113,5.68,-1.08,0.09,2.38,0.197,3,-4.480658436,0.279,0.351,4.480658436,-0.086,-0.082,-0.187,-0.107,21.9,37.7,10.42081552,-0.112086216,30.69100131,0.474074074,37.93407732,31.41992836
99,647351,"Toro, Abraham",587,16.9,0.333,0.1,0.357,0.433,0.335,0.314,0.307,10,30,83.3,19.7,2179,86.6,86.53,10,63,36,-0.1,6.27,103,151,120,147,289,321,294,0.182,-0.182,69.6,7.5,34,28,7,3,0,0,4,11.8,2,5.9,2.49879,0.73434,0.55657,-0.52141,90.8,168,25,0,0,5.77,2.07,0.17,2.39,0.353,0,-0.183838384,0.348,0.353,0.183838384,0.026,0.005,0.08,0.021,15.9,37.4,9.096479038,-0.417022853,33.71547358,0.524590164,38.23473332,34.67596386
49,686765,"Sogard, Nick",242,20.2,0.381,0.143,0.444,0.524,0.392,0.332,0.307,8,21,87.1,11.2,2219,87.7,87.28,4,30,19,-0.4,6.17,107,151,116,147,294,322,291,0.151,-0.151,68.8,7.1,21,18,5,3,0,0,3,14.3,0,0,2.67653,0.36837,0.38918,-0.38918,91.7,168,33.33333333,5.555555556,4.761904762,5.72,2.14,-0.04,2.34,0.381,1,-0.308163265,0.307,0.464,0.308163265,0.074,0.074,0.06,0.06,13.3,35.4,12.61252877,-4.660601085,28.14440625,0.714285714,38.1928045,38.38239754
